class,ns
1,21400
0,21400
1,21300
0,21300
1,21300
1,27000
1,21400
0,21400
0,21400
0,21400
0,21400
1,21300
1,21300
1,21400
1,21300
1,21300
0,21400
1,21300
1,21300
0,21400
0,21300
1,21400
1,21400
0,21300
0,21400
1,21400
1,21300
1,21400
1,21400
1,21400
1,21400
0,21400
1,21300
1,21300
1,21300
1,21300
0,21300
1,21300
0,21300
0,21300
0,21300
1,21300
1,21300
1,21300
1,21300
1,21300
0,21300
1,21300
0,21300
1,21400
0,21300
1,21300
1,21400
1,21300
1,21300
0,21400
1,21300
0,21300
1,21400
1,21300
0,21300
1,21400
0,21300
1,21300
0,21400
0,21300
1,21300
0,21400
1,21400
0,21300
1,21400
0,21400
0,21400
0,21400
1,21400
1,21400
0,21400
0,21400
1,21400
1,21400
0,21400
0,21400
1,21400
1,21400
1,21400
0,21400
1,23700
1,21300
1,21300
1,21300
1,21300
0,21300
1,21300
0,21300
1,21300
0,21300
0,21300
0,21300
0,21300
1,21300
1,21300
0,21300
0,21300
0,21300
0,21400
0,21300
1,21300
0,21300
1,21300
0,21300
0,21300
0,21300
1,21300
0,21400
1,21300
0,21300
0,21400
1,21300
1,21400
0,21400
1,21300
0,21400
1,21400
0,21300
0,21400
1,21400
0,21300
1,21400
1,21400
0,21400
0,21400
1,21400
1,21400
1,21400
0,21400
1,21400
0,21400
1,21400
0,21400
1,21400
0,21400
0,21400
0,21400
0,21400
0,21400
1,21400
1,21400
1,21400
1,21400
1,21400
1,21400
1,21400
0,21400
1,21400
0,21400
1,21400
1,21400
0,21400
0,21400
0,21400
0,21400
1,21400
1,21400
0,21400
1,21400
0,21400
0,21300
1,21400
0,21300
1,21300
1,21300
0,21400
0,21300
0,21300
0,21400
0,21300
1,21300
0,21400
1,21300
0,21300
0,21300
1,21300
0,21300
1,21300
1,21300
1,21300
0,21300
0,21300
0,21300
0,21300
0,21300
0,21300
0,21300
1,21300
1,21300
1,21300
1,21300
0,21300
1,21300
1,21300
0,21300
1,21300
0,25300
1,26600
0,25800
1,28900
1,31000
1,21400
0,21400
1,21400
1,21400
1,21300
1,21400
0,21400
0,21300
1,21400
0,21300
0,21300
0,21300
0,21300
1,21300
0,21300
1,21300
1,21300
1,21300
1,21400
1,21300
0,21300
1,21400
1,21400
1,21400
1,21400
0,21400
0,21400
1,21400
1,21400
1,21400
1,21400
0,21400
1,21400
0,21400
1,21300
1,21400
1,21500
0,21400
1,21400
1,21400
1,25600
1,21300
1,21400
1,21400
1,21300
0,21400
0,21400
1,21400
1,21400
0,21400
1,21400
1,21400
1,21400
0,21400
1,21400
1,21400
1,21300
1,21400
0,21500
1,21300
1,21300
0,21400
0,21300
1,21400
1,21400
1,21400
1,21500
1,21400
1,21300
1,21500
1,21400
1,21400
0,21400
0,21300
1,21400
0,21400
1,21500
1,21400
0,21400
1,21500
1,21300
0,21300
1,21400
1,21500
1,21400
0,21400
0,21600
0,21400
0,21400
0,21400
0,21400
1,21600
0,21400
0,21400
0,21300
1,21500
1,21300
1,21500
1,21400
0,21400
1,21400
1,21400
0,21400
1,21400
1,21300
1,21400
0,21500
1,21400
0,21600
0,21400
0,21500
1,21500
0,21600
0,21500
1,21500
0,21500
1,21500
1,21500
1,21500
0,21400
0,21700
1,21400
1,21400
1,21400
0,21500
0,21400
0,21300
0,21400
1,21400
1,21300
1,21400
1,21300
0,21300
0,25700
1,21400
1,21400
0,21400
0,21400
0,21300
0,21400
0,21500
0,21400
1,21400
0,21400
0,21400
1,21400
0,21400
0,21400
1,21400
0,21400
0,21400
0,21400
0,21400
1,21400
0,21400
1,21400
1,21400
1,21400
1,21400
1,21400
0,21400
1,21400
0,21300
0,21300
0,21400
0,21300
0,21300
1,21400
1,21300
0,21300
1,21400
0,21300
0,21300
1,21300
0,21300
0,21300
0,21300
1,21300
1,21300
1,21300
1,21300
0,21300
1,21300
1,21300
1,21300
1,21300
1,21300
1,21300
1,21300
1,21300
0,21300
0,21300
1,21300
0,21300
0,21300
1,21400
1,21300
0,21300
1,21400
0,21300
0,21400
1,21400
0,21300
0,21400
1,21400
0,21300
0,21400
1,21400
1,21400
0,21400
0,21400
1,21400
0,21400
0,21400
1,21400
0,21400
1,21400
0,21400
1,21400
0,21400
1,21400
1,21400
1,21400
1,21400
0,21400
0,21400
0,21400
0,23800
0,21400
0,21300
1,21300
0,21400
0,21300
1,21300
1,21400
1,21400
1,21300
0,21400
0,21400
0,21300
0,21400
1,21400
0,21300
1,21400
1,21400
1,21300
0,21400
1,21400
0,21300
0,21400
1,21400
0,21300
1,21400
0,21400
1,21300
1,21400
0,21400
0,21300
0,21400
0,21400
1,21300
0,21400
0,21400
0,21300
1,21400
0,21400
1,21300
1,21400
0,21400
0,21300
1,21400
0,21400
0,21300
1,21400
0,21400
1,21300
0,21400
0,21400
0,21400
1,21400
0,21400
1,21400
1,21400
0,21400
1,21400
0,21400
1,21400
0,21400
1,21400
1,21400
1,21400
1,21400
0,21400
1,21400
0,21400
0,21400
0,21400
1,21400
1,21400
0,21400
1,21400
