class,ns
0,24665300
1,34660100
1,23303900
0,24698200
1,27950100
0,24771700
1,28860200
0,25173700
0,24805100
0,24924100
1,45632300
1,29817400
0,24692400
0,24669000
1,39672200
1,51065600
0,24693700
1,42948500
0,24733700
0,24729100
0,24663200
1,46377800
1,85190200
1,67036600
0,24727500
0,28469600
1,31267300
1,23810500
0,24869200
0,25125500
0,24819000
0,24758900
0,24817900
1,37922300
1,27732600
1,41809300
0,24773300
1,32100100
1,30554300
0,24880200
1,29637400
0,24733200
0,24867800
1,51331300
1,28087200
0,24938000
0,24945200
1,23850500
1,37557800
1,38105100
1,43765400
0,24770500
0,25537800
1,24758800
1,24925600
0,25356100
0,24803000
0,24816000
1,98316100
0,24691700
0,24695200
1,37914300
0,24802600
1,38107600
1,26040200
1,43226400
1,38602800
0,24943300
1,27485700
1,52654800
1,28460300
0,24661500
1,58665600
0,24723500
0,25835700
1,33617700
1,60628400
1,26024900
1,30203100
0,24632900
1,53883200
0,25212900
1,27537800
1,43140000
0,25054400
1,87744800
0,24674600
1,35648700
0,24799400
1,27892300
0,24669500
1,49769900
0,24840500
0,24767600
1,62541900
0,24675600
0,24690100
1,70747300
0,24858600
1,23177800
1,25095400
0,24682200
1,56740300
1,24789700
0,24738500
0,24761700
0,24688300
1,26012900
1,28703100
1,25120500
0,24649400
0,24717000
0,24666800
1,26229900
1,26025900
0,24721100
1,28831200
0,24775600
1,87481200
1,29196200
1,26024200
1,36130000
1,24960600
1,25909200
1,24801700
0,25013000
1,23711800
1,33691200
1,38374400
0,24642900
0,24670300
0,24776200
1,25853900
0,24686400
0,24648600
1,38494100
0,24787000
1,23661900
0,25096900
1,29788900
1,26622000
1,33611300
1,45075200
0,24667400
1,25451700
1,51318500
1,54223300
0,24662600
1,48692600
1,23449400
1,56358600
0,24712200
1,28380600
1,23258500
0,24825600
0,24855200
1,36257600
1,28543100
1,24603000
1,26068900
0,24801200
1,41328200
1,44160300
0,24717800
0,24647000
1,23886400
1,44628900
1,27756100
0,25333600
1,69702800
1,56414300
0,24680900
0,24784800
1,38745900
0,24664200
0,24700700
0,24685900
1,46932600
0,24647800
1,41957600
0,24688800
1,26376900
1,46339000
1,43705600
1,27151600
1,35854500
0,25583200
1,30260200
0,24796400
1,35317000
0,24710400
0,24733400
0,24800100
0,25347900
0,24798000
1,30376400
0,24640300
0,24817300
0,24667900
1,29638300
1,64389100
1,29622300
1,51747200
1,26766100
0,24721400
0,24706300
1,23411800
0,24687900
0,24817400
1,41291200
1,35582700
1,62633300
1,78244500
1,31339600
1,23349200
0,24797300
0,24906800
1,27123800
1,43265500
0,25325900
0,25698900
0,25341000
1,30611500
1,25341900
0,25331700
0,25022200
1,23321700
1,29607000
1,51712900
1,31631400
1,69643400
0,24849300
0,24961600
1,23185800
1,23346100
1,23626300
0,24733800
0,24706200
1,41971400
1,48697900
0,24679600
1,35277200
1,27654000
0,24652100
1,25013600
0,24722900
1,34113500
1,34528700
1,23440300
1,27638500
0,24735400
0,24791200
1,30715200
1,29419400
0,24852500
0,24824500
1,30820300
1,51449400
1,38830400
1,35939300
1,43766300
0,25543000
0,24690600
0,24702000
0,24684500
1,64496000
1,32478800
1,37627900
0,24680300
0,24685600
1,37227700
1,35211300
0,24699500
0,24691100
1,27973000
0,24718800
0,24843400
0,24736700
0,24740500
1,33401200
1,27814100
0,24661800
0,24700000
1,24875800
1,29020200
0,24796600
0,24778400
1,48567700
0,24812800
0,24893900
1,25580500
1,41831800
1,23601200
0,25171200
1,46020000
0,25057600
0,24813100
0,24682700
1,52795900
1,34024900
0,24807700
1,25296700
1,27783000
0,24650800
0,24699900
0,24711700
1,27015100
0,24817900
1,53375000
0,24647300
1,26733700
1,23511900
0,24750400
1,34132500
0,24669600
0,24695500
0,24676500
1,35031600
0,24706100
0,24722900
1,35074600
0,24719100
1,23640400
1,57463700
1,31353300
0,24686500
1,32636600
0,24726300
0,24817800
1,24483500
1,39390500
0,24653800
0,25771500
0,24656400
0,24666300
0,24729900
1,27458300
1,35365900
1,25153900
0,24706900
1,60163600
1,45124200
0,24690100
1,29867100
1,54395300
0,24698100
1,47569200
1,53962200
0,24886700
0,24879900
0,24819700
1,40061500
1,28346300
1,26925200
1,30543400
1,23164800
0,24942100
1,23194700
1,30585100
0,24725200
1,23175200
1,26460400
0,24689400
1,52895000
1,52442700
0,24844900
1,27033900
0,25033900
1,23172700
0,24762500
0,24669400
1,31387900
0,24726400
1,35783800
0,24699900
1,44125000
1,23318900
1,44829100
0,24713400
1,30608700
0,24677300
0,24707300
1,30103000
0,25208700
1,34111800
0,24623700
0,24770400
0,24833700
0,25264900
0,25016400
1,32726800
1,59431100
0,24661500
0,24825900
1,51582200
1,28126600
0,24630300
0,24715100
0,25235700
1,23322700
0,24801700
0,24658400
1,32136800
1,23231400
1,35420600
0,24718300
1,24746000
1,49354100
0,24694600
0,24642000
1,31666000
0,24677200
1,45233400
1,34639900
0,24686300
1,23499600
0,24646500
1,26248000
0,24655600
1,35836400
1,33642100
0,24776700
1,36421800
1,35346400
0,24942800
0,24770500
0,24758000
1,27427500
0,24671000
0,24824800
1,24560200
1,26180100
0,24788400
1,34437200
0,24767000
0,24766900
1,23649500
1,29125000
1,37501800
0,24697800
0,24699800
1,56809100
1,25292800
0,24688200
1,26485600
0,24660900
0,24712100
0,24694400
1,32790900
0,24708000
0,24715300
1,44024100
0,24671200
0,24799200
0,24669700
0,24706500
0,24714900
1,37907300
0,24678300
0,24764300
1,33313900
1,23478700
0,24640600
1,34820900
1,34282000
1,23341000
0,25015000
0,24944900
0,24664500
1,64604000
0,25020100
1,24857100
0,24713700
1,24980900
1,46993400
1,24539300
1,35196400
0,24674400
1,41636300
1,70094500
0,24764700
1,40658300
0,24664600
0,24753700
0,24759700
0,24776100
0,24698100
1,37556800
1,46109200
1,23163300
0,24718200
0,24707900
1,29396400
1,26327700
1,41978600
0,24656600
0,24649300
1,28955400
0,24690200
0,24664400
0,24655400
1,36268100
0,24668000
1,24519200
0,24731400
1,28247200
1,35637600
1,29063100
1,24980900
1,46986000
0,24770500
0,24700400
0,24654100
1,74961500
1,45783600
1,24863100
1,29566300
0,24843800
0,24735900
0,24869100
0,24927300
1,23458700
1,86746200
0,25192600
1,24935400
0,24813200
1,33789700
0,24910800
0,24795200
1,28853900
1,57317800
1,81773400
1,34492300
1,30794900
0,24865700
1,32222100
1,32969000
1,60282100
0,24693100
1,24933400
1,27385100
1,27579000
0,24664300
0,24688900
0,24696900
0,24658300
0,24728500
1,34451400
1,26026700
0,24657000
1,44385300
0,24737100
1,30305000
1,44195400
1,32054400
1,26682200
1,44118800
0,24793000
1,40086500
0,24672600
0,24729700
0,24772100
1,28056300
0,24729700
1,35165200
1,24668300
1,24858800
0,24873500
0,24657200
0,25090900
1,31635900
1,27484700
1,46334700
1,55768600
1,25820500
1,32300100
1,68084400
0,24898700
1,31690500
0,24802700
0,24919300
0,24699000
1,31525200
