class,ns
1,7810000
1,7942300
1,7794200
0,7967900
1,7798900
0,7818200
1,7803000
0,7816200
1,7786700
0,7832100
0,7844500
0,7970600
0,7973200
1,7892800
1,7828400
1,7830600
0,7849200
1,7843100
1,7908200
1,7951400
1,7860800
0,7909100
1,7815100
1,7797600
1,7787900
1,7831700
1,7812400
1,7814500
0,7809700
0,7846700
1,7778500
0,7823200
0,7799000
0,7875100
0,7803000
0,7815700
0,7804400
0,7838900
0,7794100
0,7817900
0,7795600
0,7853400
0,7799700
1,7799700
1,7809700
1,7824300
0,7800700
0,7807400
0,7792200
1,7814100
1,7807000
1,7876900
0,7825000
0,7820700
1,7786000
1,7998600
1,7800700
0,7820100
1,7781100
1,7823800
0,7840300
1,7788700
1,7803100
0,7848200
0,7828000
0,7820200
0,7804000
0,7822700
0,7821300
0,7811200
0,7798700
1,7810700
1,7821600
1,7810200
1,7807900
0,7867300
1,7806000
1,7790000
1,7804800
1,7855200
0,7799000
1,7801100
1,7790000
0,7846700
0,7798200
0,7813200
1,7827600
0,7840900
0,7829700
0,7808300
1,7811800
0,7836200
0,7841800
0,7806400
1,7864700
0,7815800
0,7811300
0,7803900
1,7817400
1,7788500
0,7815800
0,7800200
1,7842000
1,7798700
0,7816300
0,7797500
0,7839100
0,7843800
1,7816700
1,7819800
1,7908100
0,7832300
1,7846200
0,7814800
1,7871900
0,7846500
0,8351700
1,7851600
1,7878000
0,7856600
0,7869400
0,7871900
1,7870200
1,7855900
1,7884300
1,7848000
1,7935400
1,7871700
0,7929800
0,7867900
1,7851700
1,7855400
1,7888000
1,7840700
1,7838600
1,7800500
1,7839100
0,7853700
1,7778300
0,7837100
0,7875600
1,7845100
0,7843600
0,7840300
0,7874300
0,7968300
1,7817300
1,7910800
1,7852900
0,7872100
0,7816000
0,8590200
1,8056300
1,7866100
1,7822200
1,7895700
0,7842100
0,7847500
0,7837200
1,7927000
0,7802500
1,7914300
1,7830500
0,7968600
0,7855100
0,7858700
0,7910400
0,7958400
0,7916700
1,7985600
0,7854400
1,7891300
0,7835500
0,7854200
1,7875500
1,7816300
0,7836200
1,7879200
0,7866000
1,7844100
0,7832900
0,7881900
1,7917700
1,7831900
0,7837600
0,7892700
0,7946500
0,7923600
1,7846500
1,7847300
0,7898900
1,7814800
1,8022300
1,7800400
1,8368100
1,7786400
1,7812400
1,7826400
0,7816200
1,7817300
0,8880500
0,7824600
0,7818800
1,7799200
0,7832700
1,7815500
1,7841500
