class,ns
1,64900
1,56100
0,55300
0,54000
0,52700
1,54800
0,57700
1,55100
0,53000
0,52600
0,51900
0,51800
0,51500
1,53800
0,52200
0,51900
0,51300
0,50800
1,53600
0,51700
0,51600
1,53700
1,53800
0,52400
1,53400
0,52400
1,53700
1,53700
1,53300
0,52700
1,53200
1,52300
0,52600
1,53400
0,52600
0,51900
0,51000
1,53400
0,52000
0,51400
1,54000
1,53500
0,52600
0,52000
0,54400
1,53400
0,52000
0,51600
0,51400
0,50800
0,50600
1,53000
0,51400
1,53500
0,52000
0,51200
1,53300
1,53200
1,53400
0,52600
1,53100
1,53300
0,52600
1,53400
1,53100
0,52500
1,53300
0,52700
0,51900
1,53200
0,52200
1,53400
1,53600
1,53800
1,53800
0,53300
0,52500
0,52900
0,51900
1,53600
1,53800
0,52500
1,57500
0,52400
0,52100
1,53100
1,53600
0,52300
1,53700
0,53000
0,52100
1,53900
0,52500
1,53300
0,52400
1,55800
1,53400
0,52700
1,53200
0,52200
0,51500
0,51300
0,50900
1,53300
1,53200
0,52200
0,51600
1,53300
0,51900
1,53600
0,52100
0,51600
0,51100
0,50700
1,53300
0,55900
0,51400
0,50900
0,51000
1,53300
1,53500
0,51800
0,51700
1,52900
0,51900
0,51400
1,53200
0,51900
1,53200
0,52200
1,53200
1,53400
0,52300
0,51900
1,53100
0,52100
1,53100
0,52300
1,52600
0,51900
0,51400
1,53100
0,52000
0,51500
0,51100
1,53300
1,53000
0,52200
0,51400
1,53300
0,51700
0,51100
1,53100
1,56300
0,52300
0,51800
1,53200
0,52100
0,51400
0,51100
1,53200
1,53100
0,51900
1,53100
0,52400
1,52700
0,52300
0,51700
0,51000
1,53200
1,53600
1,52900
1,53000
0,52500
1,53900
0,52500
1,53000
0,52200
0,51800
0,51100
0,51000
1,53200
1,52800
0,51900
1,53500
0,52300
1,53200
1,53200
1,53200
0,52400
1,53100
1,55400
0,52700
0,52200
0,51300
1,53100
1,52900
1,53200
0,52700
1,54100
0,53100
1,54000
1,53800
1,53600
1,53400
1,54000
1,54500
0,54400
1,54000
0,53000
0,52500
1,53800
1,53400
0,52800
1,53800
0,52800
0,52100
1,54200
0,53200
0,52200
0,51300
0,51100
1,53500
1,53900
1,53400
0,52900
1,55500
0,52600
0,51400
1,57300
0,52200
0,51600
0,51200
0,51000
0,50600
1,53600
0,51800
0,51100
1,53300
0,51900
1,53500
1,69200
1,66500
1,60700
0,53400
0,52500
0,51600
1,53400
1,53500
0,52200
0,52600
0,51500
1,53300
1,53000
0,52400
1,53100
1,53300
0,52500
0,51800
1,54100
1,53200
0,52500
0,51900
1,53700
1,53700
1,52800
0,57600
0,51800
1,53200
0,52300
1,52800
0,52300
1,52600
1,53400
0,52300
0,52100
0,51400
0,51200
0,50800
0,50700
1,53300
0,51300
0,51000
1,53300
1,53000
1,53000
0,52300
0,51600
1,53700
0,52100
0,51300
1,53100
1,52400
1,52800
