class,ns
1,18300
1,18600
0,12300
1,18500
1,18100
1,18200
1,18100
1,18200
0,12100
1,18200
1,18200
1,18100
1,18100
1,18100
0,12100
1,18200
1,18200
1,18100
1,18100
0,12200
1,18200
1,18400
0,12100
1,18200
1,18400
0,12000
0,12100
0,17000
1,18100
1,18200
0,12200
1,18200
0,12100
0,12200
0,12100
0,12100
0,12000
0,12100
0,12200
0,12100
1,18200
0,12100
1,18200
0,12100
0,12100
1,18200
1,18200
1,18100
0,12100
0,12100
0,12000
0,12100
1,18200
0,12100
0,12100
1,18200
1,18100
1,18200
1,18100
0,12200
1,18200
0,12100
1,18100
1,18200
1,18200
1,18200
0,12200
1,18200
0,12100
0,12100
1,18100
0,12100
1,18100
0,12200
1,18200
0,12000
1,18200
1,18200
0,12200
0,12100
0,12100
1,18100
0,12000
1,18100
0,12100
1,18200
0,12200
0,12100
1,18200
1,18100
0,12100
0,12100
0,12200
0,12200
1,18200
0,12100
0,12100
1,18100
1,18200
1,18200
0,12100
0,12100
0,12200
0,12100
0,12200
0,12100
0,12100
0,12200
0,12100
1,18200
0,12100
1,18200
1,18200
0,12100
0,12100
1,18200
1,18100
1,18200
1,18100
0,12200
1,18200
1,18300
1,18100
1,18200
0,12100
0,12100
0,12200
1,18200
0,12200
0,12100
0,12000
1,18100
1,18100
1,18200
0,12200
0,12200
1,18200
1,18100
0,12200
0,12100
1,18200
1,18200
0,12100
0,12100
0,12000
1,18100
1,18100
0,12200
0,12100
0,12200
0,12200
1,18200
0,12200
1,18200
1,18200
0,12100
1,40200
1,18200
1,18100
0,15000
0,12100
0,12200
1,18200
1,18100
1,18100
0,12100
1,18200
0,12100
1,18300
1,18200
1,18200
0,12100
0,12200
1,18100
1,18200
0,12100
0,12100
0,12100
0,12100
0,12200
0,12100
1,18300
1,18200
0,12100
0,12200
1,18100
1,18200
0,12100
0,12100
1,18200
1,18100
0,12200
0,12100
1,18200
0,12100
1,18100
0,12200
0,12100
1,18200
1,18100
1,18200
0,12100
