class,ns
1,11783700
1,12574100
1,11371800
1,12568200
0,11248800
0,12688800
0,12579000
1,11395200
0,10305900
0,12088600
0,10938300
0,10021400
0,8155300
0,8427100
1,8734100
0,8070600
0,8010100
1,7891400
1,8019200
1,8032900
0,7963600
1,7920200
1,7920700
0,7920000
1,8080100
0,7863000
0,7942500
1,7838000
0,8020400
0,7852000
1,7896400
0,7905900
1,7989700
1,7854600
0,7884900
0,7826900
0,8249100
1,7866500
1,7845900
0,7846200
0,7909900
1,7864200
1,7871300
1,7836600
1,7960700
1,7854800
0,7998300
1,8050600
1,8385300
1,8178700
0,7847200
0,7866900
1,7827800
1,8011100
1,7880900
0,7904900
1,7821900
0,7943000
0,7857000
1,7906100
1,7852900
1,7851700
1,7857300
1,7884200
0,7891100
0,7957700
1,7828100
0,7953800
0,7878600
1,7877200
0,7837000
0,8039000
1,7989300
0,8497500
0,8240200
1,8009900
1,7926600
0,7898400
0,7840500
0,7847800
0,7878000
0,7860000
1,7856400
1,7962800
1,7832800
1,7864100
0,7825400
1,7840500
1,7830600
0,10475200
1,11155100
1,9437500
0,7869400
1,7848400
0,7869500
1,7844600
1,7832800
1,7836100
0,7852500
1,7802300
0,7852200
1,7840100
0,7945300
0,7941200
1,7891200
0,7777700
1,7828200
1,7827600
1,7820600
0,7884000
0,7871300
1,7876500
0,8296000
0,7908500
0,8280300
1,7868900
0,7921900
1,7832900
0,7931500
0,7925500
0,7850200
0,7978400
0,7842100
0,7869100
0,7873700
0,7865400
1,7828000
1,7942100
1,7934800
0,7854000
0,7821400
1,7976100
1,7816300
0,7978000
1,7926100
0,7973900
1,7851600
0,7838600
0,7826700
0,7871300
0,7826300
1,7897800
0,8106100
0,7881900
1,7827800
0,7895600
1,7828300
1,9792100
1,8772300
1,7824100
0,7865800
0,7816400
0,7852200
0,7865100
1,7943400
1,7851900
0,7878600
0,7836600
1,7825800
1,7839100
1,7822200
0,7823200
0,7854100
1,7892500
0,7865200
0,7859100
1,7867500
0,7832100
0,7893600
1,7855700
0,7835300
1,7815400
0,7891100
0,7887800
0,7913500
1,7988500
1,8585400
0,7934600
1,8265200
1,8195100
1,7926500
1,7801700
0,7866700
0,7857500
0,7963400
0,7878200
0,7889700
1,7835000
1,7862900
1,7839400
0,7984700
1,7951300
0,7850700
0,7856700
1,8124400
1,7856800
0,7899400
1,8044000
1,7834100
1,7854100
0,7855200
0,7917400
1,7847400
0,8057700
1,7960200
0,7916900
1,8239500
1,8331000
1,8215200
0,8185300
1,7849200
1,7972700
1,7914800
1,7866600
1,7891300
1,8032800
0,8023000
0,7916800
1,7861600
1,8021500
0,7903100
0,9785800
1,11302200
1,10906400
1,8850400
1,7877000
1,7969600
0,7957200
