class,ns
0,7817200
1,7823300
1,7825500
1,7840200
0,7815800
0,7811100
0,7821300
0,7813900
1,7819100
1,7827900
0,7848000
0,7810700
1,7810300
0,7832300
0,7973800
1,7831700
0,7815100
0,7848800
1,7813000
1,7808500
1,7818700
0,7838600
0,7867600
1,7804900
1,7816000
0,7832400
0,7804900
0,7811000
1,7842300
0,7845300
0,7819000
1,7816100
0,7843700
0,7860100
1,7872400
1,7831500
1,7853100
0,7857400
0,7850700
0,7850400
0,7879000
1,7872200
0,7822200
0,7835700
0,7841400
0,8317000
1,9150500
0,12802000
1,7823300
0,7841700
1,7838600
1,7889200
1,7858400
0,7904600
0,7893500
1,7923900
1,8133100
0,8985800
1,7989200
1,7868900
1,7854200
0,8422000
0,8015800
0,7949500
0,7867400
0,7940600
0,7878300
1,7871200
0,8366900
1,8265200
0,8171100
1,7888800
1,7820900
0,7877600
0,7835100
0,7809400
1,7830800
0,7859400
1,7839300
1,7808900
0,7804600
1,7847900
1,7819200
0,7835200
1,7804900
1,7854600
0,7825400
0,7817500
0,7945800
0,7835100
0,7893100
1,7810900
1,7844700
1,7817500
0,7913000
1,7797600
1,7849300
1,7837100
1,8444200
0,7826200
0,7834600
0,7815400
1,7818600
0,7880000
1,7833700
1,7820900
1,7812600
1,7806600
0,7922500
1,7828600
1,7811100
1,7837400
1,7822700
0,7812400
1,7818800
0,7851100
1,7858500
0,7815900
1,7858500
1,7840600
1,7814700
1,7887600
1,7813700
0,7854300
0,7800900
1,7822000
0,7800800
0,7824700
1,7876100
1,7837500
0,7829800
0,7828700
1,7878000
1,7833200
1,7874100
0,7838100
0,7887400
0,7840900
1,7821200
0,7836200
1,7801100
0,7961700
0,7951600
1,7882000
0,7845300
0,7865600
0,7840300
1,7905300
1,7946000
0,8002500
1,8040700
0,7899900
1,8081000
0,8117000
1,7828400
0,7913600
1,7807400
0,7864800
1,7796400
0,8050900
1,7821400
0,7862800
1,7792700
0,7858800
1,7809000
0,8001800
0,8149600
0,8234200
0,7696900
0,7807400
1,7795600
1,7960200
1,7806700
1,7859700
0,7787000
0,7822200
0,7815600
0,7833700
0,7788300
0,7822300
1,7844800
1,7844500
0,7837500
0,7885200
0,7867700
1,7945600
1,7872600
0,7971600
0,7837800
0,7870400
1,7796100
0,7833400
0,7816300
1,7851800
0,7785800
1,7874100
0,7793900
0,7894000
1,7836700
0,7878700
0,7837000
0,7843600
1,7853900
0,7860200
1,7813600
1,7820000
1,7951900
0,7830400
0,7810200
0,7811100
1,7823800
0,7840500
0,7841900
0,7822600
1,7819300
0,7835800
1,7867700
1,7836800
0,7841900
0,7819200
0,7819400
1,7823100
0,7809800
0,7812900
0,7810700
1,7903400
1,7870300
1,7818300
1,7843000
0,7819700
1,7934400
0,7840200
0,7812500
0,7825700
0,7841700
0,7820400
0,7825900
1,7832200
0,7832100
0,7821100
0,7819700
1,7869900
0,7823300
0,7819200
1,7810000
0,7817600
0,7811700
0,7810600
0,7796100
1,7851200
1,7818400
1,7814700
0,7808800
1,7853300
0,7805300
0,7809800
1,7813300
1,8036000
1,7857600
1,7815600
0,7850300
1,7830700
1,8589500
0,7859900
1,7862000
0,7833500
1,8038400
1,7868700
1,8103200
0,7839200
0,7815400
1,8248500
0,8491900
1,7832700
0,7787600
0,7845600
1,7799500
1,7846800
1,7828000
0,7856000
1,7809200
0,7826300
0,7830200
1,7877600
1,7825600
1,7863800
1,7823600
0,8014100
0,7819000
0,7982300
1,7833400
0,8044200
1,7847900
1,7866100
0,7819200
1,7836700
0,7802500
0,8061300
1,7826400
0,7823800
0,7792200
1,7847500
1,7816000
0,7824100
0,7796100
1,7876500
0,7835100
1,7831900
0,7803800
1,7868900
0,7816300
1,7876500
1,7792300
1,7839400
1,7820500
0,7848200
1,7794500
1,7883100
0,7797500
0,7856700
0,7795900
0,8002900
0,7789900
0,7911500
0,7795200
0,7986800
1,7823600
0,7820100
1,7810700
1,7848100
0,7874000
1,7857400
0,7857800
1,7886800
1,7838900
1,7841300
1,8528600
1,9046000
0,7807200
0,7815100
0,7851800
0,7814900
0,7809300
0,7814600
0,7834300
1,7827700
0,7849900
0,7825400
1,8554500
0,7818900
0,7833900
0,7822700
0,7907400
0,7820500
0,7814900
1,7937800
1,7833100
1,7840900
1,7852700
1,7838400
1,7959900
1,7850200
1,7820300
1,7833900
1,7845000
1,7827300
1,7808400
0,7922300
1,7876200
1,7855600
0,7818200
0,7833400
0,7895200
0,7814600
0,7830000
0,7811600
1,7805900
0,7817000
1,7818100
0,7810300
0,7815600
1,7838700
1,7848000
0,7811500
0,7934900
0,7821300
1,7861300
0,7813700
1,7811800
1,7830000
0,7834700
0,7875400
1,7892800
0,7829500
0,7806600
1,7822500
0,7793300
1,7887000
0,7812900
1,7977600
0,7815300
0,7854600
0,7782600
1,7815700
1,7792100
1,8002800
1,7798200
0,7967100
1,7808500
1,7888600
1,7802400
1,7828700
1,7793500
1,7865600
0,7787400
0,7973000
1,7798700
1,8828300
1,7793900
1,7831000
0,7820200
1,7851900
0,7801600
1,7841700
1,7816000
1,7873400
1,7802700
1,7813400
0,7818000
1,7847600
1,7806800
0,7870600
1,7834000
1,7847900
0,7778500
0,7828500
0,7815800
0,7855500
1,7799600
1,7827200
1,7816200
1,7956100
0,7882400
0,8285700
0,7858700
1,7970300
1,7864400
1,7894100
0,7816600
1,8301200
1,7859400
0,7859100
1,7905600
1,7836700
1,7817100
0,7867500
0,7851700
1,7871200
0,7847000
1,7817000
1,7875600
0,7811500
0,8100600
1,7962300
0,8128300
0,8125700
1,8094600
1,8151900
1,8002000
0,8045600
0,8297300
1,8165900
1,7780700
0,7823600
1,7815600
1,7805700
1,7811200
1,7850200
0,7971800
0,7990100
1,7827000
0,7845600
0,7828600
1,7810700
0,7867600
1,7859700
1,7897700
0,7812400
1,7802700
1,7847300
1,7808600
0,7806500
1,7839800
1,7828300
1,7812500
1,7808600
1,7873500
0,7848200
0,8070400
1,7912900
0,8115100
0,8069400
1,8061600
0,8069100
1,8048500
0,8084900
1,8040200
1,8046100
1,8077300
0,8288600
0,8156000
0,7991300
1,8014500
0,8100800
1,8032600
1,8111900
0,8067900
1,8149500
1,8052500
0,7966500
0,7789800
0,7864800
0,7800800
1,7807900
0,7788200
0,7925400
1,7824700
0,7957000
0,7791200
1,7928800
0,7873400
0,7838600
1,7834900
0,7828800
0,7952300
0,7811300
1,7812100
0,7822900
0,7837200
0,7814000
1,7798300
0,7811300
1,7944000
0,8166700
0,7781700
0,7843500
0,7968600
0,8071100
1,8332000
0,8074300
0,8064900
1,8067600
0,8318500
1,8133700
0,8069400
0,7939700
1,7908600
0,7821500
0,7803900
1,7810400
0,7839300
0,7810500
0,7816300
1,7818300
0,7830900
0,7818100
0,7812000
0,7814200
1,7813400
0,7811500
0,7812600
0,7816400
1,7837200
1,7831200
1,7812200
0,7810900
1,7838400
0,7814100
1,7812500
0,7812900
1,7870200
1,7830000
1,7879100
1,7855500
1,7797900
1,7843600
1,7860300
0,7842700
0,7802800
1,7839100
1,7803700
1,7868600
1,7854000
1,7825900
1,7816700
1,7826900
1,7817900
0,7838400
0,7804600
1,7847700
0,7809700
1,7825800
1,7848100
1,7851200
1,7850500
0,7919400
1,7903300
1,7852100
0,7871500
0,7859300
1,7850700
0,7875500
0,8064000
1,7855300
0,7835600
0,7830100
1,7793000
0,7826700
1,7804400
0,7846900
0,7801700
1,7853500
1,7818000
0,7844900
1,7829600
1,7946200
0,7784300
1,7828300
0,7798000
0,7849300
1,7791400
0,7855000
1,7794400
0,7867300
1,7797600
0,7844500
1,7810000
1,7894300
1,7814800
1,7831200
1,7813600
1,8082700
1,9023900
1,8083600
1,7854700
0,7874600
0,7829700
1,7915700
0,7849500
0,7878900
0,7829200
0,7852600
1,7837500
1,8505900
1,7849800
1,7900500
0,7915000
0,7880500
0,7833800
1,7928600
1,7830800
1,7890700
0,8240700
0,8012200
0,8989200
0,7870700
1,7856600
1,7860700
0,8616300
0,8286200
1,8114700
0,8244000
0,7848700
1,7870200
0,7899000
1,7953900
0,9149000
1,7872100
0,7825000
0,7823600
0,7836600
0,7842400
1,7890000
1,7835400
0,7802700
0,7841300
1,7850100
