class,ns
1,7835800
1,8199000
1,8315600
1,8319600
0,7877000
1,7899600
1,7984100
1,7878800
0,7821200
1,7844900
1,7862200
0,7875700
0,7969200
0,8616500
0,7883200
1,7924100
1,7880400
0,7939300
0,7887100
1,7865300
0,7916300
1,8186800
0,7892500
1,7926500
1,7946100
0,7895800
0,7872000
0,7876100
1,7916600
1,8125300
0,7858700
1,7868000
1,7873300
1,8266700
0,7941800
0,8806000
1,7876200
1,8171200
1,7905600
1,7885300
1,7884200
1,8044400
1,7942600
1,8027700
0,8106200
1,7945100
0,8097000
1,7872200
1,7902500
1,7844500
1,7888700
0,7859100
0,7814400
0,7850800
0,7874400
0,7836300
1,7861800
0,7885900
1,7954800
1,7835700
1,7828500
1,7929700
0,7856300
0,7827400
1,7886400
0,7827800
1,7876700
0,7827600
0,7849000
0,7832200
1,7965400
0,7861900
1,7891600
1,7849400
0,7867600
1,7839900
0,7958900
0,7884100
1,8057000
1,7878000
1,7845600
1,7891300
0,7852500
0,7879400
1,7826300
0,7880100
1,7828300
1,7873100
1,7892500
1,7846400
1,7830900
1,7875400
0,7852000
0,7846100
0,7818200
0,7892700
1,7820600
0,7834200
1,8937500
0,7846400
1,7832000
0,7837900
0,7831900
0,8514900
1,8103900
0,7871300
0,7879400
0,8618000
0,7842000
0,7957000
1,7922400
1,8975700
1,8672600
1,8351500
0,8204700
0,7999500
1,9368000
1,7873100
0,8078000
1,7840700
1,7918400
0,7891900
0,7894200
1,7957500
0,7926200
1,7868000
0,7959000
0,7885400
0,7911600
0,7854900
1,7946900
1,8085700
1,7838900
1,8025800
0,7884500
1,7835800
0,8062600
0,8128700
0,8197900
1,7863500
1,7844100
1,7975800
1,7807600
0,7958000
0,7809900
1,7843400
0,7824400
1,7850700
1,7821300
1,7821600
1,7833200
0,7846400
0,7845200
1,7836700
0,7818600
1,7838900
0,7829600
1,7986200
0,7811700
1,7847300
0,7842300
0,7860300
1,7899100
1,7976100
0,7925900
1,7838100
0,7849200
1,7898900
0,7878300
1,7930500
0,7815000
1,7838700
0,7821600
0,7955900
1,7856800
1,7997900
1,7813400
1,7841500
0,7821500
1,7967000
1,7811900
1,7829300
1,7836700
1,7873400
0,7824600
1,7842300
0,7844000
1,7819300
0,7846900
1,7824100
1,7858400
1,7822200
1,7852900
1,7809500
0,7948400
0,8142700
1,7846300
1,7836400
0,7947900
1,7843600
0,7837800
1,7824600
1,7856900
0,7819200
1,7924900
0,7830700
1,7840100
1,7812600
1,7853700
1,7837800
1,7928100
1,7821200
0,7840700
0,7832800
1,7877500
1,7813000
1,7814400
0,7819200
0,7840600
0,7813300
0,8364800
0,7991900
0,7891100
0,7857400
1,7983900
1,7933100
0,8032900
1,9612600
1,8234800
0,7842800
1,7904300
1,7861200
0,8444300
1,7878100
0,8340600
1,7888000
0,7936200
0,7928500
0,8339200
0,8573800
1,7918000
1,8282400
0,8163200
1,8205200
1,7852400
1,7993000
0,7834000
0,7854100
0,7827100
0,7829600
0,7832000
1,7827200
1,7830800
0,7984700
0,7850300
1,8246000
0,8542000
0,8930500
1,8621100
0,7909200
1,7834000
0,8531700
1,8551700
1,7837800
0,8325400
1,9189600
0,8184000
0,7858700
1,7858500
0,7813900
1,7854700
0,7818600
1,7832100
1,7833700
0,7866400
1,7831100
1,9746800
0,9195900
0,7836400
1,7851700
0,7847900
0,8208900
1,7852700
1,7864700
0,7830700
0,7871600
0,7823900
1,7856000
1,7876200
0,7888200
1,7863000
0,8009000
0,7862200
1,7853000
1,7845000
1,7992400
0,7836500
1,8237700
1,7843100
1,7842600
1,7828400
1,7866600
0,7823500
0,7882100
0,7827500
1,7852300
1,7840100
1,7869000
1,7860900
0,9742300
0,7857500
1,7908700
1,7866700
0,7828400
1,7871700
1,7890800
0,7844100
0,8041600
1,8251100
0,7871100
1,7854500
1,7860500
0,7945100
0,7858300
1,8925700
1,10620200
1,8960400
0,8144500
1,8318900
0,7886200
1,7997000
1,8598300
1,9100800
0,7957800
0,7830300
0,8436500
1,7922200
1,7997900
0,7836400
0,8109900
1,7855300
1,7851800
1,7854900
0,7868500
0,8023600
1,7886400
0,7857400
0,7867300
0,7930300
1,7876200
1,7839600
0,8081600
1,7924700
1,7874200
0,7879400
1,7841400
1,7907100
0,7855000
1,7850000
1,7828200
0,7829500
0,7994200
1,7846100
1,8214400
0,7834600
0,7813000
0,7848200
0,7841400
0,7864300
0,7912700
1,7866100
1,7809500
0,7835600
0,7822400
0,8655500
1,10586300
0,8222700
1,7825200
0,7981200
0,7820100
1,7875800
1,7854900
0,7843400
0,7835600
0,7849200
0,7972300
1,7946900
1,7921300
0,8457100
1,9224700
1,8128400
0,9061700
0,8178600
1,8244200
1,8417300
0,7942400
1,8871500
1,8201800
0,7929200
1,7929700
1,8274500
1,8023900
0,8324700
1,8321800
1,8584100
0,8464800
0,7884700
1,7847900
1,7854300
1,7874300
0,7974100
1,7877400
1,8940900
