class,ns
0,15200
0,15200
1,15100
0,15000
0,14100
0,14000
0,14100
0,14100
0,14100
0,14000
0,14000
0,14000
1,14000
1,14100
1,14000
1,14100
0,14100
0,14100
0,14100
0,14100
0,14100
1,14000
1,14200
1,14000
1,14100
1,14000
1,14000
0,14000
0,13300
1,14100
0,14100
1,14000
1,14000
0,14000
0,14000
0,14000
0,14000
0,14000
1,14100
0,14100
0,17600
0,23700
0,57600
1,22100
1,22100
0,18400
1,16300
0,15500
0,16200
1,15500
0,14400
0,14400
1,47900
1,15500
1,30500
0,20100
1,15100
1,15200
1,15100
0,15100
0,39100
1,30900
0,15100
1,15200
0,15100
0,15200
1,15100
1,15100
0,15100
1,15200
0,15100
0,15200
0,15100
1,15200
1,15100
0,15200
1,15100
1,15100
0,15100
1,15100
0,15100
0,15100
0,15200
0,15100
1,15200
0,15200
1,15200
1,15100
0,15100
1,15000
0,15200
1,15100
0,15100
0,15000
1,15100
1,15100
0,15200
1,15100
1,15100
0,15100
1,15100
1,15200
1,15200
1,15100
0,15100
0,15200
1,15100
0,15200
0,15100
1,15200
1,15100
1,15100
1,15100
1,15200
0,15200
0,15100
0,15100
1,15000
1,15100
0,15000
0,15100
0,15100
0,15100
1,15100
1,32900
0,15400
0,15400
1,15500
0,15400
1,15500
1,15500
1,15400
1,15400
0,29600
0,15100
1,15100
0,15200
0,15200
0,15200
1,15200
0,15200
0,15100
1,15100
0,15100
1,15100
1,15200
1,15100
0,15200
0,15100
1,15100
0,15100
1,15100
0,15100
1,15100
1,15200
1,15200
0,15100
0,15100
0,15100
1,15100
0,15200
0,15100
0,15100
1,15000
1,15100
1,15200
1,15200
0,15200
1,15200
1,15000
1,15100
1,15100
1,15100
0,15100
0,15100
0,15200
1,15100
1,15100
0,15100
0,15000
0,15100
1,15100
1,18700
1,15200
1,13000
0,14100
1,14100
0,14100
1,14000
1,14100
0,14000
0,14300
1,14100
1,14100
1,14100
0,13900
0,11200
1,14100
0,14100
1,14100
1,14100
1,14000
0,14000
1,14100
0,14000
1,14100
0,14000
1,14100
0,14100
0,14100
1,14100
0,14000
0,14100
0,14100
0,13900
1,14000
1,14000
1,14100
1,14000
0,14000
0,14500
0,14000
1,14000
1,14000
0,14000
1,14000
1,14100
0,14000
0,13200
1,14900
0,14000
1,11200
0,14000
0,14100
0,14000
1,14100
0,14100
1,14100
1,14000
1,14100
1,14100
1,11600
1,14000
0,14000
0,14000
0,14000
1,14100
0,14100
1,14100
1,14000
0,14000
0,14200
0,14100
1,14000
1,14000
1,14000
1,14000
1,14000
1,14100
0,14000
1,13900
1,14100
0,14000
1,14000
1,14100
1,14500
1,13800
0,14100
1,14000
1,14100
1,14000
0,14100
1,14000
0,14000
1,14100
1,14000
1,14000
0,14000
0,14600
0,33000
1,15500
1,15500
0,33000
0,15200
0,15100
0,15100
0,15200
0,15100
0,39000
0,15500
0,33500
0,15100
1,15100
0,15100
1,15200
0,15100
0,15200
0,15100
0,17300
0,15100
0,15100
0,15100
0,15100
1,15100
0,15200
0,15200
1,15200
0,15100
1,15100
0,15100
1,15200
1,15200
0,15100
1,15100
0,15100
1,15100
0,17300
1,15100
0,14000
1,14100
1,14100
0,14000
1,14100
0,14000
0,14100
1,14000
0,14100
1,14100
1,14100
1,14000
1,14100
1,14100
1,14100
1,14000
0,14000
1,32200
1,30800
1,35400
1,15500
0,31200
0,15200
0,15100
0,15100
1,15100
1,15100
1,15100
0,15100
0,15200
0,31700
1,15500
0,29500
0,15100
1,15100
0,15200
0,15200
0,15100
0,15200
1,15200
0,15200
1,15100
0,15100
1,15100
0,15100
0,15000
0,15100
1,15200
1,15100
1,15200
0,15200
0,15200
1,15200
0,15100
1,15100
0,15100
1,15100
0,15100
0,15000
0,15200
0,15100
1,15100
1,15200
0,15200
1,15100
0,15100
0,23000
1,15200
0,15100
0,14000
1,14100
1,14100
0,14000
1,14000
0,14000
1,14000
0,14100
1,15200
1,15200
0,15800
0,15200
0,15100
0,15100
0,15100
0,15200
0,15200
0,15200
1,15100
1,15200
1,17100
1,16000
0,15100
0,15100
1,15100
1,15200
0,15100
1,15100
0,15000
0,15100
0,15100
1,15200
1,15100
0,15100
1,15100
1,15200
1,15100
0,15200
1,15200
0,15100
0,15100
0,15200
1,15200
1,15100
1,15100
0,15100
1,35600
0,15500
0,29400
1,15200
1,15400
0,15200
1,15200
1,15200
0,15200
1,15200
1,15100
1,15100
0,15100
1,15100
0,15100
0,15200
0,15200
1,15100
1,15100
1,15200
1,15200
1,15100
0,15100
0,15100
1,15100
0,15100
0,15100
0,15100
1,15200
0,15100
1,15200
1,15200
0,15200
1,15100
1,15100
1,15100
1,15100
1,15100
1,15000
1,15100
0,15200
1,15100
1,15100
1,15200
1,15100
0,15200
1,15200
0,15100
1,15100
1,15200
1,16000
1,15200
0,15100
1,15200
0,15200
1,15200
1,15200
1,15100
0,15000
0,15100
1,15100
0,15200
1,15100
0,15200
0,15200
0,47600
0,33300
0,31100
0,15000
1,15100
1,15300
0,15200
0,15200
1,15100
1,15100
0,15100
1,14100
1,14000
1,14100
0,14000
0,14100
0,14100
0,18100
0,15100
1,15200
1,15200
1,15200
0,15200
0,15100
0,15100
1,15100
0,15100
1,15100
1,15100
0,15200
1,15200
0,15100
1,15100
1,15100
1,15200
0,15100
1,15200
0,15100
0,15100
1,15200
1,15300
1,15100
1,15100
1,15100
1,15100
0,15100
0,15100
0,15100
0,15000
1,15100
1,15100
1,15200
1,15100
0,15200
0,15200
1,15200
1,15200
1,15200
1,36600
0,15400
1,29500
1,15100
0,15100
0,15100
0,15100
0,15100
1,15200
1,15200
0,15100
0,15100
1,15200
1,15100
0,15100
1,15200
1,15200
1,15100
1,15100
1,15100
0,15100
0,15100
0,15100
0,15200
0,15100
1,15100
0,15200
0,15200
0,15200
0,15200
0,15100
