class,ns
1,17500
0,11700
1,17400
1,17400
0,11400
1,17100
1,17000
0,11300
1,17000
1,17000
1,17100
1,17100
0,11400
0,11400
1,17000
0,11400
0,11400
1,17100
0,11500
0,11400
0,11500
0,11400
1,17100
1,17100
1,17100
1,17100
0,11400
0,11400
0,11300
0,15200
1,17100
1,17400
1,17000
1,17300
1,16200
0,11600
0,11700
0,10700
1,17400
0,11700
1,17000
0,10900
0,10800
1,16200
0,11700
1,17400
1,17100
1,17000
0,11400
0,11400
1,17100
1,17000
1,17100
1,17100
1,17000
0,11400
0,11400
1,22100
1,17500
0,11400
0,11700
0,11600
1,17500
1,16200
1,17400
1,17400
1,17400
1,17500
0,11600
1,17500
1,17400
0,11600
1,17500
0,11600
1,17400
0,11800
1,17400
0,11600
0,11600
0,11400
1,17400
0,11500
1,17100
0,11400
0,11400
1,17100
0,11400
1,17100
0,11400
1,17100
1,17000
0,11300
1,17100
1,17100
0,11400
1,17200
1,20000
1,17500
0,11700
1,17500
0,11400
1,17500
1,17400
0,11700
0,11600
1,17300
0,11600
1,17400
0,11700
1,17400
0,11700
0,11600
1,17400
0,11600
0,11700
1,17500
1,17400
1,17500
1,17400
0,11700
0,11600
1,17400
0,11600
0,11700
1,17400
0,11600
0,11700
0,11600
0,11700
1,17500
1,17500
1,17400
1,17400
1,17400
0,11700
1,17400
1,17500
1,17300
0,11600
1,17400
1,17400
0,11600
0,11600
1,17500
0,11600
0,11600
0,11600
0,11600
1,17400
1,17400
1,17500
0,11600
1,17500
1,17400
0,11700
1,17300
0,11600
1,17400
0,11700
1,17300
1,17400
0,11600
0,11600
0,11600
0,13600
0,12100
0,11600
0,11600
1,17100
1,17100
0,11400
1,17000
1,17100
1,17100
0,11400
0,11400
1,17100
1,17100
0,11400
0,11400
1,17000
1,17000
0,11400
1,17100
0,11400
0,11400
1,17100
1,17100
1,17000
1,17200
1,17000
0,11400
1,20200
0,11600
0,11600
1,14800
1,17400
1,17500
0,11600
0,11600
1,17500
1,17400
1,17500
1,17500
0,11700
0,11700
1,17400
1,17400
1,17400
0,11700
1,17500
1,17500
1,17100
1,17000
1,17100
1,17000
1,17000
1,17000
1,17000
1,17100
1,17000
0,11400
0,11300
0,11400
0,11400
1,17000
1,17100
0,11400
1,17100
1,17100
1,19900
0,11400
0,11700
1,17100
1,17000
0,11700
0,11700
0,11700
1,17500
1,17500
0,11700
0,11700
0,11700
1,17400
1,17500
0,11600
