class,ns
1,30342200
0,23864200
0,23900600
0,23886600
1,23206900
1,53263500
1,33511400
1,28097200
0,23909800
1,29479000
0,23699000
0,23837600
1,22523600
0,23712100
0,23648100
1,24711400
1,24133300
1,46810700
1,65617400
0,23779600
1,28944000
1,38883300
1,31717600
1,22602600
0,24017500
0,25919100
1,56387900
0,24905100
0,24684300
0,24685700
1,41474600
0,24611800
0,24724400
0,24409700
0,24275900
1,24173700
0,24616300
1,41623700
0,25442000
0,24269400
1,24131200
1,35477900
0,24161600
1,28485000
0,24039800
0,23577100
1,34379600
1,23449500
0,23631600
0,23819200
0,23736200
0,24297000
1,34810300
0,24183700
1,23389700
0,24943000
1,40827100
0,24290800
0,24298600
0,24381600
1,24717600
1,27725900
0,24308700
1,22758600
1,44570000
1,72389400
0,23764300
1,22238000
0,23884200
1,48436400
1,28704800
0,23555100
1,23719200
1,48032700
1,31336300
1,41211700
0,24267600
1,47102700
0,23693500
1,63468000
0,23441300
1,35001500
1,31732400
1,33295000
1,24784700
1,50606800
1,22086800
1,75427000
1,29395800
0,23808800
0,24232400
0,23860600
0,24294000
1,51752300
1,27068800
0,23419600
0,23610500
0,23491800
1,53086900
0,24721100
0,24161300
0,24318900
1,39835700
1,26394700
0,24637000
0,24419000
0,24174300
0,24179500
0,24246800
0,23956000
0,23519000
1,49397200
0,24642000
0,24129200
1,25695200
1,40705800
1,23519200
1,33781500
0,24627400
0,25030900
0,25274000
1,22583400
1,22612800
0,23794400
1,27753100
1,28773400
0,24959400
1,31113900
1,49240500
0,24151100
1,26585500
0,23656600
1,42161600
1,29830700
0,23964400
0,23651100
0,24435700
0,23879600
1,36355800
1,64550000
0,23721900
1,22641500
1,38132900
0,23974300
0,23661400
0,23796800
1,58282500
1,26903200
0,23508800
1,43090400
0,23491600
1,23616400
1,29280100
0,23710500
0,23853700
0,23633800
1,32519300
0,23947100
1,31954000
0,24426600
0,24518600
1,34572400
1,24782200
0,24108900
1,40538900
1,24127800
0,23966700
0,24422500
1,22607400
0,24312600
1,33913700
0,24156500
0,23658700
1,29463700
0,25088900
0,27551200
1,28474600
0,24329900
1,27616900
1,28600600
0,25302700
1,29633200
1,28115000
0,24198100
0,24286000
1,29544200
0,24303200
0,23549200
1,22159900
1,26622900
0,23608100
1,44153200
0,26202700
1,32325800
1,29540800
1,36291200
0,26304700
1,45739000
1,28393800
0,25790700
0,24552300
1,32792500
0,24640300
1,57762900
1,24507600
1,35996900
0,23414600
1,31051400
0,26593700
1,39576800
0,24704900
1,69529500
1,44867700
1,55226900
0,23716500
1,26843900
1,35914100
0,23476900
1,69023300
1,53146800
0,23420100
1,29515000
0,23711400
1,47868400
0,24014400
1,24256300
0,24791200
1,49653500
1,44493400
1,28772600
1,54667300
1,26053000
0,24186600
0,24136000
1,37660500
1,25617600
0,23396300
0,23564900
1,30431000
0,24187700
1,47304700
1,38368000
0,26097500
1,66350300
1,39648000
1,24753400
0,24401400
0,24217600
0,24226800
1,24315000
1,26809400
1,62397500
1,24614600
1,45150700
0,29714300
0,24186900
1,34905700
1,24202900
1,22837300
1,43645200
0,23723800
0,24362900
1,61363900
0,24415400
1,30729000
1,33857100
0,24329500
1,34020700
1,30732000
0,24323500
0,25968000
1,57519400
1,33623100
0,24214000
1,25890700
0,24216400
0,24158900
1,99591700
1,27103000
0,24489100
0,24747700
0,24755600
0,24684000
0,25017900
0,24411600
1,36690000
0,25761000
1,23535100
0,25005900
1,31825300
0,24655600
0,24916500
0,25247400
0,24747200
0,24860900
1,31790300
0,24738200
1,70817400
0,24504500
1,27089700
0,24465300
0,24259300
0,24374000
0,24353400
0,24466500
1,51609900
1,40092000
1,37189600
0,25077100
1,48784600
0,25798300
0,25778200
0,24887400
0,24314200
0,24641000
0,24614900
0,24677500
1,27516900
0,26372700
1,38255100
1,30698000
0,24622500
1,23198200
1,45053800
1,38514600
0,24239100
0,25919000
1,32582500
0,24256500
1,31131800
1,25715500
1,59429200
0,24319100
1,38710000
0,24428700
1,28751700
1,23056700
0,24515600
1,22782800
1,29585000
1,26483100
0,23861900
1,23005900
1,26308800
1,27663800
1,70737000
0,24165600
0,24615600
0,24101100
1,35118400
0,23798000
0,24273500
0,24197200
0,24550000
0,24325100
0,25224700
0,26489300
1,77209900
1,33992500
1,24468800
0,25586200
1,24905100
1,29091900
0,24632600
0,24104700
0,23450600
1,26787700
1,45985000
0,24639800
1,34385400
1,34430500
1,22766700
0,24592200
1,54444900
1,42066200
0,24213400
1,29257100
0,23902900
1,37620200
1,28318800
0,23599900
1,23886700
1,59023900
0,25390800
1,33720200
0,25176500
0,27310900
1,45588700
0,24717000
1,35590000
1,22793800
1,22773700
1,27929900
1,61326200
0,23880100
0,23720900
1,22153300
0,23508500
0,23747700
0,23459000
0,24418600
0,23931800
1,45016700
1,45709400
0,24127600
1,40518400
0,23727300
0,23689200
0,23385400
1,40757700
1,24022900
1,23785100
1,29798200
1,64948700
0,24632100
1,38957100
0,25039700
1,25781500
1,118448200
1,30011500
1,24105700
1,22635000
1,28090400
0,24269900
1,55325800
0,23721200
0,23629400
0,24895200
0,25114900
1,33659300
0,24302400
1,24266900
1,25528800
0,24586200
0,28214300
0,24907000
0,25429600
1,39340200
1,23130200
0,24631700
1,26293100
0,24266600
0,23610400
1,84966500
0,24690100
0,24755200
0,24625500
1,30518900
0,24213000
0,25242700
1,26021200
0,25125400
1,40236700
0,24962800
1,36821500
0,24849100
1,23227500
0,24685700
1,39350300
0,24607000
0,24600600
0,24205000
1,78738200
0,23824300
0,23664900
0,23802900
1,28006000
1,59042200
1,29686200
0,23788300
1,27539700
1,27966900
0,24323200
0,24228400
0,23758800
1,22645800
0,23930700
0,23938600
1,31969100
1,29084000
1,45090700
1,27762500
1,23750900
1,30407000
1,36060500
1,22655700
1,33282200
1,28573300
0,24195200
0,24242600
0,24224100
0,24226400
1,31837800
0,23990200
1,23915800
0,24750000
0,24870100
1,36820200
0,24752700
1,67768700
0,24759100
1,27112500
0,25135600
1,46967600
0,24496600
0,24738500
0,24632000
0,24645600
1,49117500
1,33735000
0,23755800
1,27706900
0,23745700
0,23918500
1,25473800
0,23654400
0,23447800
1,23888600
0,24043800
0,24607900
0,28116900
1,71217500
0,24850400
0,24765300
1,27733200
1,32493400
0,24660100
0,24653100
1,40117000
1,45941100
1,76803000
1,38199000
1,24481500
1,22873200
0,23373000
1,30012700
0,23821100
0,23367400
1,24559900
1,32204800
0,23898900
0,24197300
1,30508100
1,22811200
0,24199000
1,29834500
1,32707800
