class,ns
0,7638700
1,7692700
1,7612800
0,7693400
1,7623100
1,7760200
1,7619200
0,7586600
0,7382000
1,8738000
1,7354300
1,7756800
1,7355700
1,7779700
1,7360000
1,7644000
1,7404300
0,7510300
1,7382700
1,7577400
1,7486500
1,7606600
0,7490800
1,7674700
0,7539200
1,7666100
0,7507500
1,7613600
0,7548600
0,7583100
1,7539600
1,7896600
0,7658400
1,7518300
0,7491600
1,7520500
1,7444000
0,7515900
0,7518300
0,7673700
1,7485300
0,7526700
1,7516800
0,7562700
0,7473600
1,7457400
0,7532600
0,7352600
1,7449900
1,7368500
1,7907000
1,7366300
0,7469100
1,7380200
1,7735900
0,7324600
1,8951900
1,8127900
1,7619500
0,7413700
1,7757000
0,7627500
1,7708000
0,7626300
0,7680000
0,7723700
0,7688100
1,7616700
0,7729500
1,7621000
0,8249300
0,7673200
0,7824700
1,7630400
0,7898500
0,7675300
0,7808700
1,7635700
1,7720200
1,7629500
1,7762300
1,7621200
0,7691200
0,7654900
1,7757400
0,7705600
1,7682600
1,7635200
1,9489300
0,10666000
0,10941200
1,10965900
0,11001400
1,10340400
1,7789100
0,7911500
1,7884200
1,7709800
0,7735400
1,7736700
1,7708800
1,7639000
0,7864800
0,7632700
0,7685300
1,7617500
1,7705200
0,7627000
0,7823900
0,7627400
0,7699300
1,7621200
1,7691400
0,7624500
1,7717600
1,7615000
0,7693400
1,8447400
0,7841500
1,7624900
0,7691000
0,7700000
1,7619600
0,7380000
1,8333800
1,7479900
0,7582900
1,7441900
1,7460500
1,7384400
0,7485700
0,7414400
0,7579500
0,7383700
0,7979500
1,7635600
0,7698200
1,7621100
1,7689400
1,7638000
0,7852400
0,7636300
0,7714500
0,7635600
0,7681500
0,7627500
1,7697400
0,7624800
1,7697500
0,7486600
0,7526900
0,7472500
0,7523900
1,7475300
1,7468500
0,7568400
0,7470300
1,8342300
1,8424900
0,8736100
1,8742500
0,7619100
0,7805400
0,7787300
1,7813800
0,7804200
1,7798100
1,7787900
1,7818700
1,7793700
0,7799700
0,7785400
1,7816700
0,7786700
0,7844100
0,7471700
0,7545000
1,7490600
1,7879200
1,7457500
1,7540400
0,7468600
0,7656800
0,7471600
0,7839900
0,7490300
0,7546100
1,7464500
0,7613500
1,7464700
0,7579600
0,7469500
0,7487900
0,8276000
0,7590300
1,7645600
0,7522100
0,7768700
0,7515200
1,8534000
1,8056300
0,7633600
1,7698600
1,7627300
0,7709600
1,7631300
0,7744000
0,7631100
1,7725300
1,7616300
1,7690600
0,7626800
1,7615400
0,7873900
1,7619900
1,7681200
0,7735200
1,7720900
0,7622700
1,7768800
0,7628400
1,7828300
0,7625700
0,7724400
0,7626500
1,7745000
1,7578300
0,7576400
0,7470800
1,8122700
0,8390000
1,8611000
1,8417500
1,8873600
1,8117100
0,7754600
1,8024000
0,7470900
0,7637300
1,7758200
1,7892600
1,7782300
1,7816100
1,7760800
0,7802800
0,7792900
0,7879600
1,7768300
1,7933400
0,7802000
1,7825000
0,7781800
1,7713600
1,7472100
1,7558700
1,7456600
1,7521000
0,7469900
0,7583000
1,7457300
1,7906000
1,7921400
1,8114500
0,7981300
0,8882800
0,8195300
0,9059200
1,7901700
1,7852300
1,8018800
1,7699500
1,7611800
0,7697200
1,7636500
0,7689200
1,7624400
1,7676000
0,7643100
0,7695200
1,7623600
0,8642600
0,7681800
0,7682300
0,7625900
1,7702500
1,7619300
1,7682100
1,7631300
1,8252200
0,7728800
0,7768500
0,7787500
1,7944800
0,7786600
1,7807600
0,7787500
0,7809300
1,7776600
0,7811300
0,7792300
0,7820000
0,7787900
0,7797200
0,7528900
0,7545400
0,7471400
1,7847300
0,7473300
0,7548100
0,7469600
0,7532400
0,7473300
1,7592400
0,7732000
1,7550100
0,7470700
0,7562100
1,7472400
1,7532600
1,7475500
0,7548900
0,7471900
0,7540000
0,7471600
0,7630500
0,7498500
1,7463700
1,7593200
0,7518100
0,8246000
1,7597700
0,7962700
1,7512300
0,7591900
0,7473000
1,7685700
1,7470900
1,7527500
1,7476400
0,7544700
0,7469400
0,7555200
0,7511000
0,7572400
1,7465800
0,7527300
0,7504100
0,7671900
1,7459200
1,7606700
0,7810300
1,7539600
0,7470000
0,7532400
0,7470000
1,7777600
0,7475300
0,7560400
1,7474100
1,7726600
