class,ns
1,7810900
1,7780700
1,7842300
0,7782700
0,7801000
0,7778700
0,7817800
0,7784000
0,7805700
1,7615100
0,7689800
1,7611400
1,7701200
0,7617800
1,7713600
1,7653000
1,7905200
0,7635500
1,7761900
0,7620100
0,7819400
1,7641500
0,7544300
0,7464900
1,7612600
0,7474600
0,7569100
1,7458800
0,7659200
1,7480000
1,7545100
0,7463900
1,7551400
1,7475100
0,7567100
1,7401300
1,7436300
1,7325000
1,7758000
0,7378900
0,7581800
0,7405200
0,7373200
0,7376100
0,7393200
0,7451200
1,7393300
1,7582000
1,7375200
1,7431800
1,7543600
1,7513100
1,7373100
0,7668900
1,7709000
0,7394900
1,7372700
1,7690200
0,7324200
0,7643500
1,7370700
0,8264500
0,7630900
0,7785800
0,7637300
1,7681100
0,7628300
1,7661000
1,7619100
1,7694400
1,7636100
1,7845200
0,7750600
1,7712900
1,7629900
1,7655100
1,7464400
1,7522900
1,7488100
1,7522000
1,7565900
0,7607700
1,7521800
0,7515500
0,7482300
0,7666300
0,7478000
0,7557800
1,7395300
0,7389900
0,7463300
1,7310400
0,7444000
1,7386600
1,7492200
1,7311100
1,7431700
0,7393900
1,7480200
0,7411100
0,7523500
1,7387500
1,7588500
1,7306800
0,7835700
0,7411300
1,7445000
0,7316500
1,7468800
0,7621900
0,7476700
0,7538200
1,7466200
1,7825100
0,7385200
0,7921400
1,7619200
0,7946000
0,8500100
0,8464800
0,8537000
0,9097100
0,8999700
0,7623300
1,7818300
0,7621600
0,7711800
0,7778700
0,7867500
0,7780300
0,7877000
0,7785900
0,7842300
0,7786500
1,7810900
1,7774800
0,7965400
0,7780900
0,7806500
1,7786100
0,7707300
1,7620100
0,7687200
1,7627300
1,7681700
1,7619900
0,7705700
1,7926800
1,7675000
0,7714800
1,7779100
1,7652200
1,7680100
0,7464800
1,7690000
0,7482800
1,7564400
1,7459800
0,7591400
0,7482400
1,7648100
0,7465700
1,7623400
0,7481300
1,7522600
0,7463700
1,8025600
0,9383500
0,7834400
0,7379100
0,7410000
0,7414300
1,7409900
0,7313300
0,7607300
1,7419100
0,7553400
1,7314800
1,7467600
0,7392500
1,7470400
1,7650400
1,7393700
0,7544100
1,7512500
1,7873200
0,7394100
0,7618300
0,7625900
0,8116100
1,8122700
1,9097300
0,7876200
1,7832500
0,7884000
1,7778100
1,7799900
1,7788400
1,7831900
1,7799300
0,7859600
1,7828400
1,7962200
1,7834500
1,7863300
1,7798800
1,7866800
0,7820400
1,7967500
0,7802700
0,7874000
1,7829300
1,7850300
0,7789000
1,7872200
1,7807100
0,7830800
0,7791000
1,7734000
0,7623900
0,8430900
1,7521700
0,7637300
0,7619000
0,7744200
0,7638300
0,7788500
0,7622700
0,7701500
1,7634300
1,7640800
1,7459400
1,7618200
0,7479500
0,7612800
0,7536300
1,7601800
0,7480200
1,7725200
1,7456000
0,7705800
0,7505200
0,7867600
0,7469500
1,7727900
1,7481400
1,7647300
0,7793400
1,7465500
1,7749000
0,7473200
0,7556300
0,7480300
1,7610900
1,7485500
0,7617100
1,7480100
0,7677500
0,7472800
0,7554600
1,7771500
0,7650400
1,7483000
0,7535200
0,7517800
0,7689700
1,7956800
0,8600600
1,8664500
0,8418200
1,7839100
1,7815800
1,7797800
1,7970400
1,7800000
1,7787900
0,7929400
0,7804700
1,7800500
1,7808900
0,7799500
1,7801800
0,7722200
1,7690300
1,7619300
0,8029500
1,7639200
1,7719000
0,7638300
1,7849100
1,7637600
1,7692800
0,7639900
1,9087600
0,7627800
0,7698800
0,7638500
1,7809400
0,7631000
0,7746100
1,7616700
0,7669300
1,7638200
0,7801200
1,7620000
0,7752100
1,7654100
0,7763300
0,7491600
1,7474400
1,7636800
0,7475500
0,7399600
1,7566400
0,7645700
1,7452400
0,7396400
0,7452300
0,7325600
1,7482800
0,8294400
0,8035300
1,7661600
0,7686000
0,7643200
1,7738000
0,7645200
0,7677100
0,7640400
0,7690700
1,7655900
0,7935400
0,7681700
0,7755300
0,7748900
0,8234300
1,7884700
0,7854700
1,7869200
1,7994600
1,7480500
1,7602700
0,7496600
1,7525400
1,7460500
1,7528700
1,7502600
1,7710500
0,7639800
0,7679200
0,7645700
1,7671700
1,7616500
0,7705800
1,7640800
0,7690400
0,7640500
0,7686600
1,7638700
0,7687300
0,7555100
1,7406100
0,7327300
1,7517100
0,7453800
0,7328700
0,7658000
1,7371300
0,8100700
1,7396700
1,7448900
0,7379700
1,7568500
0,7733400
1,7820800
0,7624700
0,7704300
0,7689300
1,7706900
1,7613000
0,7902600
1,7732200
1,7698600
1,7610400
0,7793000
1,7637700
0,7733100
1,7306200
0,7515300
1,7450700
1,7818300
0,7319000
1,7654100
1,7394200
0,7569000
1,7338500
1,7545900
0,7392900
0,7488700
1,7309000
0,7522100
1,7500600
1,7554400
0,7465300
0,7768500
1,8684300
1,8793900
0,9053600
1,8668900
1,7463100
0,7770900
1,7455300
0,7696200
0,7783100
1,7828800
1,7773700
0,7958900
0,7780500
0,7822600
1,7772800
0,7976700
0,7783600
0,7789600
0,7784100
1,8956800
1,9088300
1,7470400
1,7389100
1,7495300
0,7374400
1,7453800
1,7384800
1,7437200
1,7374100
0,7472100
0,7333600
0,7458700
0,7376400
0,7506900
0,7316000
1,7693300
0,7453800
1,7393200
1,7405600
1,7376400
1,7829700
0,7384900
0,7417800
1,7390000
0,7663500
1,7398600
1,7495400
1,7483500
0,7531500
0,7475300
0,7996800
1,8190200
0,8309700
1,8728700
0,7593300
0,7482500
1,7539900
1,7740200
0,7648100
0,7527600
1,8793500
1,7638500
1,7701800
1,7626800
0,7839800
1,7640000
0,7748700
0,7680400
0,7912800
0,7671700
0,7696200
1,7617800
0,7704400
0,7646500
0,7672800
0,7639500
1,8463700
1,7658800
0,7676600
0,7639700
0,7704100
0,7667100
1,7674700
1,7619300
0,7671300
1,7604800
0,7396200
1,7375600
1,7587500
0,7402500
0,7516600
0,7580800
1,7509100
0,7593100
0,7443900
0,7401200
1,7448200
1,7417600
0,7838100
1,7468500
1,7699300
1,7798400
0,7468000
1,7619200
1,7500800
0,7702400
1,7456500
1,7551200
0,7467700
0,7585800
1,7456300
0,7640600
0,7464600
1,7670700
1,7457000
0,7573100
0,7794700
1,7623700
0,7468000
1,7615400
1,7462200
1,7685200
1,7458800
1,7718100
1,7463300
1,7592700
0,7537700
0,7603600
0,7467600
1,7609400
1,7553700
0,7564100
0,7460900
0,8163600
0,7464900
1,7601700
1,7463700
1,8002400
0,7937900
1,7681400
1,7615700
1,7729600
1,7653200
1,7811200
0,7904500
0,8156700
0,8129500
0,7837800
0,7681200
1,7698000
1,7613900
1,7781000
1,7800700
1,7861900
1,7777200
0,7820700
1,7795100
1,7812900
0,7783200
1,8466900
0,9889400
0,7824900
0,7780700
0,7767100
1,7463100
1,7546300
0,7754000
1,7667800
0,7466600
1,7563300
0,7648900
1,8090100
1,7467300
0,7630100
1,7455700
1,7631600
1,7463100
0,7552900
1,7458200
0,7569900
1,7465300
1,7548600
1,7459300
1,7574000
0,7527100
0,7474900
0,7604800
0,7828600
0,7749800
1,7526500
0,7684900
0,7564900
1,7596900
1,7635900
0,7602300
1,7484800
1,7557300
1,7483800
1,7684400
1,7481800
1,7594900
0,7477000
0,7581400
1,7479100
0,8714800
0,7554400
0,8183300
1,7684300
1,7711700
1,7585400
0,7615800
0,7523000
1,7563800
1,7515300
0,7554200
0,7484200
1,7640200
0,7628900
0,7699200
1,7617500
1,7680300
0,7631800
1,7731200
1,7619500
1,7873300
1,7642700
0,7751600
0,7641500
0,7811100
1,7569500
0,7733700
0,7487400
0,7525700
0,7489100
0,7386500
1,7516100
0,7463300
0,7533500
0,7664900
1,7543600
0,7464700
1,7560300
0,7487900
0,7694200
0,7317900
1,7591200
1,7797900
1,8151000
0,7316900
1,7472000
1,7385500
1,7468200
1,7312600
0,7441800
0,7412000
0,7456700
0,7465000
0,7582900
0,7482300
1,7570600
1,7493100
0,7561400
0,7481100
1,7840400
1,7464100
0,7732900
0,7487500
1,7621800
0,7465900
1,7515000
1,7447300
1,7701900
0,8142200
1,7542000
0,7396600
0,7394900
1,7409100
0,7416100
0,8587800
1,7512600
1,7739700
1,7392200
1,7670700
1,7616700
0,7677700
1,7637800
1,7941800
0,7639200
1,7681300
0,7641600
1,7669400
0,7636000
0,7676200
1,7653700
0,7693500
1,7451600
1,7460100
1,7462100
1,7506100
0,7397300
0,7805700
1,7507500
0,7690900
0,7366000
1,7532800
0,7403000
0,7398300
0,7397500
0,7545600
0,7491100
1,7533100
1,7460400
0,7542000
1,7500400
1,7517700
0,7485800
1,7462500
1,8849800
1,8181100
0,9035300
1,7991000
1,7646400
1,7728600
0,7647200
1,7687200
1,7662800
0,7766600
0,7640600
0,7785800
0,7646700
0,8740900
0,7643300
0,7695800
0,7630100
1,7698400
1,7459900
0,8406300
1,7718300
1,8066200
1,7464200
1,7563200
1,7484700
1,7655900
1,7464300
0,7586200
0,7476600
0,8038200
0,7809500
0,7788900
1,7638100
1,7683500
1,7615500
0,7691800
1,7635300
1,7717900
0,7764400
0,7713800
1,7638900
1,7807100
1,7620800
0,7739200
0,7654300
1,7537200
0,7579600
0,7612600
1,7488100
0,7629300
1,8162400
1,8721300
0,8751600
0,8637700
1,8925500
0,8070500
0,7795300
1,7879800
1,7808000
0,7947200
0,7793500
0,7832800
1,7779400
0,7802000
0,7791300
1,7824000
0,7803200
1,7793900
1,7621600
1,7556400
0,7483100
1,7525400
0,7476800
1,7592700
0,7485500
1,7520100
1,7866800
0,7572500
0,7483400
0,7722300
0,7472200
1,7662000
1,7462200
0,7523000
0,7474900
0,7580800
0,7483300
0,7589300
0,7551900
0,7560500
1,7463700
1,7462100
1,7775100
1,7490200
1,7639900
0,7500400
0,7571900
1,7386100
0,8370000
1,7479500
1,7536800
1,7457400
0,7454900
0,7311500
1,7476600
0,7392600
0,8101200
0,8102600
1,7973500
0,7799100
1,8023200
1,7688500
0,7690000
0,7665300
1,8058000
0,7620500
0,7730900
0,7623800
1,7696000
1,7619700
1,8447900
0,7782000
0,10040300
0,8488800
1,8047800
0,7853200
1,7881400
1,7834000
1,7900600
1,7816700
0,7868300
0,7923600
1,7854700
1,7830400
1,7824900
1,8244200
0,7938700
1,8040700
1,7849800
0,7859100
1,7817100
1,7819600
0,7821400
1,7845400
0,7810700
0,7898400
0,7876300
0,8568600
1,8929900
0,7896800
0,7892300
1,7849300
0,7830900
1,7857200
1,7842100
0,7812900
0,7815900
0,7804800
1,7801000
0,7804200
0,7810000
0,7804100
1,7807300
1,7804100
0,7807100
0,7843200
0,7935800
1,7846300
1,7802900
0,7951400
0,7802900
1,7955700
1,7814600
1,7689100
1,7628600
0,7732800
0,7629100
0,7726800
1,7616500
1,7679600
1,7638800
0,7686100
1,7616600
1,7682200
0,7630300
0,7704300
1,7617400
1,8477900
1,8059500
0,7708600
1,7619000
1,7674900
1,7638100
0,7742600
0,7645700
