class,ns
1,16336700
0,7599100
1,7678700
0,7615300
0,7601000
0,7631300
1,7992100
0,7387000
0,7489100
0,7472400
1,7573700
0,7468800
0,7559300
0,7472100
1,7554900
0,7471800
1,7568800
0,7472500
0,7858400
0,7975800
1,8685000
0,8558500
1,7853300
1,7819400
0,7832400
1,7793400
0,7803500
1,7750800
0,7838800
0,7788100
1,7787900
1,7777500
0,7822800
1,7798000
1,7800100
1,7789800
1,7814300
0,7793600
1,7814600
0,7809000
0,7798500
1,7797400
1,7793100
0,7809900
1,7924500
0,7794700
1,7780400
0,7612700
1,7591200
0,7473400
1,7700100
0,7508100
0,7669500
1,7474800
0,7540100
1,7685400
0,7533100
1,7472500
1,7626700
1,7595600
1,8664200
1,8627800
0,7864700
0,8058500
1,9065700
0,7896500
1,9089800
0,7956400
0,8218400
0,7509900
1,7577200
0,7473900
1,7621200
1,7788800
0,7815500
0,7788600
0,7800600
0,7804400
0,7822400
0,7789800
0,7804300
0,7803500
1,8168000
1,7765300
1,7856600
1,7753100
0,7976600
1,7750300
1,7673200
0,7652500
1,7948700
0,7669500
0,7676200
0,7644900
1,7811100
0,7885700
0,7740800
1,7805200
0,7806900
0,7760100
1,7734800
1,7687500
1,7793300
0,7688800
0,7781600
0,7648300
1,7740300
1,7646200
1,7751800
1,7777700
0,7740900
1,7810600
1,7869800
0,7720600
0,7668500
0,7783500
1,7687500
1,7777400
0,7650200
1,7718100
0,7711200
1,7707600
1,7632200
0,7871100
1,7536000
0,7469200
0,7381500
0,7443400
0,7542800
0,7420100
1,7512600
1,7580900
0,7538200
1,7403800
0,7592000
0,7693100
0,7483900
1,7453900
1,7693700
0,7554200
1,7903200
0,7546500
1,8159700
1,7369900
0,7522700
1,7479100
0,7544200
0,7468800
0,7569600
0,7469100
0,7674400
0,7382000
1,7536300
0,7434000
0,7496400
0,7234000
1,7587300
1,7368400
1,9034400
0,7437500
0,8298000
1,7793900
1,8039400
1,7723000
1,7770300
1,7607900
1,7661500
1,7664700
0,7782600
1,7621000
0,7762900
0,7679500
1,7864600
0,7688800
1,7872700
0,7648100
0,7646200
1,7488000
1,7478500
1,7954700
0,8175200
0,8407300
0,8345300
1,9048400
0,8284400
1,8276100
1,7927400
0,7601700
0,7668100
0,7789700
1,7821900
1,7771000
1,7890900
1,7781500
0,7828100
0,7787900
1,7806500
0,7792000
0,7821700
1,7798500
0,7827000
1,7803300
1,7526600
1,7475000
0,7555400
1,7382500
0,7514900
0,7469200
0,7537600
1,7452300
0,7962900
0,7473100
1,7593200
1,7490700
1,7548000
0,7440200
1,7480400
1,7323100
0,7778500
1,7374600
1,7462000
0,7402300
0,7397100
1,7398300
1,7370500
0,7581800
0,7528400
1,7428700
1,7434500
0,8011300
1,7522400
1,7606400
0,7567800
0,7896300
1,7548900
0,7697800
1,7571600
0,7698600
1,7545100
0,7597500
1,8157400
1,7670700
0,7630100
1,7691200
1,7625700
1,7714800
1,7615500
1,8399300
0,7632500
1,7673800
1,7602400
1,7790500
1,7621200
0,8140300
1,7575400
0,7411600
0,7411700
1,7546800
1,7367000
1,7595000
1,7326100
1,7626300
0,7373300
1,7809300
1,7473000
1,7856200
1,7421400
0,8178500
1,7638100
0,7714500
1,7614700
0,7761600
0,7645900
0,7823600
1,7628700
1,7678000
0,7648000
1,7677800
1,7635200
0,7702000
1,7613800
0,7526100
1,7544100
0,7643400
0,7532500
1,7618700
0,7622100
1,7583200
0,7735300
1,7527800
0,7487800
0,7382600
1,7496800
1,7548400
1,7571200
1,7509700
0,7599300
1,7449500
0,8031700
1,7564400
1,8917300
0,8467200
0,8488300
1,8862300
1,7519600
0,7700500
1,7640400
0,7941100
1,7862000
0,7908900
0,7893000
0,8038100
0,7811600
1,7842500
1,7819100
0,7881000
1,7849700
0,7836100
1,7813700
0,7877700
0,7824600
0,7937600
0,7809600
0,7905700
1,7844800
0,7855500
1,7802400
1,7841800
0,7943100
1,7869900
0,7853800
1,7855800
1,7397800
0,7714500
1,7475600
1,7453900
1,7441100
1,7959400
0,8478100
1,7966900
1,7542800
1,7747900
1,7492600
0,7550300
0,7376300
0,7818200
1,7710200
1,8074100
1,7988000
1,8220400
0,8507200
1,7756700
0,7685300
1,7757100
1,7665500
0,7946400
0,7718400
1,7833400
1,7815700
0,7895300
1,7866200
0,7994300
1,7863100
1,7895300
1,7897300
0,7930500
1,7820100
0,7863700
1,7835100
0,7999500
0,7729000
1,7749000
0,7645100
1,7754500
0,7665500
0,7745800
1,7698400
1,7750000
1,7679000
1,7736300
1,7671700
0,7789900
1,7679800
0,7692900
0,7698200
0,7674100
0,7553100
1,7640300
0,7563800
0,7595700
0,7545800
0,7617700
0,7563400
0,7640200
1,7685500
0,7685600
0,7524900
1,7515000
1,7345200
0,7619100
0,7448700
1,7624700
1,7347500
0,7488400
0,7446300
0,7589300
0,7343300
1,7441800
1,7506300
1,7357000
0,7561300
1,7477900
0,7473100
0,7342100
0,7471500
0,7427500
1,7720700
0,7340500
0,8445200
0,7421500
0,7528800
0,7423600
1,7653600
0,7547900
0,7680000
0,7544800
0,7569800
0,7544000
0,7785300
0,7501900
0,7700400
0,7622200
0,7547500
0,7583300
1,7863000
1,7928900
1,7702500
1,7602300
0,7683600
0,7625500
1,7696700
0,7627700
0,7700300
1,7644800
1,7692200
0,7840400
1,7675800
1,7644600
1,7669300
1,7557800
1,7540300
0,7505200
1,7486700
1,7557100
0,7471200
1,7610400
1,7472700
1,7670400
0,7674100
0,7560300
1,7471700
0,7692300
1,8076600
1,8544300
1,8363300
0,8720500
0,7723400
0,7693600
0,8031900
1,7527100
0,7454900
1,7521900
1,7467900
1,7522900
0,7588400
1,7654800
