class,ns
0,7612300
1,7459200
0,8199800
1,8387200
1,8615800
1,8362800
1,7614300
1,7693000
0,7681300
1,7613000
1,7735700
0,7635900
0,7660600
1,7616100
1,7806700
1,7638100
1,8092700
1,7734900
1,7681500
1,7649100
1,7671900
1,7641800
0,7712800
0,7658400
0,7685800
1,7621600
0,7873100
0,7625600
1,7793200
0,7622300
1,7730700
0,7536500
0,7533900
0,7456700
0,7675700
0,7611100
1,8969800
1,9037600
1,9148600
1,9607700
0,8253900
0,7563800
1,7476600
0,7548400
1,7477100
1,7520300
1,7480700
1,7507000
1,7461800
0,7559900
0,7485100
0,7556100
1,7813900
1,7543900
0,7587800
0,7605000
1,7665500
1,7446000
0,7411600
1,7408900
1,7484700
0,7414600
0,7547900
1,7572700
1,7480000
0,7454800
1,7956200
0,7405800
1,7497700
1,7421600
1,7475200
0,7448300
1,7391500
0,7430500
0,7431800
1,7444300
1,7507400
0,7433900
0,7529600
0,7419600
1,7496200
0,7417200
0,7423900
1,7412300
1,7826500
1,7453700
1,8078300
1,8279000
0,7679200
0,7470100
1,7607900
0,7345600
1,7572200
0,7434300
0,7605900
1,7513400
0,7716100
0,7664100
0,7747700
1,7647200
1,7735400
0,7692100
1,7772000
0,7658500
1,7693000
1,7663300
0,7733000
1,7801000
0,7702700
1,7657000
1,8277800
1,8504200
1,8486300
1,8562600
1,8442300
1,8081300
1,7516900
1,7466100
1,7544900
1,7483400
0,7608400
1,7525700
0,7738000
0,7790600
1,7889200
1,7797200
0,7802600
1,7793100
1,7839000
1,7770000
0,7800100
1,7813600
1,7818300
1,7799300
1,7851000
0,7650800
0,7684800
0,7616300
0,7678600
1,7630500
0,7737900
1,7726400
1,7667100
1,7616900
0,7808200
1,7685300
0,7814300
1,7668000
1,7635600
0,7473900
1,7581800
0,7572600
1,7681900
1,7475300
1,7767900
0,8307400
0,7988300
0,7532700
1,7946900
0,7567300
0,7625500
0,7665400
0,7744200
0,7685100
0,7736100
1,7654200
1,7723300
1,7681300
0,7753000
0,7837700
1,7726300
1,7746400
0,7871300
0,7643500
1,7795700
1,7482700
1,7596400
1,7628200
0,7574500
0,7687600
1,7533800
0,7626200
0,7561900
0,7615200
0,7539500
1,7610000
1,7571800
0,7551800
1,7320600
1,7467800
1,7448400
1,7397700
1,7434900
0,7432200
0,7439700
1,8069300
1,8343000
0,8924400
0,8820400
0,8562000
0,7846100
1,7850600
1,7863900
1,7827300
0,8265100
0,8030600
0,7876900
0,7785000
0,7842300
0,7848200
0,7995200
1,7839800
1,7946900
0,7840500
1,7837300
1,7824100
0,8470500
0,7837700
1,7985900
1,7816800
1,7843600
0,7813200
0,7835200
0,7844100
1,7863100
0,7764500
1,9252400
1,7684300
1,7837900
0,7670400
0,7725800
0,7643000
0,7713400
0,7648700
0,7723000
0,7798800
0,7825600
0,7668600
1,7737000
0,7658700
1,7777100
1,7666000
0,7919400
0,7660300
0,7728900
1,7666500
0,7718100
1,7777100
1,7703300
1,7656200
1,7953500
0,7553700
0,7841000
0,7489400
0,7711500
0,7580900
1,7608100
1,7476000
0,7615100
1,7570000
0,7666800
0,7506100
0,7612300
0,7564200
1,7892300
1,8059600
1,8434300
0,8435600
1,7844700
1,7618900
0,7654200
1,7494700
0,8325500
1,7895300
0,7632100
0,7489300
0,7703100
0,7665100
1,7775000
0,7645900
1,7833100
1,7684400
0,7735300
0,7638800
1,7915600
1,7656700
1,7950300
0,7673000
0,7728200
0,7613900
0,8077100
1,7607700
0,7718200
1,7552600
0,7899200
1,7522800
0,7774400
1,7490300
1,7867500
1,7566400
1,7648000
1,7486700
0,7687500
0,7656000
1,7838700
1,7660900
0,7754600
0,7675500
0,7733900
0,7691600
0,7670200
0,7730700
0,7677600
1,7875800
0,7658000
0,7622500
1,7423600
1,7763200
0,7334700
0,7565500
1,7417000
0,7530900
0,7356800
1,7511100
1,7511500
0,7645400
0,7335000
1,7528500
0,7396100
0,7496100
1,7344200
0,7503200
1,7399400
0,7631700
0,7334600
0,7599400
0,7514500
0,7508900
0,7347200
1,8087200
1,7432000
0,7561200
0,7466500
0,7786600
0,7546700
0,7786500
0,7697800
1,7606200
0,7461700
1,7579600
0,7522200
1,7479700
1,7545900
0,7480100
1,7593000
1,7455400
1,7681500
0,7497700
1,7639500
0,7557200
1,8267900
0,7709800
1,7903600
0,7608300
1,7620200
1,7513500
0,9212000
0,7468100
0,7687600
0,7625500
0,7647400
0,7617700
0,7971200
1,7618000
1,7687900
1,7612200
0,7819000
0,7627700
1,7724600
1,7682500
1,7870100
1,7528200
0,7641900
1,7524400
0,7656700
0,7484000
0,7628800
0,7540600
1,7652200
0,7538300
0,7645200
0,7821300
0,8687200
0,8148300
1,8102400
1,7799000
1,7798700
0,7686800
0,7847100
0,7638600
0,7747900
0,7684500
0,7800400
1,7745000
1,7811900
0,7782600
0,7648300
1,7654500
1,7686100
1,7651300
0,7867700
1,7643200
1,7679700
1,7609700
1,7669300
1,7740100
0,7857900
1,7795700
0,7673900
0,7649000
1,7842800
1,7624700
1,7797000
0,7623300
0,7702100
1,7638900
0,7687000
1,7669700
0,7853900
0,8067500
0,7843300
1,7705200
0,7762100
1,7455300
1,7556600
1,7464200
0,7534600
0,7473100
0,7552800
1,7486800
1,7504300
0,7463500
1,7561600
1,7479700
0,7580200
1,7464300
0,7458700
1,7361500
1,7447200
1,7365400
1,7465800
1,7373800
1,7456400
1,7368100
0,7425400
0,7394300
0,7374800
0,7563500
1,7337200
1,7535400
0,7375700
1,7438100
1,7295700
0,7659100
1,7356600
1,15237900
1,7388300
0,7649900
1,7385000
0,7798300
1,7439900
1,7528700
0,7498200
0,7401700
1,7371200
1,7601900
0,7556000
1,7598600
0,7598500
0,7445300
0,7379400
0,7501900
1,7386900
0,7463300
1,7374100
1,7861600
1,7483000
