class,ns
0,58000
0,53500
0,52300
0,51300
1,52900
0,51100
0,50200
1,52200
0,50600
1,51900
1,51700
0,50700
1,51100
0,50400
0,50000
1,51000
0,49900
1,51600
1,51200
0,50300
1,51600
0,50500
1,51400
0,50200
0,49400
0,49100
0,48600
1,51000
1,51100
0,50100
0,49400
1,51000
1,51200
0,50300
1,51600
0,50300
0,49300
1,51100
1,55500
0,50200
1,51200
0,50300
0,49400
1,50700
0,49500
0,49300
1,51000
1,51100
0,50000
0,49700
0,49200
1,51000
1,51300
1,51000
1,51100
1,51200
1,51100
0,50600
1,51300
0,50700
0,49600
0,49000
1,50800
1,50900
0,50000
1,51300
0,50100
0,49600
1,50900
0,49800
1,51200
1,51300
1,51000
1,51200
1,51100
0,50700
1,51300
0,50500
1,54600
1,51300
1,51100
0,50600
1,51100
1,50900
0,50800
0,49800
0,48900
1,51300
1,51100
0,50500
1,50900
0,50500
0,49600
1,51100
0,49700
0,49400
0,48800
0,48900
1,50800
1,51100
1,51100
0,50400
0,49500
1,51500
0,50100
1,51100
1,50900
1,50900
1,51200
0,50600
0,49700
1,50900
1,54300
1,51000
1,51200
0,50600
1,51100
1,50900
1,50900
0,50900
0,49800
0,48900
0,48700
1,50600
0,49700
1,51000
0,50000
1,51200
0,50200
0,49200
0,49200
0,48600
0,48400
0,48600
0,48300
1,50800
1,51500
1,50900
1,51300
0,50600
0,49700
1,50600
1,50900
0,50600
1,51000
1,51000
0,50300
0,49300
0,49100
0,48800
0,48600
1,51000
0,52300
0,49100
1,50800
0,49800
1,51000
0,50000
1,51200
1,51100
1,51000
1,51300
0,50700
0,49900
1,50900
0,49800
0,49500
0,49100
1,51000
0,49600
0,49000
1,51000
1,51100
0,49900
1,51300
0,50300
0,49600
0,49000
1,51100
1,51100
1,51000
1,50800
1,50700
1,51100
0,50700
1,51100
0,50400
0,51500
0,49200
1,51200
0,49600
0,49200
1,50900
0,49700
1,51000
0,50200
0,49600
0,48900
0,59500
1,64500
0,63900
1,61700
1,51300
1,51300
0,50400
1,50800
1,51300
0,50800
0,49600
1,51200
1,51200
0,50300
0,49600
1,51200
0,50100
1,51200
1,51000
1,51100
1,50900
0,50700
0,56100
0,49200
0,49000
0,48700
0,48900
1,50900
0,49300
1,51000
1,51200
1,50700
0,50300
1,51100
0,50000
1,51200
0,50200
0,49400
1,51200
1,51400
0,50400
0,49400
1,51300
1,51000
1,51100
0,50500
1,51300
0,50200
1,51300
0,50400
0,49500
1,51100
0,50100
1,51000
1,51100
0,50500
1,51300
1,51100
0,50600
0,49900
0,49100
0,48800
1,55500
0,50200
1,51000
0,50200
0,49500
0,48900
0,48800
0,48800
1,51300
1,51100
1,51100
1,51100
1,51200
0,50700
1,51400
1,51100
1,51100
0,50600
0,49500
0,49200
1,51000
1,51100
0,50400
0,49600
1,51200
0,50100
1,51200
0,50300
1,51200
1,51400
0,50400
1,51000
1,51000
1,51300
1,54600
1,51700
0,50800
1,50900
0,50400
1,51100
1,51200
1,49900
0,50700
1,51000
0,50300
0,49300
0,49100
0,48800
1,50900
1,51400
0,50200
0,49700
0,61200
0,47900
0,47500
1,50000
0,48500
0,48200
1,50000
1,50000
0,48800
0,48200
1,49900
1,49900
0,49100
1,49900
1,49900
1,49800
1,49900
0,49500
0,48600
0,48000
0,47800
0,47600
0,50100
1,50200
0,48600
1,50200
1,50000
1,49700
0,49100
1,50000
0,49100
1,49700
1,50000
0,49300
1,50100
1,49500
0,49300
1,50100
1,49900
1,49900
0,49500
0,48700
0,48300
0,48000
0,47600
0,47500
1,49700
1,49900
0,48600
1,50100
1,49700
1,50100
0,49600
0,48700
0,48000
1,49700
0,48700
0,50000
1,49700
0,48600
0,48200
1,50300
0,48600
0,48200
1,49700
1,49700
1,49700
0,49200
1,49800
0,49000
1,50100
1,50000
0,49500
0,48800
1,49900
1,50100
0,49300
0,48500
1,49700
1,50200
1,49900
0,49500
1,50100
1,50100
0,49300
0,48800
0,48200
1,50200
0,48800
1,50000
1,49200
0,49200
0,50400
0,48000
1,50200
1,50100
0,49200
1,49800
0,49200
1,49500
1,50100
1,50000
0,49400
0,48600
0,48100
0,47600
0,47500
1,50000
0,48500
0,48000
0,47800
1,50100
1,50300
0,49100
1,50100
1,49800
0,49200
0,48500
1,49900
0,49200
0,48400
1,50100
0,48600
1,50200
1,50000
1,49500
0,49400
0,48600
1,53400
1,49900
1,50200
0,49500
1,49900
1,50100
0,49400
1,49900
1,49900
0,49500
0,48500
1,50200
1,50000
1,49800
0,49500
0,48500
0,48400
0,47700
1,50000
0,48700
1,50100
0,48800
1,50300
0,49100
1,49800
1,50200
0,49300
0,48800
1,49700
1,50200
1,50100
0,49500
1,50000
1,50200
1,50100
1,49900
1,50100
1,50000
0,49700
0,48900
0,51500
0,48100
0,47700
1,50000
1,50100
0,49200
0,48600
0,48100
0,47800
0,47700
0,47400
0,47500
0,47300
0,47200
0,47100
1,50100
0,48100
0,47700
1,50100
0,48700
0,47900
1,50100
1,50000
1,50000
0,49000
0,48500
1,49800
0,48600
0,48100
0,47800
0,47600
1,49800
1,90300
1,68100
0,54000
0,48800
0,48100
0,47800
1,49800
1,49700
1,50000
0,49000
1,49900
1,50100
0,49600
1,49900
0,49200
0,48500
1,49800
0,48600
0,48100
1,49800
0,48600
1,49900
0,49000
0,48600
0,48100
0,47600
0,47300
0,47400
1,49800
1,50000
1,50300
0,49300
1,50200
0,49400
1,50000
1,49600
0,49300
0,48600
0,48100
1,49500
1,49900
1,50200
0,49500
1,53800
0,49400
0,48600
0,48400
1,49500
1,49900
0,49200
1,49900
0,67100
1,50200
1,50000
1,49900
0,49600
1,49900
1,50100
0,49400
0,48300
0,47900
0,47600
0,47600
0,47600
1,50500
0,48400
0,48000
0,47400
1,49900
1,50000
1,50300
1,49700
0,49500
0,48800
1,49900
1,49800
0,49300
0,48500
1,49600
1,50200
0,49200
0,48600
1,50000
0,52100
0,48100
0,47800
0,47500
0,47300
0,47500
0,47200
1,50100
1,49400
1,50000
1,49800
0,49600
0,48800
1,50000
0,49000
0,48200
0,48200
1,49800
1,50000
0,49000
0,48300
0,48000
1,50000
0,48400
1,50100
1,50000
0,49100
0,48400
0,47900
1,50100
0,48700
0,48100
1,50000
0,48700
1,49800
0,48900
0,48200
0,47700
1,49800
0,48500
0,47900
0,50600
1,50000
1,50100
0,48900
1,50300
1,49900
0,49300
0,48600
0,48100
1,49600
0,48500
1,50000
1,50000
1,50100
0,49900
0,48200
1,49700
1,50000
0,49100
0,48300
1,50200
1,49800
1,50100
1,50100
0,49500
0,48600
1,50000
0,49100
0,48300
0,48300
1,49700
0,48600
0,48000
0,47700
1,49800
0,50300
1,49900
0,48800
1,49700
0,48600
1,49300
0,48600
1,49700
1,49800
0,49400
1,50100
1,50300
0,49600
0,48700
1,49700
0,49100
0,48400
0,47800
0,47800
0,47600
0,47400
0,47100
0,47200
1,50200
1,50100
1,50300
1,50000
1,50000
1,50200
1,50000
0,49600
0,48700
0,48300
1,49700
0,48900
1,49900
1,53400
0,49200
0,48200
0,48000
0,47600
0,47600
0,47300
0,47500
1,50000
1,50000
0,49100
1,49900
0,49000
1,50100
1,50000
1,50000
0,49500
0,48600
1,50100
0,49100
1,49900
0,49000
0,48300
1,49900
0,48400
0,47800
0,47700
1,49900
0,48600
1,50000
1,50000
1,49900
1,49900
1,49900
0,49600
1,49900
1,49700
0,49300
1,49900
0,49300
0,51800
1,50500
1,49900
0,49400
0,48400
1,50100
1,50000
1,49900
0,49400
1,49800
1,49900
0,49600
0,48500
1,49800
1,49800
0,49200
1,50200
1,50100
1,50000
0,49500
0,48800
1,49700
0,48800
1,49800
1,49600
1,50000
1,49600
0,49400
0,48500
1,50000
1,50100
0,49400
1,50000
1,49800
0,49400
0,48600
0,48100
0,47800
0,47900
1,49900
1,50100
0,52700
1,50300
1,49900
1,50100
1,49800
0,49300
1,49800
0,49400
1,50000
1,50300
1,50000
1,50200
0,49800
1,49800
1,49700
0,49300
1,49700
0,49300
1,50000
1,50200
0,49500
0,48500
1,49700
1,49900
0,48900
1,49800
0,49100
0,48400
0,47900
0,47600
0,47700
0,47500
0,47100
0,47500
0,47400
0,50300
0,47700
1,99400
1,50000
0,50700
0,48200
0,47800
0,47500
1,49800
0,48500
0,47700
1,49800
1,50100
0,49000
0,48600
0,48100
1,50200
0,48700
1,49800
0,48600
0,48200
0,47700
0,47800
1,49800
1,50200
1,50000
0,49300
1,50200
0,49300
1,49900
1,49600
1,50200
1,50200
1,50200
0,49600
0,49000
0,48300
0,48200
1,50000
1,49800
0,53500
0,48500
1,50100
1,50100
1,50000
0,49500
0,48500
1,50100
0,48900
1,49700
1,49800
1,49800
1,49900
0,49800
1,49800
0,49100
1,49900
1,49900
1,49800
0,49200
0,48600
1,49800
1,50200
1,49000
0,49500
0,48600
1,50000
1,50200
0,49200
1,50000
1,49800
0,49200
0,48400
1,49600
1,50200
0,49300
1,49800
0,49200
1,50000
1,49700
1,52900
0,49400
1,49800
1,50000
0,49500
1,50000
1,50100
1,49800
1,49900
1,49700
0,49600
1,49700
1,49000
0,49400
1,49900
0,49200
1,50200
0,49100
1,50100
0,48800
0,48300
0,47900
1,50400
0,48800
1,49800
1,49900
0,49300
0,48400
1,49800
1,49800
0,48900
0,48500
0,47800
0,48000
0,47600
1,52500
0,48700
1,49900
0,48800
0,48400
0,48000
1,49900
1,50100
1,50000
0,49400
1,49700
0,49200
1,49600
1,50200
0,49200
0,48400
0,48300
1,50000
0,48700
1,49900
1,50300
1,50100
1,50100
1,50100
0,49500
0,48800
1,50100
1,50100
0,49200
0,48600
1,49900
1,50000
0,49400
0,48600
0,48300
1,52000
1,50100
0,49100
0,48700
1,49900
0,48800
0,48100
1,50000
0,48800
1,50100
1,50100
1,50000
0,49600
0,48700
0,48300
0,47800
0,47800
1,49900
0,48500
0,48100
1,49800
0,48600
0,48100
0,48000
1,49800
0,48400
0,48100
1,50000
1,49800
0,48800
0,48200
1,49900
0,48800
0,48300
0,47900
0,47400
1,51900
0,48200
1,50100
0,48500
0,48000
1,50000
0,48900
1,50200
0,49200
1,49900
1,50000
1,50000
0,49400
0,48600
1,50100
1,49800
1,49600
0,49800
0,48700
1,50200
0,49400
0,48200
1,50200
0,48800
1,49900
0,48700
1,49800
1,50100
1,50400
1,50200
1,50000
1,49800
0,49700
0,48500
1,49700
0,52700
1,49800
0,49400
1,50100
0,49300
1,49600
1,50100
1,49600
1,50000
1,49800
1,49500
0,49800
1,49700
0,49400
1,50000
0,49200
1,49800
0,49100
1,50000
0,49000
0,48200
1,50000
1,50200
1,50100
0,49600
0,48700
0,48400
0,47800
1,50200
0,48900
0,48100
0,47600
1,50200
1,50200
0,49000
1,50000
1,49900
1,50000
0,49300
1,50100
0,52000
0,48500
1,50000
1,50100
1,50000
0,49500
1,49800
1,50000
1,50200
0,49500
0,48600
0,48100
1,50000
0,49100
1,50400
0,49100
1,49800
1,49900
0,49300
1,49900
1,49800
0,49300
1,49800
1,49800
0,49500
1,49800
0,49300
1,49700
0,48800
0,48200
0,48100
1,50000
1,49900
1,50000
0,49100
1,51700
1,50000
0,49900
1,49800
1,49700
1,49900
0,49300
1,49700
0,49200
1,49800
1,49700
1,49700
0,49100
0,48700
1,55000
1,120900
1,57300
1,50300
1,50100
1,50100
1,49900
1,50100
1,50000
1,50000
0,49700
0,48900
1,49900
1,49800
1,49900
1,50100
1,50100
0,49700
1,49600
0,49300
0,53600
0,48100
0,47800
1,49900
0,48300
1,49900
1,49800
0,49000
0,48200
0,47800
1,49900
1,49800
1,50100
0,49500
0,48500
0,48000
1,50000
1,50000
1,49900
1,66000
0,49800
1,49900
0,49300
0,48400
0,48100
0,47800
1,50200
0,48500
0,47900
1,50200
0,48800
0,48300
0,47700
1,49800
1,50000
1,49800
1,50100
1,50000
1,50100
1,49700
0,55300
1,50200
1,50000
0,49700
1,50100
1,50200
1,49800
1,49700
0,49700
1,50400
1,49800
1,50000
0,49500
1,49900
0,49500
1,49800
1,48900
1,49800
0,49400
1,49900
0,49100
1,50000
0,49000
0,48600
0,48100
0,47500
0,47300
0,47600
0,47400
0,47600
1,50300
1,50000
