class,ns
0,37300
0,38300
0,37300
1,37400
1,37800
1,37100
0,38400
0,37200
0,37600
0,37500
1,37200
0,38200
0,37400
0,37000
0,38300
1,37100
0,37000
0,38000
0,36900
1,36900
1,37700
0,37300
1,38400
1,36900
0,37000
0,38400
0,37500
1,37500
0,37800
1,36900
1,38400
1,37400
1,37300
0,37900
1,37400
0,38600
0,37100
0,37600
1,37800
1,37300
0,38200
1,37000
1,38100
1,37300
0,37200
1,38300
0,47200
0,38600
0,37200
0,37900
1,37500
1,36500
1,37900
1,37400
0,37100
1,38200
1,37400
0,38400
1,37000
1,37800
1,37400
1,37100
0,38500
0,37200
1,37200
0,37700
0,37300
0,38400
0,37200
1,37800
0,37100
1,36900
0,38300
1,37200
1,38300
1,37100
0,37900
1,37400
1,36900
0,37900
0,37200
1,36800
1,38000
0,37700
1,38000
1,37500
0,36800
0,38400
1,37200
1,37300
1,37700
0,37300
0,38100
0,37400
1,38400
1,37100
0,37700
1,37400
1,36600
1,48100
0,36600
0,36900
0,37800
1,37200
0,38300
1,37100
1,37900
0,37000
1,37400
1,37400
0,37000
1,38400
1,37100
0,37800
1,37300
0,37400
1,66500
1,38200
0,36500
1,54500
0,36200
0,36200
0,71700
1,21300
1,21300
0,21300
0,21300
1,21400
1,21400
1,21400
1,21300
0,21400
1,21400
0,21300
0,21300
0,21300
0,28400
0,21400
0,21500
1,21400
0,21400
1,21400
0,21400
0,21400
0,21400
0,21500
1,21500
0,21500
1,21400
0,21400
0,21300
1,21500
1,21400
1,21400
1,21300
0,21500
1,35000
1,26100
0,21400
1,21400
1,21500
0,21400
0,21400
0,21300
0,21400
0,21400
1,21300
0,21400
0,21400
1,21300
0,21300
1,21300
1,21300
1,21400
0,21500
1,21400
1,21300
0,21400
1,21400
1,21400
1,21400
0,21400
1,21400
0,21400
1,21400
1,21500
1,21300
1,21300
0,21400
0,21500
1,21300
1,21400
1,21500
1,21400
0,21400
0,21400
0,21500
1,21400
0,21400
0,21400
1,21300
0,21400
0,21300
1,21300
1,21600
0,21300
1,21400
1,21400
0,21300
1,21400
1,21300
1,21500
0,21400
1,21400
0,21400
0,21500
0,21400
1,21300
1,21300
1,21400
0,21400
0,21300
0,21500
1,21300
0,21400
1,21400
0,21400
0,21400
0,28500
0,21500
0,21400
0,21300
0,21400
0,21300
0,21300
0,21300
0,21400
1,21400
0,21400
0,21500
0,21400
1,21400
0,21400
0,21600
0,21400
0,21500
0,21400
1,21500
1,21500
1,21400
1,21300
1,21400
1,21400
1,21400
1,21400
0,21400
1,21400
1,21400
1,21300
0,21400
1,21500
0,21500
0,21400
1,21500
0,21300
1,21400
0,21400
0,21400
0,21300
0,21400
0,21400
1,21400
0,21300
1,21300
1,21500
0,21500
0,21400
0,21300
1,21400
1,21400
0,21500
0,21400
0,21400
0,21300
1,21400
0,21400
1,21400
1,21400
0,21400
1,21400
0,21500
0,21500
1,21400
1,21400
1,21400
1,21400
0,21400
0,21400
0,21500
0,21400
0,21400
1,21400
0,21400
1,21400
0,21400
1,21500
0,21400
0,21400
1,21400
1,21300
1,21400
1,21400
0,21300
