class,ns
0,18300
0,18400
1,27500
0,18300
0,18400
0,17800
1,26200
0,17700
0,17800
0,17900
0,18100
0,17700
1,27000
1,26800
0,18400
1,28000
0,17600
1,26400
1,26300
1,26600
0,17600
0,18400
1,27400
0,17800
0,17800
1,26500
1,26500
0,17600
0,17700
0,17600
0,17900
0,17600
1,40000
1,26600
0,17800
0,17600
0,17800
0,17800
0,17900
1,27000
1,27100
1,27100
1,27000
0,17800
1,26400
1,26900
1,26600
1,26700
1,26900
0,18400
1,27500
0,18300
1,27600
1,27400
0,18400
0,18200
1,26700
0,17800
0,17800
0,17700
1,26800
0,17900
0,18100
0,18400
1,28000
0,17700
1,26400
1,26400
1,26400
0,18200
1,27000
1,26500
1,26600
1,26500
0,17700
0,17800
0,17600
1,26500
0,17800
1,26700
1,26900
1,27100
0,18000
1,27000
1,26900
0,17700
1,26900
1,26600
0,17700
0,17900
1,27700
1,27500
0,18300
1,27500
1,26600
1,26700
0,17800
0,17700
1,26500
1,26800
1,27200
1,27600
0,17800
0,17600
0,17500
0,17700
1,26400
0,17600
0,19500
0,20200
0,17800
0,17500
0,17700
0,17900
0,18000
0,17800
0,18000
1,26400
1,26800
1,26600
1,38200
0,17900
1,26900
0,17600
1,26400
0,17800
1,26600
1,26600
1,26600
1,26200
0,17600
0,17500
0,17700
1,26700
0,17800
0,18200
0,17800
0,17400
1,26700
0,18200
1,27100
0,18200
1,27200
1,27000
0,18000
1,26900
0,18100
0,17800
0,17900
0,18100
1,27000
1,27100
1,27000
1,27100
1,26800
0,18200
1,26400
0,17700
0,18100
1,26700
1,26800
0,18100
0,17800
1,26800
1,27200
1,26600
0,17800
1,26500
0,18200
1,27100
0,18000
1,26700
1,26600
1,26600
0,17800
1,26800
0,17900
1,27000
1,27000
0,18200
1,26700
1,27500
0,18600
0,17800
0,19100
1,26300
1,27400
0,18600
0,18200
1,27500
0,18300
1,27700
0,18200
0,18200
1,27300
0,18400
1,27700
0,18300
0,18300
0,18300
1,27500
0,18300
0,18300
0,18400
0,18400
0,18300
1,27400
1,27500
0,18300
1,39200
0,18300
