class,ns
1,26590700
1,23703000
0,24731300
0,24837700
1,61010600
0,24769100
1,25077300
1,24800900
1,34687100
0,24765200
0,24783500
1,36835100
1,23344100
1,23466300
1,43309200
0,25851900
0,26006600
0,24728700
1,37595700
1,34836100
1,61441000
1,31242600
1,50170600
1,49058900
1,26371100
1,40676800
0,24811400
1,29644700
1,42926100
1,23192100
1,32828800
1,27316300
1,31355300
1,27048300
1,71389500
1,56903900
0,25844600
0,25014200
0,29207700
1,76146700
0,25346300
1,38803400
0,24903200
0,24979200
1,69867800
1,61727200
0,31345700
0,25724100
0,25152100
1,30146900
0,27647300
0,28158900
0,24872300
1,66299600
0,25808800
0,27727500
1,29904000
1,30550700
0,24841500
1,23676600
1,32374100
1,32431100
1,65054900
1,25030800
0,27562700
0,24896800
0,25388900
0,29544100
0,24890300
0,25485700
0,30689200
0,27720600
1,50570000
1,23397600
0,25581300
1,23852800
0,27653300
0,25100200
0,24947700
0,24916000
0,24887600
0,24951000
1,30205600
0,26383300
1,26428000
0,25130500
1,25071700
1,43801700
1,43115900
0,25817200
0,25623600
1,29460500
0,24720400
0,24877200
0,24863100
1,36165300
1,33887200
1,25593300
1,35480500
0,29230300
1,24631000
1,38741600
1,29635700
1,76369600
1,30842900
0,24717600
1,39139900
0,25831900
1,29198000
0,24754900
1,24019300
0,25852900
1,31091700
1,35702800
0,25255400
0,25124800
0,25016900
0,26226800
0,25198300
0,25428300
0,29337100
0,26280200
1,37273700
0,36432600
1,60059000
0,44199600
0,39631600
1,62757300
0,30381200
0,33481900
1,38676500
1,35950100
1,30664500
0,25047400
0,25259600
0,26243200
1,52379000
0,25515000
0,24868600
1,26029100
1,26316300
1,41802500
0,24765600
0,25083900
0,29399600
1,85758000
0,25698000
1,24375600
1,35580900
1,23381800
0,25086000
0,26046800
1,25098300
0,25673600
1,29572800
0,25476000
1,42860000
1,26852500
0,25680900
1,73100300
0,27438500
0,25540600
0,25042000
0,25200400
1,49973500
1,60058500
0,24671200
1,33368000
1,28085800
1,28221500
1,26052800
0,24665700
1,37838400
0,24689100
0,24644800
1,33942400
1,26456600
0,24766200
1,34871800
0,24741000
0,24880900
0,24769900
1,55000100
0,24800300
1,47395000
0,24933100
0,24922100
1,38445700
0,24656800
1,39387900
1,28990300
0,24776600
1,24901300
1,29054000
0,24800600
1,46329300
0,24767800
1,23879800
1,29407300
1,37026300
0,24656100
0,24647300
1,23469100
1,37289500
0,24750900
1,33428900
1,37367700
0,24745200
1,29406300
1,23158300
1,41884500
0,25272800
1,29736000
0,24837300
1,37387800
1,24942000
0,25083600
0,24792500
1,30252600
0,24696100
0,24648500
0,24679200
1,31220200
1,24511800
1,41975100
0,24744000
1,42510300
1,23520000
1,30444400
0,24916600
0,24934100
0,26039500
1,23558200
0,24994600
0,24782600
1,25250500
1,24848500
0,24660200
1,23176300
0,24630100
0,24650200
0,25030100
0,24687100
0,24886400
0,24691000
1,41857200
0,25477000
0,24858900
1,24018200
0,24695000
0,24917900
1,59723700
1,33314300
1,24669700
1,28610800
1,47182400
0,29863100
1,46950400
0,25503300
0,25084600
1,25175500
0,24960600
1,26341200
1,24123300
1,50937900
0,25431800
1,24624500
1,26108900
0,24967200
1,28119600
0,24738600
1,63609100
1,23570900
0,25293700
1,29080000
1,91665300
0,24731900
1,24865000
0,25377200
0,27314900
1,25311100
0,26918500
1,42976900
1,68392600
1,24713800
1,33182200
1,47956100
1,42696200
0,26163500
0,24743400
1,44981900
1,66954300
1,44983800
1,27831700
1,47705500
0,24896300
1,25021900
0,24872600
1,56065100
0,26526700
0,24889000
1,55924900
0,24963500
1,50090600
1,31068000
0,24707100
0,24740900
0,24711500
1,28071200
0,24848000
0,24744300
0,24837500
0,28036000
1,34023800
1,35539200
1,24788200
1,31975100
1,47276900
0,25047100
1,27189900
1,27777800
1,24849200
1,72752900
0,25033300
1,33546100
0,30517400
0,27461400
0,27235600
0,24938800
0,24843700
0,24978700
0,24903600
1,25188400
1,26279500
0,25980700
0,33648600
1,36653000
1,23485300
