class,ns
0,7842500
1,7889800
0,10194600
0,7877900
0,7825900
1,7829200
0,7857900
1,7863200
1,7807300
1,7868800
1,7924200
1,8007900
0,7853700
0,7888200
1,7834600
0,7909300
0,7853800
0,7843700
0,7822800
0,7863700
1,7828200
1,7861000
0,7919000
1,7832500
0,7845600
0,8442900
0,8088900
0,7875100
1,7846800
0,7855700
1,7896200
1,7815500
1,7859500
0,7849200
0,7873300
1,7817600
1,7882300
1,7785100
1,7834600
0,7853800
1,7881000
0,7825500
1,7996300
0,7809600
1,7851600
0,7808100
1,7950300
0,7803900
0,7873500
0,7802800
1,7812000
0,7801700
1,7859500
1,7821100
0,7830200
1,7809700
0,7830600
1,7798000
1,7847900
0,7830800
1,7941300
1,7815900
0,7822400
1,7814500
1,7801800
0,7806200
1,7781600
0,7853900
0,7817500
1,7788900
1,7805100
0,7828900
1,7800900
0,7799900
1,7803700
0,7821100
0,7909500
0,7806400
1,7823600
1,7796500
1,7779900
0,7804500
0,7839500
1,7797200
0,7826000
0,7805700
1,7826000
0,7805000
0,7812500
1,7774400
0,7869200
0,7821800
1,7824600
1,7777700
0,7845700
0,7808800
1,7800100
1,7802200
1,7863600
1,7789600
1,7832300
0,7819300
1,7827900
0,7819900
0,7841800
1,7810900
0,7833500
0,7813200
0,7818600
0,7828200
1,7818200
1,7788500
0,7967200
1,7811600
1,7838000
1,7775700
0,7961400
1,7806700
0,7834400
1,7801000
0,7851900
0,7825000
0,7820400
1,7801200
0,7867100
0,7804800
1,7824200
0,7814500
0,7876300
1,7801400
1,7803500
0,7833200
0,7837600
1,7788700
0,7809400
0,7812900
1,7815600
0,7842100
0,7827300
1,7797900
1,7812400
1,7832500
0,7820400
0,7814500
1,7818700
1,7815700
0,7807300
0,7903200
1,7780900
1,7938300
1,7781000
1,7996500
1,7787600
0,7883700
0,7829800
1,7833500
0,7855500
1,7852400
0,7802600
1,7845100
0,7809700
1,7814600
0,7804200
1,7831800
1,7806800
0,7814500
0,7802600
1,7832000
1,7798300
1,7827400
0,7842500
1,7801200
1,7794100
0,7815300
0,7868100
0,7821300
1,7780200
0,7812800
1,7791000
0,7827600
1,7774400
1,8901700
0,7880400
1,7793900
1,7790700
0,7820500
0,7831100
0,7838000
1,7880900
0,7896800
0,7805500
0,7827900
1,7767900
1,7838500
0,7810400
0,7842800
0,7810800
0,7840900
1,7780300
0,7825400
1,7797800
1,7813500
1,7816700
1,7852200
1,7831900
0,7854500
0,7844600
0,7850900
1,7818200
1,7811100
1,7800100
1,7914500
0,7843600
1,7818600
0,7817800
0,7975000
0,7890600
0,7858100
1,7876400
1,7863800
1,7820600
0,7877000
0,7843800
0,8355100
0,7849300
0,7852900
1,7832000
1,7861800
0,7883100
1,8019000
0,7962200
0,8054400
1,7840000
0,7839200
0,7825400
0,7858100
0,7831200
1,7807700
1,7847000
0,8075200
0,7864800
0,7889000
1,7874000
0,7912200
1,7844900
0,7887800
0,7891900
1,7899000
0,8040700
1,8109700
1,8117300
0,7875900
1,7893000
1,7872300
1,7844200
1,7800200
0,7838800
1,7862700
0,7858500
1,7788200
1,7792700
1,7788300
1,7952300
1,8027300
1,7921700
1,7928600
1,7954900
1,7974100
1,7989800
0,8015500
1,8064100
1,7916200
0,7976000
1,7886500
1,7872600
1,8039100
1,7872300
1,8092300
0,7899900
0,7836000
1,7837800
0,7860400
1,8138400
0,7853200
1,7840000
0,7851100
1,7832400
1,7835400
1,7908600
1,7821500
0,7883100
1,7858400
1,7873900
0,7859900
1,7856400
0,7865300
1,7897300
0,7870700
1,7841400
0,7842100
1,7857700
1,7845900
1,8023400
1,7745700
1,7901800
0,7846900
0,7862900
1,7795200
1,7836100
0,7809500
0,7888800
0,7968600
1,7854800
0,7857900
1,7870500
0,8015300
0,7958600
1,7849700
0,9508000
1,9469900
0,7841000
1,7834200
0,7884800
1,7824100
0,7905900
1,7840200
1,7863600
1,7827900
1,7882400
0,7854800
0,7850600
1,7825700
1,7793400
0,7839100
1,7801800
0,7812500
1,7801000
0,7814000
0,7820900
0,7823800
0,7803000
1,7865800
0,7815300
1,7802100
1,7792800
1,7824000
1,7784000
1,7807100
0,7807400
0,7907700
0,7804200
1,7857400
1,7866600
0,7946100
0,8034000
1,7849900
1,7803700
0,7905100
0,7811500
1,7788800
0,7801900
1,7797700
1,7672200
1,7767600
0,7825600
0,7865700
0,7808200
1,7844500
0,7833100
0,7892700
0,7831200
1,7889400
0,8043600
0,8069700
1,7980100
1,8004900
1,7977000
0,8090100
0,7996300
1,8043100
1,7881200
0,8002100
1,7993400
0,7957100
1,7982200
0,8084000
0,8069000
1,7814600
1,7788100
0,7833100
1,7918300
0,7857400
1,7878400
0,7867200
0,7827400
1,7815200
1,8027400
0,7849300
1,8577900
1,8099700
0,7823700
0,7814400
1,7826800
1,7822600
0,7956500
0,7849200
0,7915100
1,8043900
0,8633600
0,8380000
0,7962600
1,8004000
0,9252000
1,8252800
1,9011800
0,7901800
1,7929900
1,8549300
0,7950000
0,8037900
0,8067300
1,7986800
1,8179200
1,8047800
1,8047200
1,7959100
1,7871100
0,7921300
0,7884500
1,8221600
1,7903100
1,7844200
1,7852800
0,8340800
0,7818500
1,7810400
1,7804700
0,7838300
1,7814300
0,9238800
0,8115000
0,8097800
0,7886300
1,7875000
1,7833400
0,7820000
1,7820000
1,7823300
1,7782600
1,7834300
0,7822700
1,7845800
0,7839100
1,7792300
0,7847400
0,7822700
0,7829900
0,7836600
0,7850900
0,7836600
0,8222800
0,9033900
0,7838100
0,7818200
0,8285600
0,7823000
1,7873500
1,7845700
1,7825300
0,7845200
1,7828900
1,7824700
1,7839100
1,7864700
1,8357100
0,8780100
0,7930300
0,7899300
1,9233900
0,8080700
1,7903000
0,8587500
1,8137400
1,7974000
1,7836400
1,7841900
1,7833200
0,7850400
1,7824900
1,8325200
1,7802400
0,9074900
1,11108300
0,7996900
1,7839500
1,7862800
0,7831200
1,7827100
1,7811700
1,7822400
0,7844600
0,7896800
0,7828300
0,7830900
0,7835600
0,7960000
1,7835500
1,7802100
0,8149800
1,8002100
1,7841000
1,7809400
1,7974900
1,7807900
1,7930700
0,7843000
0,8905700
1,10973200
0,10988800
1,8522900
1,7813700
1,7866400
0,7844500
0,8477900
0,7851600
1,7820500
0,7823600
0,7847100
0,7829600
1,7838900
1,7915900
1,7834700
1,7824800
1,7837700
0,7838300
0,8713000
1,7857800
1,7852700
1,7831900
1,9284500
0,7903600
1,7828400
0,8202200
1,8388500
0,10520800
1,10447700
1,10556600
0,10459900
1,10478100
0,9291800
0,7840600
0,7885400
1,7856200
0,7860400
0,10367300
0,10485500
0,10591900
1,7895500
0,7769300
1,7839600
1,7819100
1,7824700
1,7933000
1,7816900
0,7861000
0,7839300
1,7821000
1,7805600
0,7846800
0,7834400
1,7883700
1,7814300
1,7798200
1,7824200
1,7865200
0,7835200
0,7811200
0,7803400
1,7787800
0,7800200
0,7948600
0,7803100
0,7828500
1,7805600
1,7816800
0,7827100
1,7794600
1,7845900
1,7810900
0,7817300
0,7725000
1,7788500
0,7824300
1,7840800
0,7844100
0,7837900
0,7813900
1,7978700
0,7844500
1,7821200
0,7939800
1,7973900
0,8007600
1,7874900
0,7960300
1,7817200
1,7793400
1,7837200
1,7826200
1,7808700
1,7816900
1,7796400
0,7869000
1,7834100
1,7820200
1,7813800
0,7867900
0,7841000
0,7838700
1,7850900
0,7836000
0,7821800
1,7972500
1,7789700
1,7870100
1,7810100
1,7802900
1,7806900
1,7811100
1,7797300
1,7813700
0,7809800
1,7822700
0,7812300
0,7827600
0,7809300
1,7944400
1,7790000
0,7827800
1,7803700
0,7902200
0,7815000
0,8432400
1,8122500
0,8930000
1,10602000
1,10717500
1,8053100
1,7836000
0,7853600
1,7823100
1,7827800
0,7819800
1,7804700
0,7855100
1,8025000
0,7842100
0,7845000
1,7834800
0,7837100
1,7791800
0,7839700
1,7840300
0,7878700
0,7854600
0,7824100
0,7820000
0,7836400
1,7818200
1,7886400
0,7819500
1,7809900
1,7801200
0,7933800
0,7811200
0,7869500
0,7809800
1,9188400
0,8833300
1,7825200
1,7827400
0,7928900
0,7815900
1,7802300
1,7803400
0,8956700
1,7999400
0,7912100
1,8038200
0,7939200
1,8170700
1,8524700
0,8028300
1,8442000
0,8199400
0,8228000
1,8156100
0,8004700
0,8020700
1,7952900
1,7987600
0,7955800
0,7980000
1,7962000
0,7925300
0,7841000
1,7932200
1,7997900
0,7926200
0,8136100
1,7807300
0,7843300
1,7781200
1,7815100
0,7830900
0,7835400
0,7820800
1,7823000
1,7830300
0,7842500
0,7842200
1,7856600
1,7839800
1,7843200
1,7809700
0,7917200
1,7848400
0,7857800
1,7819200
1,7847900
0,7994600
0,9045000
0,10461000
1,7879800
1,7883000
0,7870400
1,7955300
0,7831800
1,7856200
0,7839900
1,7940300
0,7845900
1,8971500
1,7810500
1,7862700
0,7852900
1,7819800
0,7861000
1,7865100
0,7949400
0,7826700
0,7823200
