class,ns
0,7696200
0,7713900
1,7799800
0,7831800
1,7808600
0,7823000
1,7798000
0,7900300
0,7787800
0,7811600
0,7779800
0,7817400
0,7787900
0,7859600
1,7834500
1,7820900
1,7802000
1,7827300
0,8508700
1,8465300
1,8818400
0,8645400
0,8366900
1,8380800
1,8422500
1,8755100
1,8384900
0,8548900
0,8447600
1,8612500
1,8577600
1,8459300
0,9331100
0,8956300
0,7809900
0,7812400
0,7804400
1,7799200
1,7837400
0,7808500
1,7816600
0,7830000
1,8011000
0,7869500
1,7844600
0,7882000
0,7839700
1,7819100
0,7862900
0,7838500
0,7846500
0,7823600
1,7835700
0,7788500
1,7880600
1,7812800
0,10578600
1,7865800
0,7803800
1,7824500
1,7814400
1,7838900
0,7933400
0,7838400
1,7801200
1,8113600
0,7784800
1,7901600
0,7836100
1,8475700
0,8381600
0,8439400
1,8612600
1,7806300
1,7805100
1,7827400
1,7850500
1,7846800
1,7799000
0,7886400
0,7801300
0,7944100
1,7807400
0,7866700
0,7798400
0,7882400
1,7807800
0,7956900
0,8559800
1,8552900
0,8525700
1,8422600
0,8350900
1,7823200
1,7848500
1,7801200
0,7961500
1,7801500
1,7840200
1,7795300
0,7813400
0,7791000
1,7890800
1,7794200
1,7822300
1,7796000
0,7836800
1,7792200
0,7804600
0,7791100
1,7840600
1,7799700
1,7828800
1,7802500
0,7843800
0,7810300
0,8115800
1,7801200
0,7823200
1,7795200
0,7798700
0,7807400
0,7926300
1,7795700
0,7800600
1,7816200
0,7793600
0,7843500
0,7874500
0,7865100
0,7881500
1,7822200
1,7991700
0,7859000
1,8049500
0,7857900
0,7791100
0,7844200
1,7837400
1,7840200
1,7827500
1,8107000
0,7786900
0,7867400
1,7862200
1,7823300
0,7792800
1,7880900
1,7868300
0,8482100
1,7803700
0,7847300
1,7827500
0,7840600
0,7786000
0,8213100
1,7886600
0,7902000
1,7905200
0,8088700
0,7793900
0,7827000
1,7820100
0,7873600
0,7798900
0,7815200
1,7819300
1,7950500
1,7820700
1,7824000
0,7792200
1,8236200
0,7897400
1,7824800
1,7809000
1,7974900
0,7805400
1,8108600
0,7918900
1,7827600
0,7965800
1,7897200
0,7811300
1,8020700
1,7818600
1,7956800
0,7838800
0,7893800
0,7832800
0,7973700
1,7887800
1,7998100
0,7857700
0,7901900
0,7847600
1,7950900
1,7834300
0,7970800
0,7812900
1,7832300
0,7820600
0,7877400
1,7841900
1,7845900
0,8343900
1,9887800
1,9933600
0,9967900
1,8840300
1,8775200
1,7932300
0,7960100
0,7901800
1,8122300
0,8319100
1,8460400
1,8634000
0,8189700
0,7830100
0,7944000
1,7818000
0,7840700
1,7815000
1,7872100
1,7809100
1,7817000
0,8022600
0,7836600
0,7792300
1,8043100
0,7831200
0,7989900
0,7788200
1,7803300
0,7823900
0,7839000
0,7786700
1,7808100
1,7853800
0,7815500
0,7786200
0,7805900
1,7819200
1,7809000
1,7797500
1,7836800
0,7806500
0,7837300
0,7784300
0,7804200
1,7803200
0,7821800
1,7859700
0,7844800
1,7834600
1,8139500
1,7814700
1,7826500
0,7807700
0,7807300
1,7846400
1,7810100
1,7819600
0,7816500
0,7920100
1,7825900
1,7847200
0,7816600
1,7869600
0,7827000
0,7810900
0,7819900
0,7818500
0,7788700
0,7913900
0,7831700
0,7851300
1,7945500
1,7859900
0,7898000
1,7866300
0,7817000
0,7831100
1,7883000
0,7858200
0,7793000
0,7811300
1,7797500
0,7846400
1,7817900
1,7913100
0,7855100
1,7899200
0,7945900
1,7900100
1,7848000
1,8004000
1,7833300
0,7829700
1,7860300
1,7858000
1,7838900
1,7860700
1,7849400
0,7847300
0,7835400
0,7834800
1,7851200
1,7874500
1,7866700
0,7864600
0,7913500
0,8405000
1,7880100
0,7862300
0,7924200
0,7837600
0,7811900
1,7855300
1,7829900
0,7851500
0,7811100
0,8684100
0,10599900
1,10552000
1,7862400
0,8011500
1,8499200
0,7838400
0,7972700
0,7823300
0,7862000
0,7800600
1,7983600
0,7784600
1,7818500
0,7811100
1,7815800
0,7780700
1,7807600
0,7813500
1,7854400
1,7822400
0,7871600
1,7840600
0,9893600
0,9839900
1,7877100
1,7876500
1,7834400
0,7918100
0,8013700
0,7848800
1,7842200
0,7854200
0,7859200
0,7841300
1,7850200
1,7860800
0,7865400
0,8102300
1,7949800
1,8011000
0,7842800
1,7918100
0,7852400
1,7861500
1,7838700
1,7867900
0,7818200
1,7839100
0,7846100
0,10299500
0,10786200
0,7900900
1,7813400
1,7797200
0,7837900
1,7796300
1,7811200
1,7807400
0,7839700
0,7789300
0,8011400
0,7804200
1,7826500
1,7804700
0,7965200
1,7793800
0,7836600
1,7796300
0,7825700
1,7834300
0,7957600
0,7785300
0,7828300
1,7821000
0,8241300
1,8290300
1,8298300
1,8414000
1,9185200
1,8003800
1,7822600
1,7837300
0,7789400
0,7807500
1,7828300
0,7815400
0,7823800
1,7815700
0,7856100
1,7810900
0,7791700
0,7816300
1,7798900
0,7803900
0,7794100
0,7831700
1,7820200
1,7969000
1,7944300
1,7846000
0,8120700
0,8240800
1,8438800
0,8784300
1,8892200
0,9002900
0,8815100
0,7781000
1,7788800
0,7785300
0,8101200
1,7799700
1,7835400
1,7840800
1,7837200
1,7800800
1,7851600
1,7802200
0,7852400
0,7792400
0,7863100
1,7805200
1,7842200
0,7793800
0,7828500
1,7811100
0,7886000
1,7812000
1,7819100
0,7799700
0,7828300
1,7802800
0,7882700
0,7818900
0,7856600
0,7801700
0,7854300
0,7819200
1,7844800
0,7802200
0,7843100
1,7832700
1,7912300
0,8054500
0,8462900
0,8587500
0,8222800
1,8323500
0,7884400
1,8095700
1,7841600
1,7978900
0,7940900
0,7829500
0,7832400
0,7867700
1,7864200
0,7859100
0,7809100
0,9038800
1,7817400
1,7862900
0,7842700
0,7829000
1,7847500
1,7853300
1,7818400
0,7803400
0,7811000
1,7855400
0,7788200
1,7850500
1,7793500
0,7805800
0,7789100
0,7807000
1,7796200
1,7812500
0,7790500
1,8523300
0,7811000
0,7795900
0,7787600
1,7956600
0,7808200
1,7846100
1,7928300
0,7810300
0,7936200
1,7845900
0,7939600
0,7830800
0,7866400
0,7885200
0,7906800
1,7810800
0,7876500
1,7802600
1,7823700
0,7784700
0,7856700
0,8034000
1,7853100
0,7787900
1,7864900
0,7835800
1,7952100
0,7783700
0,7839500
1,7846400
0,7794100
0,7802400
1,7810500
0,7818000
1,7800600
1,7957400
1,7826100
1,7838000
1,7821200
1,7814400
0,7848400
1,7856200
1,7880200
0,7805200
0,7867200
1,7828100
1,7835400
1,7808400
1,8033500
0,7803000
1,7842600
1,7808400
0,7973200
0,7943200
0,7953300
1,7811200
0,7862800
0,7789000
0,7823000
1,7798900
0,7947100
0,7795000
1,7815900
0,7789600
0,7855100
1,7799400
1,7808700
0,7786000
0,7842800
1,7803300
1,7720500
0,7826800
0,8367400
0,7829100
0,7829600
1,7830000
0,7838200
0,7797100
0,8219800
0,7856700
1,7874500
0,7788600
1,7829200
0,7814100
1,8212300
0,7789600
1,7824800
0,7825000
1,7867500
1,7868200
0,7890800
0,8285600
0,9983900
0,7908500
1,7872800
0,7825700
0,7817300
0,7811500
1,7826100
1,7828200
0,7818100
0,7803000
1,7822600
1,7818600
0,7811400
1,7816700
0,7789000
1,7816800
0,7809000
1,7836600
1,7803900
0,8034200
1,8286500
0,8328300
1,8240300
0,8210700
0,8302500
0,8442200
1,8177800
0,8148000
1,7820900
0,7806300
1,7856000
1,7811100
0,7824300
0,7851100
1,7800700
1,7787500
1,7712800
0,7852700
0,7807200
0,7910200
1,7851800
0,7862100
0,7838700
0,7828700
1,7880300
1,7871000
1,7879700
0,7894500
1,7814300
1,7841500
0,7834300
0,7848800
1,7819200
1,7988700
0,7810400
1,7819800
1,7797100
1,7812300
1,7850500
0,7829300
1,7799700
1,9199700
0,7821400
0,7781000
0,7821800
1,7797000
1,7901500
1,7879300
0,8050700
0,8282700
1,8162500
0,8114700
0,8251500
0,8268800
1,8686700
1,8571600
0,8163700
1,7830100
1,7816500
0,7788100
1,8104100
0,7806600
1,7889300
1,7797700
0,7893100
1,7842000
0,7875000
0,7782900
0,7829400
0,7807100
1,7793100
0,7791100
0,7808800
1,7843800
1,7802800
1,7888800
1,7926000
1,7903500
0,7802200
0,7792600
1,7826900
1,7808400
0,7787500
1,7840900
1,7818900
0,7858900
1,7797700
1,7820800
1,7803900
0,7801200
0,7822800
0,7825200
1,7805800
1,7849200
1,7805600
1,7853200
1,8385400
0,8368300
1,8340100
1,8335500
0,7822300
1,7843100
1,7818900
0,7847300
0,7858000
0,7839900
1,7831800
1,7952600
0,7885700
1,7918800
1,7848900
1,8032100
1,7839900
1,7869800
1,7843900
1,7844900
