class,ns
0,7850100
1,7914400
1,8323100
1,9135300
1,7950300
1,7911800
1,7904400
0,7856400
1,7875800
1,7829300
1,7824700
0,7884200
1,7840800
0,7885000
0,7866900
1,8288600
0,8331300
0,8019300
1,8124000
1,7846500
0,7849700
1,7840400
0,7875900
0,7805400
1,7817300
0,7809400
0,7829700
0,7802600
1,7811900
0,7805700
0,7848800
0,7832000
1,7806300
1,7829000
1,7827600
0,7816700
1,7841100
1,7791000
1,7931800
0,9034500
0,7841100
0,7817400
1,7950200
1,7796900
1,7813900
0,7811400
1,7826000
0,7844800
0,7891600
0,7814200
0,7863800
0,7816500
0,7926100
1,7803500
0,7835100
0,7847000
1,7815700
1,7795700
0,7839900
1,7835200
1,7821900
0,7823200
1,7830400
0,7833100
0,8037700
0,7824100
0,7834100
1,7880700
0,7815400
1,7791600
0,7848400
0,7804800
0,8967000
1,8155800
1,8020500
1,7809400
0,7891900
0,7839600
0,7895700
0,7845600
0,7875900
1,7830100
0,8025500
1,7839100
1,7818200
0,7821800
0,7823400
0,7806100
0,7827300
1,7806000
1,7821600
0,7821000
0,7829600
0,7819700
1,7837600
1,7794000
0,7827700
0,7834200
0,7831900
0,7803800
0,7854400
1,7783600
0,7799900
1,7651400
0,7790400
0,7678900
0,7920400
1,7663700
0,8979800
0,7684400
0,7693200
1,8001800
1,7851900
0,8905800
1,7976700
0,7965200
0,7879000
0,7821900
0,7810800
1,7833800
0,7814100
0,7830200
1,7794300
1,7823700
1,7788900
1,7795900
0,7812700
0,8020300
0,7830200
0,7884000
1,7782900
0,7991100
0,7969700
1,8063500
1,7931500
1,8657100
1,8258300
1,8566400
1,8348700
0,8185600
0,8154800
1,8481300
1,8236600
0,8311100
0,8233600
0,8096500
1,8174100
1,8174600
0,8163600
1,8007800
0,7942400
1,7939700
1,7849700
1,7809000
0,7818800
1,7802200
1,7862600
1,7807500
0,7936900
0,7819400
0,7875700
1,7813800
0,7836200
0,7870500
0,7864700
1,7819600
1,7856000
0,7843300
0,7887700
0,7821100
1,7795800
0,7843400
1,7860200
0,7842300
0,8345200
0,7848800
0,7906600
0,7850900
1,7809400
1,7826900
0,7825500
1,8436700
0,7824600
1,7865500
0,7817800
1,7838500
0,7820800
1,7838600
0,7812100
0,7903100
1,7803500
0,8000500
0,7829800
0,8022400
0,8004300
0,8113300
1,7996800
0,8001200
0,8021900
1,8000400
0,8034400
1,7907600
1,7929900
1,7978700
0,7813600
1,7806900
0,7840100
0,7829100
1,7829100
1,7990300
0,7865400
0,7967500
0,7813700
1,8026400
1,7814100
1,7797300
1,7810900
0,7819000
1,7821600
1,7818800
0,7821900
1,7877300
1,7801400
1,8018200
1,7808700
1,7846500
1,7797700
0,7878700
1,7843700
0,7829400
0,7866900
0,7902700
0,7819700
0,7813200
0,7822200
0,7825500
0,8136200
0,8852900
0,7832700
1,7775300
1,8449600
1,7800400
1,7792800
1,7780300
0,7840400
0,7807200
1,7801700
0,7811500
1,7792700
1,7778000
1,7837900
1,7811500
0,7841400
0,7816500
0,7854200
0,7818000
0,7831600
0,7815500
0,7898300
1,7814600
1,7923600
0,7829700
0,7836800
0,7822600
1,8013200
1,7790600
1,7805500
1,7792100
0,7831400
1,7783500
1,7803700
0,7824000
0,7856300
0,7815100
0,7833100
0,7854100
1,7847500
1,7823100
1,7818400
0,7856500
1,9978700
0,7848300
0,7841900
1,7812400
1,7799300
1,7818900
1,7826500
0,7867000
0,7833700
1,7977300
1,7806400
1,7840500
0,7823200
1,8445400
1,8655200
0,7844600
0,7815700
1,7813600
0,7845200
0,7871800
0,7867400
1,8922300
0,7895500
1,8110300
0,8154700
1,7840500
1,7825200
0,7860000
1,7975900
1,7847700
1,7872800
1,7999400
0,7912900
1,7900200
1,8079300
0,7891300
0,7910100
0,9149800
0,8572300
1,7923600
1,7898900
0,7877900
1,7893500
0,7901300
0,7879700
1,8194900
1,7885700
0,7883000
1,7853900
1,7843400
0,7824000
1,7842600
1,7797600
1,7959200
0,7840900
0,7902300
0,8046100
1,7987600
0,7969000
0,7997100
1,7977700
1,8305900
1,7805500
1,7838600
1,7809400
1,7831300
0,7825800
0,7909500
1,7800700
1,7935200
1,7821400
0,7899700
0,7830700
1,7958700
0,7843300
1,7847500
1,7824900
0,7845800
0,7836900
1,7877900
1,7805100
1,8568800
0,7837300
0,9338700
1,7820400
0,7878400
1,7808600
0,7968600
1,7816000
0,7840000
0,7847700
0,7818700
1,7843100
0,7825300
1,7821500
0,7823300
0,7846500
1,7805400
1,7889600
1,7805800
0,7891800
0,7845700
0,7861600
1,7814500
0,7853100
1,7774400
0,8074700
0,7814300
0,7856900
0,7818900
1,7801400
1,7799600
0,8018000
1,7798700
1,7793200
1,7790300
1,7840100
1,7784100
0,7829700
0,7840300
0,7846900
0,7823100
0,7820800
0,7818300
0,7834600
1,7791200
0,7820300
0,7820600
0,7855300
1,7818300
1,7828000
0,7832000
0,7838900
1,7810100
0,7987600
0,7829900
1,7827200
0,7828500
0,7856100
1,7808800
0,7851000
0,7833400
0,7850900
0,7826300
0,7841600
1,7780800
