class,ns
0,8823300
0,8168100
0,9187700
0,9470000
1,10039400
0,9490200
1,9455100
0,7970200
1,10469000
1,9996200
0,9459800
1,10089800
0,10527500
0,10565700
0,10568300
0,8177400
1,7837700
0,8187800
0,8049100
0,8008100
0,8609800
1,9713700
0,9634200
0,9851400
0,8751300
0,8902900
0,9810700
1,9924100
0,10362300
1,9591900
1,10047200
0,10138400
1,9372200
0,9575000
1,8156000
1,9026100
0,10504500
0,10437300
0,10250200
0,9852900
1,10144500
1,9741400
1,10117900
1,10319100
0,10522900
0,10492300
0,9214200
0,10486400
0,10485900
1,10532800
0,9862400
1,8908500
0,9390200
0,10446100
1,10485300
1,10403100
0,9339200
0,9179400
1,9202100
1,9414700
1,9200700
0,9898800
0,9033300
1,9251400
1,8224800
1,9048500
1,9037300
0,9633600
0,9804600
1,8942700
1,9799700
0,9702100
1,9252200
1,10034900
1,10494300
0,9535300
0,10718000
0,11398900
0,9179000
0,10360400
1,10895000
0,9517900
0,10472400
0,10214200
0,9889800
1,10164700
0,9674500
1,9729700
0,8015500
1,8455400
1,10589700
1,10422900
0,9862500
1,10104500
1,10497800
1,10462800
0,10419700
1,10483700
0,10487300
0,10481000
0,10498500
1,10505500
1,10493800
1,10476400
1,9312700
1,10492200
0,10536800
0,9923700
0,10403100
1,10064000
0,10367000
1,9244900
0,8786900
1,9480200
1,9375000
0,9776300
1,9685800
1,10243700
0,10367500
0,10223900
1,9697800
1,9612100
1,11187300
0,10206500
1,8975100
1,8817200
0,9530700
1,9656900
1,11203600
0,11149300
0,11046500
1,12300600
0,7898800
0,8308700
1,9736000
0,10506600
1,10477600
0,10455400
0,8439900
1,7803500
0,8954900
1,9967800
1,9035500
0,8739400
0,8759900
0,11164200
1,11209700
1,10622000
1,10521000
1,10491800
0,10553100
0,10596000
0,10440400
1,10491100
0,10465600
0,8663200
1,10060000
1,9274900
1,10220400
1,10128500
1,10595400
1,9429900
1,7805100
1,7893100
0,7851600
1,7866300
1,8235800
0,9166200
1,10555200
1,9822700
0,10542700
0,10798200
1,10601900
0,10518300
0,9948500
0,8868200
0,9651500
1,10862600
0,11148200
0,10925700
1,11189700
0,11168500
0,10777700
0,10372200
0,10069300
0,10305800
1,8177000
1,7810800
1,7925300
0,7858600
1,10522300
1,10546100
0,8462800
1,9176600
0,9280500
0,8331200
0,8856700
1,8963300
1,10195400
0,10460900
0,10625000
1,9800000
0,10228800
0,10501100
0,9988200
0,9278700
1,7814900
0,10958700
0,11179000
0,11085600
0,10427100
1,9557600
0,9209900
0,9725900
1,10600700
1,10004000
0,9853200
1,11089500
1,10677400
1,9759600
1,10005000
1,9882100
0,8275000
0,9376500
0,10590300
0,10650800
0,10049100
1,9661400
1,9570700
0,9136000
1,9716200
0,9893200
1,10607900
1,8542700
0,9956200
0,10058800
1,8008100
1,8596200
0,9354000
0,8948900
1,10974800
1,11174100
0,11100000
1,10994300
1,10907400
0,10453100
1,10476700
0,10192900
1,8854900
1,10401800
1,10466500
0,8932900
1,7806100
1,9555300
1,9879900
0,7901900
1,10172600
0,9019600
0,8101500
0,8007900
0,8912800
0,8195500
0,8474600
1,8655400
0,8066300
0,9301700
0,9207300
1,9825400
0,9973800
1,10256400
0,8230900
0,8141100
0,7983500
0,9505600
0,11002700
0,11101300
0,9444000
0,10164300
0,9240900
1,9091100
1,10587600
0,11238900
1,11297200
1,11205400
0,11254800
1,10774900
0,10174600
1,10856800
1,9532500
1,10223700
0,8568700
0,8001100
0,8396300
0,9809100
1,9861600
1,8791100
1,8672300
0,9124200
1,10469600
1,10369000
1,10402300
1,10467900
0,10444100
0,10476000
0,10434500
1,9561500
1,10244000
0,9778300
0,7891200
1,7891100
0,8773400
1,9119600
1,7940700
1,8458300
0,8903300
0,9397900
1,8371900
1,9461600
1,12376500
0,10219900
1,10867300
0,8944700
0,9935900
1,10470700
1,9469100
1,8731200
1,9724900
0,10130100
1,10618200
0,9485100
1,10918800
1,11117200
1,9673100
0,8162700
1,10912600
0,8869400
1,9370700
0,9536100
1,10644600
1,10591100
1,10620600
0,10965800
0,10172800
0,8020200
1,10174300
0,9102900
0,9642800
0,10613600
0,10639200
1,10087500
0,7975700
1,10560500
1,10546500
0,9307200
1,9485900
1,9394000
0,8154300
0,8189800
0,8134100
0,8458000
0,8568900
0,9510500
1,10598400
1,10636200
0,10597500
0,10660900
1,10557800
1,10585900
0,9169400
0,8508100
0,10637800
0,9451100
0,10293400
0,7942800
1,8736600
1,11109300
0,9005800
1,8591100
0,10248900
1,10626900
1,11112700
0,11182600
0,10883600
0,11150700
0,11173000
0,10832500
1,8975700
1,10490500
0,9539100
1,9110900
0,11048900
1,8550600
0,9844500
0,10480500
0,10454300
1,10466300
0,10511100
1,10522900
0,9779900
0,7889800
0,7842800
0,7825900
0,8513500
1,9972300
1,10560000
1,10572000
0,10481800
1,10461000
1,10531400
1,10511100
1,9611100
1,10595000
1,10551500
1,10575100
0,10518300
1,10293800
1,10530100
1,10539800
0,10520400
1,10556300
1,10506900
0,10077800
0,10352100
1,10482500
1,10521600
0,10552600
1,9964400
0,9751800
0,10183000
0,9560800
0,11103200
0,11162800
1,11020600
0,11208600
1,9957100
1,10356600
1,10444300
1,10625100
0,10428900
1,9835400
0,9278500
1,8010700
1,7911700
0,8427300
1,10009600
0,8603500
1,8210000
1,9570300
1,9482600
1,9168500
1,8628200
1,8168500
0,8077900
1,7865100
1,7837400
0,8960300
1,8158300
1,8917000
1,9934500
0,10327700
0,10359000
1,10352600
1,9436500
0,10225700
1,10373800
0,10057000
1,9292200
1,9676300
1,11166600
0,11236800
1,9733300
0,8834000
0,9613600
0,10635800
0,10816900
1,10201100
0,9990400
0,9881400
1,9889700
0,10209500
0,10154700
1,9827800
1,10409100
0,11221400
0,11254000
0,10228400
1,10022700
1,10854900
0,9551000
0,9479500
0,10319300
0,9421400
1,9983800
1,8544700
1,8390300
0,8424200
1,8786700
0,9897000
0,10202700
1,10375400
0,9935700
0,10613600
1,10114100
1,8390300
1,9250900
1,10404700
1,9331200
1,9988900
0,10151200
1,10558600
1,9615300
0,8695400
0,9837900
1,9645400
0,10307100
1,10410200
0,10464400
0,9115700
0,8537100
0,8010400
1,10080600
1,10429900
0,9889700
1,10488100
1,10516100
0,10413000
0,10351800
0,10298600
0,10183100
0,10532000
1,9535300
0,8055400
0,9653800
0,8830800
0,9752900
1,10168300
1,9253500
0,9443000
0,9487400
0,9094400
0,10744900
1,8098200
0,8862000
1,10416000
1,9621600
1,9301500
1,9523400
1,9444600
0,9129200
1,9326600
1,9468600
0,9086200
0,8812700
1,9659100
1,8491600
1,9498600
1,9187500
1,10192000
0,8232900
0,8969100
1,10288600
1,8614400
1,9744600
0,10320500
1,8779800
1,8560700
1,8822200
0,10094500
1,10485000
1,10466700
0,10300800
0,8644500
0,9165000
0,9920000
0,10010600
1,8640800
1,10525400
0,9914000
1,9900500
0,10360400
1,10422000
0,9980100
1,9612900
0,8962400
0,9539900
0,10011500
0,9661500
1,10672200
0,9171400
0,10400100
0,10187600
0,8637900
0,10494700
1,9991000
0,10431500
0,10019100
1,9793800
0,10529900
1,10399000
0,7903700
0,8510300
1,9951400
1,10965000
1,9963500
1,10051300
1,8720600
0,9357300
0,10519800
1,10452400
0,10497400
0,10424000
1,9972000
1,9958900
1,8765100
0,9581400
0,10461300
0,10478400
0,9459100
0,8552800
1,10034600
1,9464000
0,10400600
1,10170600
1,11261100
0,11946600
0,8007300
0,9781400
1,9567500
1,9103400
1,9459500
1,8285300
0,10447800
1,10111400
0,9724700
0,7886100
0,8232800
1,9364800
0,10943500
1,9543700
0,8452200
0,8843200
1,9374300
1,9035500
1,8919400
0,11138300
0,11105400
1,9885000
0,11024700
1,11935800
1,10185100
0,10122500
1,10225700
0,9203800
1,8097500
0,8455500
1,8080500
0,7900200
1,8007300
0,7897100
0,7901100
0,8177100
0,8139700
1,7997900
1,8043800
0,8004500
1,9837100
0,10399500
1,9591100
1,8348300
1,8011800
1,8234300
0,7874000
1,8891700
0,8248700
0,7941600
0,7944900
1,8301900
0,8001600
0,9103000
1,8465000
0,10261900
1,10356300
0,10239800
0,8664500
1,8009100
1,8195500
1,8377300
1,9157500
0,8857200
0,9489500
0,9117000
1,8965300
0,8826500
1,9424800
0,8737600
0,9370900
1,9280600
1,8166700
0,9474100
0,8234000
0,8557500
0,8269900
0,8839800
0,8745200
1,9336000
1,8904700
1,8232600
1,8696600
1,8643000
1,8724600
1,9333300
1,8376700
0,8301600
1,8096900
1,8462400
1,8245000
0,8542300
1,8955000
1,8139000
1,7930400
0,8022800
1,7927200
1,8023200
0,8283500
1,7931200
0,7968100
1,8141100
1,8019100
0,7910700
1,8016600
1,8005300
1,8158900
1,7995100
1,8535800
1,7895800
0,8041500
1,7898100
1,9753400
1,8569000
1,8551600
0,8010200
1,7970600
0,8088900
1,9160200
1,8390000
1,8229100
0,9659800
0,9939700
1,8788400
1,10189900
1,10569600
0,9943900
0,10716400
1,9428100
1,9913900
0,10936900
0,11822600
1,10860500
1,9040100
0,9746100
0,9431900
0,9855900
1,9937200
1,9169200
1,8300700
0,8130800
1,8605600
0,7896200
1,8041900
0,7956200
1,8601000
1,8058300
0,7948100
0,8332500
1,9269800
0,8221400
1,7978500
0,8862200
1,10503000
1,8603800
0,7903200
0,7830800
0,7840700
0,7864100
1,7828300
1,7858000
0,8161100
1,10559400
1,8732500
0,7838300
0,7996400
0,8906100
1,10190600
0,9976200
1,8728700
1,8734200
1,8326100
0,8257700
1,7917000
1,7908100
0,7891600
0,7972500
0,8000900
0,7969900
1,7905700
0,8141600
0,8186700
0,7979500
0,7890100
0,7893700
1,8450400
1,10402600
0,8867900
0,7908800
0,7897100
0,7842300
1,8875900
0,7833800
0,7843100
1,7867900
0,7849300
1,7873500
1,7943400
1,8036800
0,8101300
1,7882500
0,7854400
1,8614000
1,8463300
1,8877200
0,7983100
1,8903400
1,8906200
1,9907700
1,8493300
0,7877200
0,8400600
0,7846200
0,7873700
0,7865600
0,7837800
0,7876500
0,7871500
1,7857200
0,8003000
1,7857000
1,8020100
1,8162900
0,7993300
0,8917700
0,8957600
1,7847200
0,7837100
1,7866500
0,7852700
1,7852300
1,7906600
1,7873600
0,7839500
1,7900000
0,7952000
1,7861800
1,7822000
1,8604300
1,8981000
1,7849500
0,7836900
0,7860100
1,7834500
0,9647700
0,8327300
0,10106700
0,9324100
0,7898400
0,8356400
1,7843700
1,7829700
1,7825100
1,7917600
0,7855000
0,7889600
1,7860700
1,7838300
0,7852800
0,7841400
0,7805400
1,7821900
1,7816600
0,7852100
0,7833500
1,7852700
0,7920300
0,7906300
1,8249900
1,8072600
0,7827600
0,7867700
1,7820400
1,7829000
0,7795900
0,8860500
1,8165200
1,7930600
1,8054800
1,7836700
1,7827700
1,7831200
0,7898100
0,7727000
1,8359600
0,9154000
0,7830100
1,7838800
0,9312300
1,10493300
0,10467800
1,9466000
1,7838700
1,7833700
0,7831400
1,7971600
1,7849100
0,7860500
1,7826100
1,7837000
1,7786300
1,7848900
1,7815600
0,7846100
1,7823100
1,7848800
1,7856800
0,10339100
1,7930200
1,7976700
1,8090800
0,7826600
0,8894300
1,9790100
1,9456100
0,7896300
0,7831900
1,7854400
0,7853600
1,7819100
1,7807400
0,7995400
0,7828700
0,7859600
1,7821300
0,7944800
0,7912100
0,7968600
0,7896600
1,7889600
1,7818100
1,7918100
1,7825100
1,7840200
1,7835400
0,7832500
1,7857800
1,7870000
1,7885100
1,7911900
0,8133400
1,8423800
0,7893800
0,7922400
1,7828800
0,8060900
0,9049200
1,7839600
0,7934700
0,7858400
1,7870000
0,7879500
1,7989900
1,8527800
0,8438600
1,9490300
1,7996200
1,7852800
1,8145100
0,8052300
0,7903400
0,8298300
0,8093100
1,7880600
1,9495200
0,8910400
0,9207500
0,8437900
1,7843300
0,8079400
0,7910300
1,7953200
0,10583400
1,8221700
1,7833600
1,7896400
1,7866200
1,8001200
0,8005800
0,7826000
1,7880600
0,7828000
1,7870500
1,7853600
0,7914100
