class,ns
0,61200
0,53300
0,51900
0,49900
0,49700
0,48700
1,51900
1,50400
1,50700
0,49500
0,48800
0,48300
1,50200
0,48700
0,47900
1,50100
0,48500
1,55400
1,50300
0,49000
0,48400
1,50500
0,48700
0,48000
0,47600
1,50100
0,48300
1,49900
0,48800
0,48000
1,49900
1,49500
0,48900
0,48500
0,48000
1,88200
1,50000
0,48700
1,50300
1,49700
0,49400
0,48300
1,49500
1,48500
0,49100
0,48400
0,47800
1,50000
1,49700
1,49600
1,49700
0,49400
1,49800
0,49000
1,49600
1,49500
0,49000
1,53000
1,49600
1,49900
0,49200
1,49600
1,49800
1,49400
1,49800
1,49100
0,49400
0,48600
0,47800
0,47600
0,47300
0,47200
1,50000
0,47900
0,47600
1,49400
0,48100
1,49400
0,48400
0,47800
1,49900
0,48700
1,49500
0,48700
1,49500
1,49900
0,49000
1,49500
0,48700
1,49500
1,49500
0,49200
0,48300
0,47600
0,47500
1,49700
0,48100
0,47600
0,50400
0,47400
0,47400
1,49900
0,48000
1,49200
0,48100
0,47600
0,47300
0,47200
0,47300
1,49500
1,48700
1,49500
0,48700
1,49300
0,48900
0,48200
1,49200
1,49500
0,48900
0,48100
0,47600
1,49900
1,49500
0,48800
1,49600
1,49600
0,49100
0,48400
1,49400
1,49700
0,48900
1,49400
0,48800
1,49700
0,48700
0,48000
1,49500
1,49500
1,49500
1,52200
0,49100
1,49500
1,49300
1,49500
1,49600
1,49400
1,49300
0,49500
0,48400
0,47800
1,49700
1,49700
0,48800
1,49400
1,49600
1,49400
1,49700
1,49800
0,49400
1,49600
1,49200
1,49200
0,49500
0,48400
1,49400
1,49300
1,49500
1,49500
0,49300
1,49300
0,48900
0,48100
0,47700
0,47300
1,49300
1,49600
1,49500
0,49100
0,48400
0,47900
0,50200
0,47500
0,47300
0,47400
0,47000
1,49700
0,48100
0,47700
0,47400
0,47300
1,49500
1,49300
1,49700
0,48900
0,48300
0,47800
1,49400
0,48300
1,49800
1,49400
0,49000
1,49500
1,49400
0,49000
1,49800
0,48800
0,48200
0,47500
0,47400
1,49500
1,49400
0,48800
1,49600
0,48900
0,61900
1,48700
0,47800
1,48600
0,47600
0,47100
1,48400
0,50600
1,48700
1,48500
0,48000
0,47200
0,46900
1,78600
0,47300
1,48000
1,48600
1,47900
0,48100
0,47200
0,46800
0,46600
1,48500
1,48700
1,48400
1,48600
0,48100
1,48300
1,48500
1,48500
0,48100
1,48200
0,48000
1,48700
0,47900
0,47200
1,48600
0,47600
1,48600
1,48400
1,48500
0,48100
1,50600
0,48100
0,47400
0,46900
1,48300
1,48500
1,48500
1,48400
1,48600
0,48200
0,47500
1,48400
0,47700
1,48300
1,48500
0,48000
1,48400
0,48000
1,48300
0,47800
0,46800
0,46800
0,46400
0,46300
0,46200
0,45900
0,46000
1,48500
0,46800
1,48600
1,48600
1,88500
0,88600
1,62300
1,55700
1,47800
1,48500
0,48400
1,48200
0,48100
1,48500
1,48600
1,48300
1,48100
0,48300
1,48700
1,48700
0,48300
0,47400
0,47000
0,46700
1,48900
0,47700
1,48400
1,48600
1,48500
1,48600
1,48400
0,48400
0,47600
1,48700
1,48400
1,48300
0,48200
0,47500
0,47000
1,48500
0,47600
1,48500
0,47700
0,47100
0,46700
1,48600
1,48700
1,48600
1,48200
1,52700
0,48000
0,47300
1,48400
1,48800
1,48500
1,48400
1,48400
1,48400
1,48600
1,48300
0,48300
0,47400
0,46900
0,46400
0,46400
1,48200
1,48300
1,48400
0,47800
0,47400
0,46900
0,46500
1,48200
0,47200
1,47900
1,64400
1,50600
0,49000
1,96400
0,48000
1,48600
0,47800
1,48600
0,48000
1,86200
0,77200
1,48400
0,47700
1,51000
0,47800
0,46900
0,46600
0,46300
0,46300
1,48400
0,47000
0,46400
1,48500
1,48800
1,48500
0,47900
0,47100
1,48600
0,47600
1,48700
0,47500
0,46900
0,47100
0,46400
1,48500
1,48600
1,48900
0,48100
1,48800
0,48200
1,48400
1,48700
0,48200
1,48600
0,48000
1,48900
1,48500
0,48100
1,48400
0,48000
0,47000
0,46700
0,46400
1,48600
1,51100
0,47800
0,47200
1,48800
0,47500
0,47000
0,46500
0,46400
1,48700
1,48700
1,48300
0,48000
1,48400
1,47700
1,48400
1,48400
0,48100
1,48300
1,48400
1,48800
1,48600
1,48500
1,48900
1,48700
1,48600
1,48400
1,48400
0,48600
0,47500
1,48600
1,48400
0,48300
0,47400
1,48500
0,47500
1,48500
0,47600
0,46800
0,46700
1,48500
1,48500
1,48500
1,51300
1,48600
1,48400
1,48500
0,48600
0,47700
0,46800
0,46700
1,48200
1,48600
0,47800
1,48400
1,48500
1,48400
0,48100
0,47300
1,48600
0,48000
0,47300
1,48600
0,47600
0,47300
1,48400
1,48600
0,47900
1,48400
0,47900
0,47100
0,46600
0,46600
0,46300
0,46200
1,48700
1,48700
0,47400
0,46900
0,46600
1,48700
1,47900
1,48600
0,48100
0,47300
0,50300
0,46600
0,46400
0,46400
1,48400
0,47200
1,48400
0,47500
0,46600
0,46500
1,48500
1,48600
1,48500
1,48400
0,48100
0,47400
0,47000
1,48500
1,48500
0,47700
1,48500
1,48600
0,47900
0,47400
1,48500
0,47700
0,46900
1,48800
0,47200
1,48500
0,47500
1,48500
1,48500
0,48000
0,47400
0,46900
1,48400
1,48600
1,48500
1,48400
0,48000
1,48400
1,51000
0,48200
0,47200
1,48600
0,47600
0,46700
0,46700
0,46500
1,48700
0,47500
0,46800
0,46600
1,48600
1,48700
0,47700
0,47100
1,48200
0,65500
0,47000
0,46600
1,48500
1,48500
1,48700
1,48600
1,48400
0,78400
1,48500
0,47800
1,48300
1,48400
1,48600
1,47400
1,48600
1,48500
0,48500
1,48600
0,48000
1,48200
0,47900
1,48200
0,51600
1,48600
1,48400
1,48300
0,48300
0,47400
1,48400
1,48400
1,48500
0,48100
1,48700
1,48400
0,48300
0,47300
1,48600
0,47800
1,48200
1,48600
1,48400
0,48000
0,47600
0,47100
0,46600
1,48600
0,47500
0,46900
1,48700
0,47600
0,89700
1,87100
0,97000
0,47800
0,47700
1,83100
0,87100
1,49400
0,48800
0,87000
0,79700
0,60600
0,46200
1,48500
1,64500
1,49700
0,63400
0,47600
0,46600
1,48300
1,48600
1,48400
0,48100
0,47300
1,48600
0,47800
0,47200
0,46800
1,79700
0,78300
1,48600
0,47300
1,48400
1,48500
1,48400
1,48500
1,48700
0,52300
0,47400
1,48700
0,47700
1,48600
1,48300
0,48000
1,48400
0,48100
0,47300
1,48500
0,47300
1,48700
1,48500
0,48200
0,46900
0,46500
1,48400
0,47500
1,48600
0,47400
1,48500
0,47600
1,48500
0,47500
0,47300
1,48500
0,47400
1,48600
0,47400
1,48400
0,47600
1,48200
0,47700
1,48400
1,48500
0,48200
0,47300
1,48700
1,48600
0,47800
0,50100
0,46900
1,48600
1,48500
0,48100
0,47200
1,48600
0,47700
1,48400
0,47600
0,46900
1,48500
1,48500
1,48600
1,66500
1,86200
1,62400
1,48600
1,48500
0,48300
1,48500
0,47800
1,48500
0,48100
0,47300
0,46900
1,48500
1,48600
1,48500
0,47800
0,47200
1,48500
0,48000
0,47000
1,48500
1,48300
1,48800
1,48600
1,48500
0,48200
0,50100
0,46900
0,46700
1,48400
0,47100
1,48400
0,47400
1,48200
1,48600
1,48300
1,48500
0,48200
1,48500
1,48500
1,48400
0,48400
1,48200
1,48300
0,48100
0,47500
1,48500
1,48200
0,48100
0,47100
0,46700
1,48400
0,47200
0,46600
1,48500
1,48400
0,47600
1,48800
1,48600
0,48300
1,48500
0,47700
0,46900
1,48400
1,48700
1,48300
0,48200
0,47200
1,51500
0,47800
0,47100
1,48800
0,47400
0,46700
0,46400
1,48300
1,48400
1,48600
1,48500
1,48600
0,48000
1,48200
1,47500
0,48000
1,48300
0,47800
0,47300
0,46600
1,48400
1,48100
0,47800
1,48700
0,47700
1,48400
1,48600
0,48000
0,47200
1,48200
1,48300
1,48600
1,48400
1,48700
0,48400
0,47400
0,50200
1,48700
0,47400
1,48400
0,47600
1,48600
0,47500
0,47000
1,48600
0,47400
0,46900
0,46500
0,46300
0,46200
0,46200
1,48500
0,47200
0,46600
0,46600
0,46100
1,48800
0,47400
1,49000
0,47700
1,48500
0,47600
0,47000
0,46700
1,48700
1,48500
0,47800
1,48900
0,47800
0,47300
1,48700
0,47500
0,46900
0,46500
0,46200
1,48700
1,48800
1,48600
1,52600
0,48200
1,48700
0,48100
0,47200
0,46600
0,46600
0,46400
1,48500
0,47300
1,48900
0,47300
0,46800
1,48400
0,47400
1,48400
0,47600
0,47200
0,46700
0,46500
1,48700
0,47000
1,48200
0,47500
0,46800
0,46700
1,48400
1,48300
1,48500
1,48600
1,48400
0,48200
1,48500
0,48200
1,48600
0,47700
1,48300
