class,ns
1,21400
0,21400
1,21400
1,21400
1,21400
1,21400
1,21400
1,21400
1,21400
1,21400
0,21300
0,21400
0,21300
1,21300
1,21300
1,21300
0,21400
1,21400
0,21400
1,27300
0,21300
0,21400
0,21400
0,21400
1,21400
1,21300
0,21300
0,21300
1,21400
1,21400
0,21400
0,21300
1,21300
1,21300
1,21300
0,21400
0,21400
1,21400
0,21400
0,21400
1,21300
1,21300
1,21300
1,21300
0,21400
1,21400
1,21400
0,21400
0,21300
1,21300
0,21400
1,21400
1,21400
1,21400
0,21400
0,21300
1,21300
1,21300
1,21300
0,21400
0,21400
1,21400
0,21400
1,21300
1,21300
1,21300
0,21300
1,21300
0,21300
1,21300
0,21400
0,21400
0,21400
0,21300
0,21300
1,21300
0,21300
1,21400
0,21400
0,21400
1,21400
1,21400
1,21300
1,21300
1,21300
0,21300
1,21400
0,21400
1,21400
1,21300
0,21300
1,21300
0,21400
1,21400
1,21400
0,21400
1,21400
1,21300
0,21300
1,21300
0,21300
0,21400
1,21400
0,21400
0,21300
0,21300
0,21300
1,21300
1,21400
0,21400
0,21400
1,21400
1,24400
0,21300
1,21400
1,21400
1,21400
1,21400
1,21400
1,21300
1,21300
1,21300
1,21400
0,21400
0,21400
0,21300
0,21400
0,21300
1,21300
0,21400
0,21400
0,21300
1,21400
1,21400
1,21400
0,21400
1,21300
0,21300
1,21400
0,21300
1,21400
0,21400
0,21400
0,21300
1,21400
1,21300
1,21300
0,21300
0,21300
1,21300
0,21400
0,21400
0,21400
1,21400
0,21400
1,21300
1,21300
1,21400
1,21300
0,21300
0,21300
1,21300
0,21400
1,21300
0,21400
1,21400
1,21400
1,21300
1,21400
0,21300
1,21300
1,21300
0,21300
0,21300
0,21400
0,21400
0,21400
1,21400
1,21400
1,21300
0,21300
1,21300
0,21300
0,21400
0,21400
1,21400
0,21400
0,21400
1,21300
0,21400
1,21400
1,21400
1,21300
0,21400
0,21300
1,21300
1,21300
1,21300
1,21400
1,21400
1,21400
1,21400
1,21400
0,21300
0,21300
1,24300
1,21300
1,21300
1,21300
0,21300
1,21400
1,21400
1,21400
0,21300
1,21400
1,21400
0,21400
0,21400
1,21300
1,21300
1,21300
1,21300
0,21400
0,21400
1,21400
0,21400
1,21400
1,21300
1,21300
1,21400
1,21300
1,21400
0,21400
0,21400
0,21300
1,21300
1,21300
0,21300
0,21400
0,21400
0,21400
1,21400
1,21300
1,21300
0,21300
1,21300
1,21400
1,21400
1,21400
1,21300
1,21300
0,21300
1,21300
1,21400
0,21400
0,21400
1,21400
1,21400
1,21300
1,21300
1,21300
1,21400
0,21400
0,21400
0,21300
0,21400
1,21400
0,21400
0,21400
1,21400
1,21400
0,21300
0,21500
1,21300
0,21400
1,21400
0,21300
1,21400
0,21400
0,21400
0,21400
0,21400
0,21500
0,21400
1,21400
0,21300
0,21400
1,26400
0,21300
1,21300
1,21400
0,21400
1,21400
0,21400
1,21400
1,21300
1,21300
1,21300
1,21400
0,21600
1,21300
0,21400
0,21400
1,21500
1,21400
0,21500
1,21400
0,21300
1,21300
1,21300
0,21700
0,21300
0,21300
1,21300
0,21800
0,21500
0,21400
1,21400
1,21400
1,21400
0,21400
1,21400
1,21400
1,21400
0,21400
0,21400
0,21600
0,21400
0,21500
0,21500
0,21500
1,21300
0,21400
0,21600
0,21700
1,21400
1,21500
0,21300
1,21500
0,21600
0,21300
0,21400
1,21400
0,21300
0,21400
1,21400
1,21400
0,21400
0,21400
0,21300
1,21300
0,21300
0,21300
1,21400
1,21400
1,21400
0,21300
1,21400
1,21500
0,21700
0,21500
0,21400
1,21400
0,21400
1,21500
1,21300
0,21300
0,21300
0,21400
0,21400
0,21400
1,21300
0,21400
1,21300
0,21300
1,21400
1,21400
1,21400
1,21400
1,21400
1,25800
1,21400
0,21400
1,21300
0,21300
0,21300
0,21300
1,21300
1,21400
1,21400
1,21400
1,21400
0,21300
0,21300
1,21300
1,21300
0,21300
0,21400
1,21400
0,21400
1,21400
1,21300
0,21300
0,21300
0,21300
1,21300
1,21400
1,21400
0,21300
1,21300
1,21300
0,21300
1,21400
1,21400
1,21400
0,21400
0,21300
1,21300
0,21300
1,21300
0,21400
1,21400
0,21400
0,21300
1,21300
1,21300
1,21300
1,21400
0,21400
1,21400
1,21400
0,21300
0,21300
0,21300
0,21300
0,21400
1,21400
1,21400
1,21300
1,21400
1,21300
1,21300
0,21400
1,21300
0,21400
0,21400
0,21400
0,21300
0,21300
1,21300
0,21300
0,21400
0,21400
0,21400
0,21400
1,21300
1,21300
0,21300
0,21300
0,21400
0,21400
1,21400
0,21300
0,21300
1,21300
0,21300
1,21400
0,21400
0,21400
0,21400
1,21300
1,21300
0,21300
1,23400
1,21300
0,21400
0,21400
0,21400
1,21400
1,21400
0,21300
0,21300
1,21300
0,21300
0,21400
0,21400
1,21400
1,21400
1,21300
1,21300
0,21300
1,21400
0,21400
1,21400
0,21400
0,21300
0,21300
1,21300
0,21300
1,21400
0,21400
0,21400
1,21400
0,21400
1,21300
0,21300
0,21300
1,21400
