class,ns
1,25700
1,25600
0,17000
1,25600
0,17000
0,17100
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
0,17000
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
0,17000
0,17100
1,25700
0,17200
0,17100
1,25600
1,25700
1,25700
0,17300
0,17100
0,17200
1,25600
0,17000
1,25600
1,25700
0,17100
0,17100
1,25600
1,25600
0,17100
0,17000
1,25600
0,17100
0,17000
1,25600
1,25600
0,17100
1,25600
0,22400
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
1,25600
0,17000
1,25600
1,25700
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17100
1,25700
0,17100
0,17100
0,17200
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
1,25700
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17100
0,17100
0,17000
1,25600
0,17100
0,17000
0,17100
0,17100
1,25600
1,25600
1,25700
0,17100
0,17100
0,17100
0,17100
1,25600
0,17000
0,17100
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
0,17000
0,17100
0,20700
0,17100
1,25700
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
1,25700
1,25600
0,17100
1,25600
1,25600
0,17000
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17000
1,25600
1,25700
1,25600
0,17100
0,17000
0,17000
1,25600
0,17000
0,17000
0,17100
0,17100
0,17100
0,17000
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
0,17100
0,17000
0,17100
0,17100
0,17100
1,25700
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
1,25600
0,17100
0,17100
1,25700
1,25600
0,17000
1,25600
0,17100
0,17000
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
1,25600
0,17000
0,17100
0,17100
1,25600
1,25600
0,17100
0,19900
0,17100
0,17100
0,17100
1,25700
1,25600
1,25700
0,17100
1,25600
0,17100
1,25600
0,17000
1,25600
0,17100
0,17100
0,17000
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
1,25600
0,17000
1,25600
1,25600
1,25600
0,17100
0,17100
0,17000
0,17100
1,25600
0,17000
1,25600
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
1,25700
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
1,25600
1,25600
1,25700
0,17100
0,17100
0,17000
0,17100
1,25600
0,17000
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
0,17200
0,17100
0,17100
0,17100
1,25700
0,17200
0,17100
0,17100
0,17100
1,25700
0,17100
0,17100
1,25700
0,17200
0,17200
0,17200
0,17200
0,17200
0,21900
0,17100
1,25700
1,25600
0,17100
1,25900
0,17100
1,25700
1,25700
0,17100
1,25600
0,17100
1,25700
0,17100
1,25700
0,17100
1,25600
0,17100
1,25700
0,17100
1,25600
1,25700
1,25900
1,25700
0,17100
0,17200
1,25600
1,25700
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
1,25700
1,25600
1,25600
1,25600
1,25700
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
1,25700
1,25600
0,17000
0,17100
1,25600
0,17000
0,17100
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
0,17000
1,25600
1,25700
1,25700
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
0,21600
1,25600
1,25600
1,25600
1,25600
1,25600
1,25700
0,17100
0,17100
1,25700
1,25600
0,17000
1,25600
1,25600
1,25600
1,25700
0,17100
1,25600
0,17100
0,17100
0,17100
1,25700
1,25600
0,17000
0,17100
0,17100
0,17100
1,25700
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
0,17000
1,25600
0,17100
1,25600
0,17100
1,25700
1,25600
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
1,25700
0,17100
0,17100
1,25700
0,17100
1,25600
0,17100
1,25600
0,17000
1,25600
1,25700
1,25600
1,25700
0,17100
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
0,17100
0,17100
1,25600
0,19600
0,17100
0,17100
1,25600
1,25600
1,25700
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17000
0,17100
1,25600
0,17000
1,25600
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
0,17000
1,25600
1,25600
1,25600
0,17100
0,17100
1,25700
1,25600
0,17000
1,25600
0,17100
0,17000
1,25600
1,25600
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25600
0,17100
1,25700
1,28900
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
1,25600
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
1,25700
0,17100
1,25700
0,17000
1,25700
1,25600
0,17100
0,17100
1,25700
0,17100
0,17100
1,25600
1,25600
1,25600
1,25600
1,25800
1,25700
1,25600
0,17200
1,25600
1,25700
0,17100
0,17300
0,17000
1,25700
1,25600
1,25700
0,17100
1,25600
1,25700
0,17100
1,25700
1,25600
0,17100
1,25600
1,25800
0,17200
0,17100
0,17200
0,17100
0,17200
0,17100
0,17100
1,25700
0,17200
1,25800
0,17100
0,17100
1,25800
1,25700
1,41500
1,44600
1,41200
1,25700
1,32300
1,25600
0,17100
0,17100
0,17100
0,17100
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
0,17100
0,17000
0,17100
1,25600
0,17000
0,17100
1,25600
0,17100
1,25600
0,17000
0,17100
0,17100
1,25600
0,17100
0,17000
1,25600
1,25700
0,17100
1,25600
0,17100
0,17100
1,25700
0,17100
1,25700
1,25600
1,25700
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17000
1,25600
1,25700
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
1,25700
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
0,17100
1,25600
0,17000
0,17100
0,17100
1,25600
1,25600
0,17100
0,17000
0,17100
1,28700
0,17100
1,25600
1,25700
1,25600
1,25600
0,17100
0,17100
0,17000
0,17100
0,17100
1,25700
0,17100
1,25600
1,25600
1,25700
1,25600
0,17000
0,17100
0,17100
0,17200
0,17100
1,25600
1,25600
1,25700
1,25600
1,25600
1,25600
1,25600
0,17100
0,17000
1,25600
1,25700
0,17100
0,17100
0,17000
1,25600
1,25700
1,25600
1,25600
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
1,25700
0,17100
0,17100
0,17100
1,25600
0,17100
0,17000
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
1,25700
0,17100
0,17100
0,17100
0,17000
0,17100
0,17100
1,25600
0,17100
1,25600
0,17100
1,25700
0,17100
1,25600
1,25600
1,25700
0,17100
1,25600
0,17100
1,25600
0,17100
0,19100
0,17100
1,25600
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
0,17100
0,17100
1,25700
0,17100
1,25600
0,17100
0,17100
0,17000
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
1,25600
1,25600
0,17100
0,17100
1,25700
1,25600
0,17100
0,17100
1,25600
0,17100
0,17000
1,25600
1,25700
0,17100
1,25600
1,25600
1,25700
1,25600
1,25600
0,17100
1,25700
1,25600
1,25600
1,25600
0,17200
0,17100
0,17100
1,25700
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
0,17100
1,25700
0,17100
0,17100
0,17000
0,17100
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
1,27200
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
0,17000
1,25600
0,17100
1,25600
0,17100
0,17000
0,17100
0,17100
1,25700
0,17100
1,32400
1,25600
1,25600
1,25600
0,17100
0,17100
1,25700
1,25600
1,25600
1,25700
1,25600
1,25600
0,17200
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
1,25600
1,25700
0,17100
0,17200
0,17100
1,25700
0,17100
0,17100
0,17200
1,25600
1,25800
0,17200
1,25700
1,25700
0,17000
0,17100
0,17100
1,25800
1,25700
1,25800
0,17200
0,17200
1,25800
1,25700
1,25600
0,17200
0,17300
0,17100
1,25800
0,17200
1,25600
1,25600
0,17100
1,25900
0,17100
1,25700
1,25700
0,17100
0,17300
0,17000
0,17300
0,17100
1,25900
1,25700
1,26000
0,17100
0,22700
1,25700
0,17000
0,17100
1,25600
0,17100
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
1,25700
0,17100
0,17100
1,25600
1,25600
0,17200
1,25700
0,17300
1,25700
0,17100
0,17200
1,25700
1,25600
0,17000
0,17100
1,25600
0,17100
1,25600
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
0,17000
1,25600
0,17100
1,25700
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
1,25700
0,17100
1,25600
1,25600
1,25700
1,25600
1,25600
0,17100
1,25700
1,25600
0,17000
0,17100
1,25600
1,25600
1,25600
1,25600
1,25700
0,17100
1,25600
1,25600
0,17100
0,17000
0,17100
0,17100
1,25700
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
0,17000
1,28300
1,25700
1,25600
1,25600
1,25600
0,17100
1,25600
0,17000
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25700
0,17100
1,25600
1,25600
0,17100
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
1,25700
1,25600
1,25700
0,17100
1,25700
0,17100
0,17100
1,25700
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
0,17000
1,25600
1,25600
0,17100
0,17100
0,17000
1,25600
0,17100
0,17000
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17000
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
0,17000
0,17100
0,18600
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
0,17000
1,25600
0,17100
0,17100
0,17100
0,17100
1,25700
1,25600
0,17000
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
0,17100
0,17100
1,25700
0,17100
1,25600
1,25600
0,17100
0,17000
0,17100
1,25600
0,17000
1,25600
0,17000
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
1,25700
1,25600
0,17000
0,17100
1,25600
0,17000
0,17100
0,17100
0,17100
0,17000
0,17100
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
1,25600
0,17000
0,17100
0,17100
1,25700
1,25700
0,17100
1,28500
1,25700
0,17100
0,17200
0,17100
1,25600
1,25700
0,17000
0,17100
1,25700
1,25700
0,17100
1,25700
1,25800
0,17300
1,25700
1,25700
0,17300
1,25800
0,17300
0,17200
0,17300
1,25700
0,17200
1,25900
1,25700
0,17200
0,17300
1,25700
1,25800
0,17200
0,17100
0,17200
1,26000
1,25600
0,17200
1,25700
0,17200
1,25600
1,25800
1,25700
0,17200
1,25800
1,25700
0,17100
1,25700
1,25700
1,25700
1,25600
0,17100
1,25600
1,25700
1,25700
1,25700
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
0,17000
1,25600
1,25700
0,17100
1,25600
1,25600
1,25700
1,25600
1,25600
0,17100
1,25700
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
1,25700
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
1,25700
1,25800
1,30900
0,17100
0,17000
1,25600
1,25600
1,25600
0,17000
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
0,17100
0,17000
0,17100
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25700
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
0,17000
0,17100
1,25600
1,25600
1,25600
0,17100
1,25700
1,25600
1,25600
1,25600
0,17000
0,17100
1,25600
0,17100
1,25600
0,22700
1,43500
0,28000
0,23600
0,17100
1,25600
1,25600
0,17100
0,17000
1,25600
0,17100
1,25600
1,25700
0,17100
1,25600
0,17100
0,17200
0,17100
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
1,25600
0,22700
1,25700
0,17100
1,25600
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
0,17100
0,17100
1,25700
0,17100
0,17100
0,17100
0,17000
1,25600
1,25700
1,25600
0,17000
0,17100
1,25700
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
0,17000
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
1,25700
1,25600
1,25600
0,17100
0,17000
1,25600
0,17100
0,17100
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
1,25700
0,17100
0,17100
1,25600
1,25700
0,17100
1,25600
1,25600
1,25700
1,25600
0,17000
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
0,17000
1,25600
0,17000
0,17100
0,17100
1,25700
1,25600
1,25600
0,17100
0,19500
0,17100
1,25600
1,25600
0,17100
0,17000
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
0,17000
0,17100
0,17100
1,25700
1,25600
1,25600
0,17100
0,17200
0,17100
1,25600
0,17100
0,17100
1,25600
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
1,25600
1,25600
1,25700
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25700
1,25600
1,25600
0,17200
1,25700
0,17100
0,17000
0,17100
1,25600
0,17100
0,17100
0,17100
0,17100
0,17000
1,25600
1,25700
0,17100
1,25800
0,17100
0,17100
0,17100
1,25700
0,17100
1,25700
0,17200
0,17100
0,17200
0,17000
0,17100
1,25600
0,17200
1,25600
0,17200
1,25800
0,17100
0,17100
0,17200
1,25700
0,17000
1,30700
1,25600
0,17100
0,17000
1,25600
1,25700
0,17200
1,25700
1,25700
0,17000
0,17100
0,17100
0,17200
0,17100
1,25600
1,25600
1,26000
0,17300
0,17000
1,25600
1,25600
0,17000
0,17100
0,17100
0,17100
0,17000
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
0,17100
0,17000
0,17100
0,17100
0,17100
0,17000
0,17100
0,17100
1,25600
0,17100
0,17100
1,25700
1,25700
1,25700
1,25700
0,17100
0,17100
1,25700
0,17100
1,25600
0,17100
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17000
0,17100
0,17100
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17100
0,17100
1,25600
1,25600
1,25700
1,25600
1,25600
1,25600
1,25600
1,25600
0,17100
1,25600
0,20400
0,17100
0,17100
0,17100
0,17100
0,17000
1,25600
1,25700
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
1,25600
1,25700
1,25600
1,25600
1,25600
0,17100
1,25600
0,17000
1,25600
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25700
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
0,17100
1,25700
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25600
1,25700
0,17100
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25600
1,25700
0,17100
1,25600
0,17100
1,25600
0,17100
0,17100
1,25600
1,25600
1,25700
0,17100
1,25600
1,25600
0,17100
0,17100
0,17100
1,25600
0,17100
0,17100
0,17000
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
0,17100
1,25600
0,17000
0,17100
0,17100
0,17100
0,17000
1,25600
0,17100
1,28300
0,17100
0,17100
1,25600
0,17100
1,25600
0,17000
1,25600
0,17100
1,25600
1,25600
1,25600
1,25600
1,25600
0,17000
1,25600
0,17000
0,17100
0,17100
0,17100
1,25600
0,17100
1,25700
1,25600
1,25600
0,17100
0,17100
1,25600
1,25600
0,17100
1,25600
0,17000
0,17100
1,25600
1,25600
1,25600
1,25600
0,17100
0,17100
0,17100
0,17000
0,17100
1,25600
1,25600
1,25600
0,17100
