class,ns
0,25728000
0,25360400
0,25448300
0,27337400
1,30876100
1,39835000
1,31261900
0,24889000
1,37122300
1,23745100
1,68037700
1,32696300
1,27798600
1,29208000
1,35174100
1,26396400
0,24730100
0,24744100
0,24777700
1,34342100
1,31647600
1,27270500
1,37923900
0,25222300
1,44853300
0,29363800
0,24986400
0,24911200
0,24810500
0,24891000
0,25041300
0,24905300
0,29653000
0,24839800
1,23945800
1,26648300
1,23849800
1,23512400
0,24758900
0,24760900
0,24778600
1,26390300
0,24869100
1,31800200
1,28771100
0,24744700
1,23279000
0,24759200
1,31292700
1,25026100
1,23242400
0,24724300
1,41716000
0,24684600
1,35523800
0,24724700
0,24846400
0,25123100
0,25489900
1,65767600
1,23544500
1,32845100
1,31811600
1,23480600
0,27107000
1,52049500
0,24836400
1,31398500
0,25274000
0,24861800
0,25506800
1,30061900
1,31666700
0,24846000
0,25011100
1,35965000
0,24866700
1,57662400
0,24706000
1,35848600
0,24733600
1,74572400
1,23272400
0,24759300
1,34454600
1,32357200
1,26500800
0,24712600
1,30006600
1,37668500
1,23438500
0,25003400
0,24714200
1,36000100
0,24693000
1,53327100
0,24906400
1,38185000
0,24851200
1,39665700
0,24763800
0,24935200
0,24906100
1,40441800
0,24879300
0,25568900
0,24751800
0,24681100
1,33242100
0,25054400
1,79590700
1,34657600
0,24805500
1,33503800
0,24824900
1,34833000
1,24044900
1,41926700
1,50213600
1,24547700
1,37819200
1,75244400
1,27424000
1,25133400
0,25982200
0,24897700
1,70717100
1,51963000
0,25660800
1,27744800
1,27978500
1,31385400
0,27832500
1,25886000
0,31979900
0,25399100
1,40669900
0,27928500
1,71905400
1,24844300
1,54172300
0,24880200
0,25898000
1,37523800
0,29016700
1,42177900
0,26864900
0,25528200
1,26758600
1,28943000
0,25935800
0,24801100
1,44050600
1,57586000
1,46615600
0,25027500
1,32207500
1,33101600
0,24749800
1,25084800
0,24858300
0,25074000
1,36969300
1,30116700
0,24829100
1,32576700
0,25724400
0,24836000
0,25057800
1,57724300
0,24822300
0,24884000
1,32913800
1,32826700
1,82502500
0,26822200
0,25177500
0,24849000
0,24841700
1,28743400
0,25002900
1,23611500
0,26044900
0,24794600
0,25114000
0,25402300
0,25013000
0,25210600
1,36733700
1,28835100
0,24903800
1,26309700
0,24700200
0,26004900
1,26377000
0,24774100
0,25300600
0,26574200
1,27492400
1,26576100
0,24766000
1,30782200
0,24819600
1,27471700
0,34150400
0,24912800
0,26334600
1,39167700
0,30032400
0,24967400
1,27985600
0,25043800
1,42257200
0,25160600
0,25376600
0,26536200
1,47600400
1,36226200
1,35982400
1,49801400
0,39775100
1,44571800
0,49085400
1,56711400
0,42545300
0,35850600
1,46509400
1,37743700
1,28468500
1,26698900
0,25423300
0,24906900
1,23437100
1,37224900
1,40861400
0,24833100
1,35544300
1,25424000
0,25128400
0,24936100
0,26288300
0,24851700
1,23676100
0,26653300
1,27351500
1,24677900
0,26694500
0,25331200
1,25344900
0,24723100
1,43730700
0,25080600
0,24829100
1,30921400
1,31933400
0,27071300
0,26425400
0,29016100
0,30401200
0,25706500
0,26861800
0,26239200
0,25304000
1,70308200
0,25451000
1,39024800
0,31426300
0,27752400
1,32975100
0,24902800
1,36036300
1,33580900
1,65315900
0,25503300
1,56358800
1,43158500
0,26189400
1,28298100
0,31351600
1,36691800
1,30355700
1,30472500
1,38667900
1,34593800
0,24785700
1,39093600
0,25156500
0,28637600
0,35233200
1,59352800
1,40570600
0,26158000
0,24880700
0,25639200
1,28656800
0,24943700
0,25155400
1,28105600
0,25270900
1,28075600
0,24849000
1,28405600
1,58891000
0,24936900
1,26476700
0,25186600
0,25009800
1,36236700
0,24765800
0,24807100
0,25155100
0,24914000
0,25171600
1,27483900
1,29284800
0,25055000
1,57761300
0,24980400
0,24775300
0,25246400
1,29801400
1,45169700
0,25252800
1,24006500
1,29652400
1,34734100
1,42260900
0,25616400
1,29664000
0,24728700
0,24731100
1,65993000
1,26042900
0,37489300
1,37201600
0,26162200
0,25274600
1,35384600
1,77804400
1,35996300
0,26878300
0,31074000
1,30158500
1,35381500
0,30382900
0,31810000
0,31946100
0,32719200
1,41070200
0,39838100
1,69845400
1,43531700
0,40522200
1,41131800
1,43487000
0,49525100
0,33142000
1,24689700
1,26245500
0,26753200
1,25713800
1,31246000
1,32251300
1,29937300
1,35583700
1,24983600
1,23353600
0,24769700
0,26200200
1,31586200
0,28238400
1,33138600
0,24731500
0,24785600
0,24987000
1,23310800
1,31580200
1,26513400
0,24772000
0,25078900
1,76135400
0,24775000
1,46114200
1,40502900
1,35697300
0,25248000
0,24802100
0,25693600
0,26569000
1,34488400
1,27738100
0,25381100
0,25954300
1,27910000
1,84392400
1,71842900
1,35572300
1,34025400
0,27318700
1,45536800
1,39754200
1,38276900
0,27581700
1,34201900
1,43964100
0,26459800
1,33695500
0,25646100
0,27624800
1,39621500
0,32154600
0,35293500
0,37857600
1,42779500
0,38913000
1,61421400
1,42341100
1,116583200
1,83165500
0,32121300
0,29195200
1,81554800
0,32309400
0,32023600
1,25493600
1,43597600
1,37184000
1,35585600
1,32771000
0,25812600
0,24986500
1,51746900
0,26070700
0,25034300
1,43476800
1,30980300
1,26776200
1,35901500
1,33200700
1,25710100
1,31506700
0,25497300
0,33206600
0,26842800
0,26442500
1,71125400
1,25448400
1,41074900
1,24199400
1,32707300
0,26493100
1,23334400
1,25532700
1,51649500
0,24822000
0,24906000
0,25075900
0,27805400
1,44988800
0,24818400
0,24901700
1,44653200
0,24831400
0,24939400
0,25056200
1,26468100
0,24818600
1,32782700
1,44444300
1,34181600
0,25372800
1,61319000
0,24823800
1,24847000
1,35699500
1,60142000
0,27371800
0,24997700
1,38227800
0,26837300
0,24861400
1,29594300
0,24769500
1,26795500
0,24785400
1,37048300
1,24776800
0,24808400
0,24855400
1,64752700
1,31161300
1,36288200
0,26276400
0,27688300
0,25645500
1,38079900
1,90869000
0,25428000
0,24864800
0,25355800
0,24943400
1,61516500
1,49291100
0,25131600
1,23412800
1,26446100
1,65102300
0,24921600
0,24998800
1,32856900
0,24858600
0,25058200
1,62458600
1,32138700
0,27172500
1,45850900
0,24917400
1,38246500
1,41756300
0,24674700
1,30670000
1,28144800
0,24720000
0,24695500
0,24846600
0,24693100
0,24735200
1,24710300
1,24646800
1,28323400
1,30924900
0,24982600
0,25291100
0,25293000
0,25109600
1,41577700
0,24747800
1,26011600
0,24950100
1,24859400
1,26105700
1,32942500
1,32195900
0,26319000
0,24697700
0,24668400
0,24733300
1,32711200
1,27902100
0,24840400
1,44090400
1,26699200
0,27532100
1,36258400
1,28507900
1,47691200
1,23911100
1,33074000
0,24777200
1,34784100
0,25220700
1,25670400
1,24992900
1,48565300
1,38154600
1,58582400
1,53524100
1,24774300
0,24816600
0,24797800
0,24762000
1,25204400
0,24940700
1,29026200
0,24840700
1,23323700
1,23769200
1,24775000
0,25820000
1,23977400
1,59152300
1,24565200
0,24715900
1,27604800
1,26224300
1,43891700
0,24851600
0,24746700
0,24815400
0,24751000
1,69152200
1,27612300
1,32758700
1,37431800
1,55060700
1,41004400
0,24694700
1,27698500
1,43865100
0,24713900
0,24766200
1,38641200
0,26019600
0,26257200
0,26336200
1,30181200
0,24715400
0,25013800
1,33964000
0,24704600
0,24745700
0,26019200
1,23194400
0,24863100
1,56799100
0,24940500
1,66948200
0,25746600
0,29143700
1,48747000
0,26070400
0,24834700
0,24904000
0,24770500
0,25201900
0,24829300
0,24761100
1,23312700
1,23828700
0,24836800
0,24902700
0,24848300
0,24763000
0,24868800
0,24905300
1,45582600
1,41700500
1,33084600
1,53855600
0,28526500
0,25298400
0,25217000
0,26282100
0,25903200
0,25461500
1,50032400
0,26683200
1,36454900
0,27261900
1,26962400
1,80914800
1,34742900
0,25751600
1,39691100
0,25149800
0,24976000
1,64973800
1,58286500
1,23617900
0,24843700
1,24975900
0,27537300
1,35463600
1,35604000
0,25398800
1,58417300
0,25011700
0,25294600
1,65770900
0,25095300
0,25112300
0,25132300
0,25165800
0,25387800
1,27741000
0,25261900
0,30384000
0,26558800
1,33648500
1,23882700
0,27772200
0,25889000
0,25236200
1,26021500
0,24986600
1,35461400
0,25054800
1,33005500
0,25340300
0,25362500
1,28183400
0,28691500
1,68336200
1,29021700
0,24703500
1,38162000
0,25461600
1,25199900
0,24191800
0,24256500
0,24326600
1,34180300
1,30278700
1,25784300
1,86731600
0,26590500
0,25200600
1,24198100
0,25446300
0,26517100
0,27373000
0,26181500
1,39160800
0,24898400
0,24381300
0,24923100
0,24694500
0,26553800
1,40657900
0,28788700
1,42348700
0,24263300
1,30985800
0,24994000
1,38508000
0,24341700
1,34630300
1,26128300
1,33056300
1,26357700
1,28207700
1,60069200
1,58761700
1,36413300
0,31798800
0,32470400
0,30320200
0,25926500
1,32937700
1,29109200
1,23609800
1,27606000
1,48902800
0,32729500
0,29606900
1,23491200
0,26415900
0,24828300
1,30414400
0,25120900
0,25196800
0,24786900
1,57005300
0,25347800
1,36078400
1,34163200
0,24917500
1,55030200
1,48846600
0,26355700
1,40760800
1,28218500
1,28392800
0,27103000
1,26459500
1,43458400
1,34192200
1,34072100
0,25284700
1,45006500
1,39178800
0,25632500
1,27526500
0,25774800
0,25244900
1,43347900
0,25051500
1,35033800
1,24881100
1,31133900
0,25792800
1,38638100
0,24284200
0,24281900
1,27858800
1,51690500
0,23945500
1,23010100
0,25268900
1,61864200
1,41362400
0,24743400
0,24800500
1,28052600
1,47663900
1,28238100
1,41112600
0,24828800
0,28253900
0,25339900
1,32402500
1,26825900
0,28116800
1,47183100
0,25732500
0,25469200
1,38357100
0,25059500
0,24828100
0,25718900
0,27389900
1,24173100
1,42469100
1,49856700
0,24811800
0,25015300
1,34330100
1,44684400
1,34761600
0,26113100
0,24663100
0,24802300
1,27691900
0,24209000
0,30199000
0,25101500
1,26940000
0,25229700
1,47891900
1,41772100
0,24670700
1,44858400
1,26634700
0,24739200
0,24828600
0,24741500
0,28427300
0,29984600
0,26694600
1,24306100
1,37610900
0,25230700
1,29694000
1,24723300
1,64554500
1,40326400
0,25096800
0,25112300
1,34989000
1,47775900
0,24856100
1,24779800
1,40067200
0,24804200
1,40968500
1,32326700
1,52938300
0,25338700
1,25558000
1,32642400
0,26044300
1,26349500
0,25030200
0,25203800
1,58720000
0,24712000
0,25342400
1,27721000
1,78697500
1,34072500
0,25681300
0,26065700
0,24884600
0,24698200
1,23858700
1,31533400
1,42144100
1,42795200
1,34927600
0,25411100
0,27848700
1,31333500
0,24850600
0,24782800
0,28133100
1,69359400
1,48774400
1,26728600
1,29827200
1,34710100
0,25406500
1,31026600
1,28602400
0,27233400
0,29671400
1,24077600
1,27960000
0,25844000
0,25836100
0,25367900
1,77794200
0,25226500
1,24751900
0,24797800
1,32323000
0,25039000
0,26926200
0,24275900
1,28751000
1,34650300
0,24100000
1,127855900
0,25856600
0,26374900
1,36770600
0,25755700
1,41227600
0,24800400
0,24851300
0,24913300
1,29722800
1,28235600
1,27797700
1,61709000
0,25214900
1,25032700
1,32058600
1,28374000
0,26211500
0,27196600
1,38277900
1,37169900
1,50994700
1,30428200
1,29378100
0,25341600
0,26892600
0,27398100
1,34288600
0,24762000
1,33960400
0,24671900
0,25184400
0,25581800
0,24772600
1,31590500
0,24885300
0,24870300
0,24818300
1,44054900
1,38393300
0,28334000
1,28929400
1,27073100
1,35067500
0,29363700
1,41194100
1,23352700
0,24760000
0,24983600
1,46419700
1,29978600
1,24271000
0,25883400
0,25228200
0,25102300
0,24883200
1,96430700
0,24850600
1,28471500
1,28728600
0,25653100
1,47699900
1,47718400
1,30056600
1,55183100
0,25028200
1,40648600
0,24918900
1,44570400
1,24289000
1,30721300
1,51192200
1,32346900
1,62963300
1,24026400
0,24947500
0,24688300
0,24284900
0,24114200
1,29146900
0,31752500
1,26134100
0,24991600
0,24974000
1,24827500
1,28593100
1,40081500
0,25121100
1,43224500
1,28695300
1,33406100
0,29156000
1,52937300
1,53977500
0,24520000
1,46282100
0,24282100
0,24192800
1,34495100
1,27461900
0,24500500
0,26520900
0,27347800
0,24770500
1,23218600
1,23031000
0,24266000
1,23207400
0,28512900
1,35309100
1,27173500
0,24232400
0,24373600
1,37406200
1,23445600
1,37389500
0,24516500
1,111902900
0,24384600
0,24377000
1,25544100
1,67073000
0,26327700
1,44732300
0,25016900
0,28589200
1,24806800
0,24687300
1,69648100
1,25997900
0,24688900
1,29168700
1,29367100
1,27915500
1,55140500
1,36448100
1,33437800
0,30768600
0,27208200
1,40236800
0,25843200
1,79597200
0,24786300
0,24885700
1,28386300
1,27481300
1,27224600
1,32600100
0,24668700
0,24945400
0,28069100
0,28835100
1,29554600
1,27333300
0,24958200
0,25918600
0,26039900
0,26917300
0,24960600
0,24891700
1,79621100
1,27279200
0,24957300
1,28881000
1,36277500
0,25184300
1,29234000
0,25462600
0,24988700
1,38089500
1,70942400
1,34504900
0,25034000
0,25430000
0,24847100
0,24385500
0,24321300
1,26858500
0,24983400
1,28081900
1,45741900
1,24896200
1,34512700
1,26691700
1,23252200
0,24562200
