class,ns
1,7818200
0,7857200
0,7834600
0,7870000
1,7819700
1,7823100
0,7818100
0,7848600
0,7819300
1,7899500
1,7843400
0,7999900
0,7830400
1,7811400
1,7800700
0,8320300
1,7836700
1,7851100
0,7867200
0,7841500
0,7828500
0,7860500
1,7878200
0,7852700
1,7842300
0,7844900
0,7843000
0,7846300
0,7823100
1,9020900
1,7823300
0,7842500
1,7806700
1,7817600
0,7841400
1,7804900
1,7805700
1,7832600
1,7862100
1,7835000
1,7824200
1,7864400
1,7809800
1,7820000
0,7853000
1,7920500
1,7860200
0,7972200
1,7864200
1,7840000
0,7830800
1,7822900
1,7813800
1,7813100
1,7828300
1,7816700
0,7838400
1,7857500
1,7818500
0,7804700
0,7841600
1,7830500
1,8211000
0,7899800
1,7838100
0,7817100
0,7838700
1,7790200
1,7852300
1,7833500
0,8353100
0,9314400
1,7864300
0,7830000
1,7879500
0,7987500
0,9306300
0,8173900
1,7881200
1,7831200
1,7827600
1,7832000
1,7836300
1,7829500
0,7864900
0,7820200
0,7824700
0,7839000
0,7858900
0,7828700
0,7864500
0,7811000
0,7831500
1,7803300
0,7852000
0,7890900
1,7820700
1,7817300
1,7839700
1,7831400
0,7809600
0,7834600
1,7827200
0,7956500
1,7864300
1,7846200
0,7847600
1,7849700
0,7854600
1,7818700
0,7812400
1,7851000
0,7826100
0,7992400
0,7810100
0,7855200
0,7811400
1,7870400
0,7823700
0,7836100
1,7832400
0,7948600
0,7865500
1,7814400
0,7819200
0,7845900
0,7815600
1,7827600
0,7826400
1,7838900
0,7820800
1,7821800
0,7839100
0,7828100
0,7816000
1,7885000
1,7848000
1,7881900
0,7822200
0,7838200
1,7827300
1,7957800
1,7811400
1,7861100
0,7855700
1,7877600
1,7819500
0,8188400
0,7898800
1,7951100
1,8101200
1,7841500
0,7830300
1,8002300
1,7831600
1,7851800
1,7829700
0,7856800
0,7834300
0,7876500
0,7831200
1,7860100
1,7813200
1,7862800
1,7823800
1,8939900
1,7815500
1,7818800
0,7859400
1,7821900
0,7967800
0,7936100
0,7912400
1,7865900
1,7894400
1,7852100
0,7901600
0,7851300
0,7852100
1,7827100
0,7858500
0,7827800
1,7843900
1,7828700
0,7894500
1,7839000
1,7856800
1,7833800
1,7887500
1,7811900
1,7851100
1,7821700
1,8008200
1,7852600
1,7883900
0,7841100
1,7978600
0,8131600
0,7874500
1,7859200
0,7887400
1,7847200
1,7856300
1,7895000
0,7862400
0,7873800
1,7900700
1,7869200
1,8182100
1,7831600
1,7827800
0,7827800
0,7910500
0,7839900
1,7838400
0,7836400
0,7902500
1,7820800
0,7834800
1,7811800
0,7874500
1,7810300
0,7830900
1,7819800
1,7861800
1,7872100
1,8588700
0,8603400
0,8757700
0,8852300
1,8792900
0,8655100
1,8671000
0,8565700
1,9221900
1,9160900
0,8497900
1,7813300
0,7799300
0,7820600
1,7868900
1,7867400
0,8002300
1,7819100
0,7872400
0,7869800
0,7839900
0,7842800
0,7850100
0,7855300
0,7915600
1,7839800
0,7846700
0,7874200
0,7849000
1,7822300
1,7827800
0,7856400
1,7822500
1,7807800
0,7853600
0,7836700
1,7885300
0,7839500
1,7879000
0,7824700
1,7791200
0,7824700
1,7942800
0,7740600
1,7811700
1,7866300
0,7932000
1,7719600
0,7807100
0,7836000
0,7867100
1,7830700
0,8616700
1,9338200
1,8221000
1,8290200
0,8319900
0,8161500
0,7844800
0,7996900
0,7833600
1,7994100
0,7833100
1,7823000
1,7851900
0,7911700
0,7826200
0,7849600
1,7806700
0,7865400
0,7814600
0,7875700
1,7893800
1,7854700
0,7824300
0,7874100
1,7829600
0,7835600
0,7827800
0,7887000
1,7824600
1,7842000
0,7819200
1,7813800
0,7850400
0,7835500
1,7858600
0,7841600
1,7819000
0,7832100
1,7842300
0,7841100
1,7852200
1,7840900
0,7950700
1,8182900
1,7858600
1,7840300
0,7931900
0,7859000
0,7950800
0,7735300
0,7790600
1,7853000
1,7857900
0,7824800
1,7930000
1,8567500
0,7912700
0,7888300
1,7877900
1,7777100
1,7755700
1,7858000
0,7865900
1,7813400
1,7915600
1,7820900
0,7855700
1,7816700
1,7883000
0,7815100
0,7899600
1,7808000
0,7918900
1,7881500
1,7840000
1,7801600
0,7854400
0,7815400
1,7854400
0,7822700
0,7852000
1,7830200
0,7821600
1,7857500
1,7829400
1,7822900
0,7820600
0,7818700
1,7849600
1,7836000
1,7848600
0,7817500
0,7835600
1,7830400
0,8388500
1,8246700
0,7851100
0,7843400
0,8065300
0,7818800
1,7834900
0,7821400
1,7844600
1,7823200
1,7824700
0,7817500
0,7857200
1,7818800
0,7858800
0,7819400
0,7847400
0,7850000
1,7871000
0,7820600
1,7822200
1,7798800
1,7911300
1,7824500
1,7848900
1,7826100
0,7863300
1,7810200
1,8253500
0,7843500
0,7842100
0,7842500
0,7841400
0,7847600
0,7862700
1,7825700
0,7836400
1,7813500
1,7835400
0,7831600
1,7823100
0,7841800
0,7970800
0,7820700
1,7815300
0,7838400
0,8868400
0,7962400
1,7885900
1,7833000
1,7865200
1,7825000
1,7905400
1,7904600
1,7841300
1,7865000
1,7831000
1,7879500
1,7816800
1,7842600
0,7852900
1,7827600
1,7825200
1,7823000
1,7852200
0,7859800
0,7812300
0,7877900
1,7829900
1,7828400
1,7804500
0,8214900
0,7822800
0,7860700
0,7815700
0,8059700
1,7849500
1,8318900
0,7822400
1,7824000
1,7809900
1,7905000
0,7819500
0,7878300
0,7838100
1,7829200
0,7839200
1,7874800
0,7829700
0,8227500
1,7869000
1,8530400
1,8296600
0,8154600
1,8401000
0,8243500
1,8293200
1,7849000
1,8023000
0,7856800
0,7870100
1,7855300
0,7864800
1,7851500
0,7865000
1,8456800
0,7831300
0,7819300
0,7823800
1,7820300
0,7846600
1,7822800
1,7793200
1,7853700
0,7830700
1,7807800
0,7824600
1,7801600
0,7840200
0,7816800
1,7840400
1,7795200
0,7847300
1,7812900
1,7826000
1,7900800
1,7951100
0,7880500
1,8213000
1,7846800
0,7812400
0,7834000
0,7847900
0,7832100
0,7832700
0,7841900
0,7862000
1,7864100
0,7860600
1,8004500
0,7829000
0,7852700
0,7832900
0,7881300
1,7804000
1,7823200
0,7834500
1,7865100
1,7856500
1,7905200
1,7823400
1,7955900
0,10420700
1,9486400
0,10130800
1,9555300
0,10184400
0,8845400
1,8191500
1,8016400
1,8119200
0,8404300
0,8158900
0,9916200
1,7875800
0,7879100
0,7862900
0,7868300
0,7822800
0,7852300
1,7867500
1,7827500
1,7818200
1,7860100
0,7828900
0,7838000
1,7843400
0,7875800
1,7825400
0,7864200
0,7874700
0,8216500
0,8303500
0,7906400
1,7966100
0,7919000
1,7832600
0,7877500
0,7855500
1,7847300
0,7821700
1,7825200
0,7825200
0,7832900
0,7895600
0,7856800
0,7819700
0,9020900
0,7913600
0,7828000
1,7805100
1,7834700
1,7819800
1,10378900
0,10425800
0,10496800
1,7912700
0,7873400
0,7815200
0,7879800
1,7797900
0,7909300
1,7808700
0,8028300
0,7848100
1,7833400
1,7855300
1,7974800
0,8519100
0,8012400
0,7904200
0,7868100
1,8236200
1,7827300
0,7846400
0,7847300
1,7838200
0,7883500
1,7831300
1,7895600
0,7816900
1,7835800
0,7855700
0,7819600
1,7794100
0,9256400
1,7818400
1,7824000
1,7809500
1,7830000
0,7816900
1,7820000
1,7797500
0,7860400
1,7805900
1,7844900
0,7813100
0,7852700
0,7818800
1,7903400
0,7831300
1,7870400
1,7789400
1,8104700
1,7871200
1,7962500
1,7869200
0,8016700
1,7821000
1,7814600
0,7841400
0,7811700
1,7847400
1,7812800
0,7830100
1,7805500
0,7861800
0,7825100
0,7858000
0,7836900
1,7890000
0,7856600
1,7938900
0,7906700
1,7966500
1,7829000
1,7859700
0,7883100
1,7896500
0,7836800
0,7892200
0,7878400
1,7861300
1,7801600
0,7887600
1,7781500
1,7935700
1,7833700
1,7865200
0,7840200
1,7887300
0,7822700
1,7864500
1,7806000
1,7845000
1,7836400
1,7912300
1,7807300
0,7893200
0,7834100
0,7853300
0,7826500
1,8526000
1,7861000
0,7860100
0,7816800
0,7854200
0,7817500
0,7851100
0,7830100
1,7816700
0,7898600
0,7827200
1,7811500
1,7800200
0,7885900
0,7828300
1,7833500
1,7812600
0,7822900
0,7820400
1,7807300
0,7836700
1,7837000
1,7824400
0,7830200
1,7822100
0,7839500
0,7858700
0,7816200
0,7897900
0,7821900
0,7885700
0,7833900
0,7941400
0,7846800
0,7984200
1,7842700
1,7933700
1,7824200
0,7828900
0,7831200
0,7856000
0,7818800
1,7833700
1,7793100
1,7822900
1,7817700
1,7878000
0,7824100
0,7875100
0,7816200
1,7825700
1,7833800
1,7841600
0,7977100
0,7952300
1,7833400
1,7791600
0,7830600
1,7813300
1,8012700
0,7846400
0,7839500
0,7832600
1,8083600
0,7817500
1,7804900
0,7814000
1,7841600
1,7811000
0,7843400
1,7826000
1,7883100
0,7847700
1,7854900
0,7869200
1,7969400
1,7844200
0,7868200
0,7840300
1,8153800
0,7845000
0,7877400
1,7895700
0,7988100
0,7843100
1,7852500
0,7860800
1,7847600
1,7836700
1,7870700
0,7857400
1,7869100
0,7874300
1,7884600
1,7822000
1,7859700
1,7873800
1,7885600
0,7824700
1,7841900
1,7883100
1,7921100
1,7824200
0,7866100
1,7836800
0,7895600
1,7850100
1,7948300
1,7809200
1,7823200
0,7871000
1,7792900
0,7863900
1,7842600
0,7842500
1,7828300
1,7874800
1,7783900
0,7833600
1,7791000
1,7852600
1,7857500
1,7816100
1,7794300
1,7878700
1,7819700
0,8305300
1,8178800
1,7900100
1,7806200
1,7974000
0,7814800
1,7862000
1,7797200
0,7827000
1,7815700
0,7899800
1,7805200
0,7860500
0,7822000
1,7822400
1,7871300
0,7864400
1,7829100
1,7805600
0,7825700
1,7818700
1,7857200
0,7822500
0,7817000
0,7827400
0,7826700
1,7852700
0,7835600
0,7845700
1,7812100
0,7836500
0,7812300
0,7873000
1,7787700
1,8269800
0,7850800
0,7847200
0,7858200
1,7848200
0,7868800
0,7843300
0,7888000
0,7765800
0,7845500
1,7846200
1,7858500
0,7857200
1,7864800
0,7858500
1,8317200
1,7834800
0,7850400
1,7802000
1,7802600
1,7820900
0,7880700
1,7799300
0,7844800
1,7834800
1,7830600
1,7800400
0,7847100
1,7810700
1,7830300
0,7875900
1,7887300
1,7847700
0,9135200
1,8996000
0,7899900
1,7857200
1,7899500
0,7812700
1,7886700
1,7811200
1,7926100
0,7817000
1,7840200
0,7856200
0,7847900
0,7811600
1,7919700
1,7907500
1,7883600
1,7818400
0,7839000
1,7831700
1,7802800
1,7808000
1,7843700
0,7813600
0,7838600
1,7797500
0,7865700
1,7838800
0,7826500
0,7816500
1,7846500
1,7813100
1,7837400
1,7813900
1,7874700
0,7844100
1,7816900
0,7814900
0,7889100
0,7814700
0,7871500
1,7844100
1,7847200
0,7821600
0,7871700
1,7813000
1,7820900
1,7802300
