class,ns
0,7843400
1,7830400
1,7820000
1,7839500
1,7841100
1,7831200
1,7811100
1,7962200
0,7829800
0,7864000
0,7881700
0,7831100
1,7866400
0,7835300
0,7815200
0,7828800
0,7822900
1,7858700
0,7825100
1,8690000
1,7834700
0,7853600
0,7824800
0,7909100
1,7824200
0,7837700
1,7839200
1,7888300
1,7836700
1,7810700
1,7814500
1,7911100
0,7842700
0,7814100
0,7815500
1,7829700
1,7816300
1,7841200
0,7870900
1,7803300
0,7844400
0,7810400
0,7852300
1,7825400
1,7885300
0,7848500
1,7854000
0,7841400
1,7839000
1,7807000
1,8398800
0,8476100
1,7874200
1,7915600
1,7891400
1,7921400
0,7856200
0,7892100
1,7816900
1,7836800
0,7833600
0,7855900
1,7821100
0,7817000
1,7843400
0,7854400
1,7800200
0,7821900
0,7828400
1,7834200
1,7884700
1,7797300
0,7895700
1,7847000
0,8041400
0,7817200
1,7890800
0,7832100
1,7815400
1,7821700
1,7882700
0,7814200
1,7848200
1,7805600
0,7875100
1,7844000
0,7958700
0,7875200
1,7877200
1,7924300
1,7794600
1,7839900
1,7841000
1,7830500
1,7888600
1,8052700
1,7830900
0,7845100
1,7815600
0,7861200
0,7828300
0,7855500
1,7804500
1,7840100
0,7828600
0,7885600
0,7815500
0,7908800
0,7823300
1,7843200
0,7820500
1,7830400
0,7815600
0,7830900
1,7809100
0,7857700
0,7827000
0,7832600
1,7824900
1,7804800
1,7821200
1,7813000
1,7844500
1,7877600
1,7831000
1,7837300
0,7830000
1,7809600
0,7818100
0,7822900
0,7840200
1,7925800
1,7802000
1,7826500
1,7842900
1,7897700
1,7844900
0,7857600
1,7818900
1,7879200
0,7847500
0,7875000
1,7835100
0,7867200
0,7828000
1,7855200
0,7830800
1,7830500
1,7829200
1,7990200
0,7821700
1,7827200
0,7826800
1,7829500
1,7843300
1,7815700
0,7971700
0,7841200
0,7849300
0,7818500
0,7829600
0,7905700
0,7842200
0,7819000
0,7886700
1,7819500
1,7842800
1,7786900
0,7855100
0,7829600
1,7852600
1,7816700
0,7896500
0,7814100
1,7813400
1,7784100
1,7826800
1,7818500
0,7861900
1,7827600
1,7876400
0,7816700
1,7837500
0,7837000
1,7806900
1,7827400
1,7833800
0,7839300
0,7819000
1,7817900
1,7825300
0,7841200
0,7840300
0,7844000
0,7840000
1,7838000
0,7825900
1,7819400
0,7827400
0,7819200
1,7857000
1,7847700
0,7852500
0,7835400
1,7932000
0,7815800
1,7854600
0,7816700
1,7825800
0,7830300
0,8263300
0,8558900
1,7828800
1,7819900
1,8090200
1,7832000
0,7837000
1,7799800
0,7854600
1,7790800
1,7992900
0,7820600
0,7859400
0,7839700
1,7832700
1,7820100
0,7846000
1,7833800
0,7832800
1,7859700
0,7848200
0,7839800
1,7877600
0,7840500
1,7826700
1,7813100
1,7960000
1,7870200
1,7825200
0,7826600
0,7831800
1,7850500
1,7813600
0,7811700
0,7831000
1,7822200
1,7860800
1,7799800
0,7948400
0,7821200
0,7829000
1,7804900
0,7881400
1,7828900
1,7850900
0,7819600
0,7845800
1,7830900
0,7829300
0,7820100
1,8241400
1,7829000
0,7845800
1,7824700
0,7915500
1,7844300
1,7843500
0,7847300
1,7808100
0,7831000
0,7828700
0,7825900
1,7830600
1,7797900
1,7884600
1,7834200
1,7844400
0,7873700
0,7826000
0,7854900
1,7821200
0,7841400
0,7816000
0,7849800
0,7815900
1,7877900
0,7813200
0,7851000
1,7801600
1,7799700
0,7840200
0,7823400
1,7817300
1,7851700
0,7859600
1,7838400
1,7823100
1,7862600
0,7843300
0,7855300
1,7823200
1,7848000
1,7814800
1,7835300
0,7817900
0,7846100
1,7843000
0,7969300
0,7834600
0,7831500
1,7825900
1,7838300
0,7819200
0,7943400
1,8541900
0,7850200
1,7830200
0,7850600
0,7815300
1,7950900
0,7839100
1,7851500
1,7823900
0,7848800
0,7825600
0,7838200
1,7837000
