class,ns
0,15400
0,15500
0,15400
0,15500
0,14300
0,15400
1,15500
0,14300
0,12100
1,14300
1,14400
1,14400
0,14400
0,14200
1,14300
0,14300
0,15400
0,15400
0,15400
0,15500
0,15400
1,15500
1,15400
0,15400
1,22100
0,15500
1,15500
1,28500
0,15500
0,15400
0,15500
0,14300
1,14300
0,14300
0,14300
0,14300
1,12900
0,14300
1,14300
1,14300
1,14300
0,14400
0,14300
0,14300
1,14400
0,14400
1,14300
1,14300
0,13600
0,14400
1,14400
0,14400
1,14400
0,14400
1,14400
0,14100
1,14300
1,14300
1,14300
1,14400
1,14300
0,14300
1,14300
1,14300
0,14300
0,14300
0,14400
0,14300
0,14400
0,14300
1,14400
1,14300
1,14400
0,14300
1,14300
1,13600
0,14300
1,14400
1,14200
1,14400
0,14400
1,14400
0,14400
0,14300
0,14100
1,14300
0,14400
1,14300
1,14400
0,14300
0,14400
0,14000
1,14400
1,14300
0,14300
1,24600
1,20600
0,23400
0,22100
1,22900
1,22500
1,21800
0,23000
1,22400
0,26600
0,21900
1,23200
0,22100
1,22600
1,22200
1,21700
0,23100
0,21700
1,21800
1,22200
0,17400
1,15400
0,15500
0,14400
1,14400
0,14400
1,14600
0,14300
1,14400
1,14400
1,14400
1,14300
1,13800
0,14400
0,15100
0,15500
1,15600
0,15400
1,15500
1,15500
0,15500
0,15400
0,15400
0,15500
1,15500
1,15500
0,15500
0,15500
0,15500
1,15400
0,15500
0,15500
0,15400
0,23500
0,15400
0,15400
1,38600
1,22900
1,22500
0,22500
0,25000
1,15500
1,16300
0,20000
0,15300
0,14400
1,14300
1,14600
0,23200
0,20300
0,20800
0,22700
1,22900
0,22500
0,18200
0,15500
1,15500
0,15600
0,15500
0,15600
1,15400
1,15400
0,15400
0,15400
1,15400
1,15500
1,15500
1,15600
0,15600
1,15600
0,15400
0,15500
0,15500
0,15500
0,15400
1,15500
1,15500
0,15400
0,15400
0,15500
0,15500
1,15400
1,15400
1,15400
0,15400
0,15400
1,15500
1,15400
1,15400
0,15400
0,15500
0,15500
1,15400
0,29600
1,15400
0,15500
0,14300
1,14400
0,14300
1,14300
0,14400
0,14300
0,14300
0,14300
0,14300
0,14300
1,14400
1,14300
0,14300
1,14400
0,14100
1,14300
1,14300
0,14400
1,14400
1,14400
0,14400
0,14400
0,14200
0,14300
0,14400
0,14400
0,15400
1,13600
1,13900
0,14300
1,14300
0,14300
0,14300
1,14300
1,14300
1,14400
1,14400
0,14300
0,14200
0,14500
1,14300
0,14300
1,14300
1,14300
0,14300
0,20700
0,15400
0,15500
0,14400
0,15500
0,15400
1,14400
1,14300
0,14400
1,14400
0,14400
0,14400
0,14300
1,14400
0,14300
0,14400
0,13600
0,14400
1,14400
0,14300
0,25800
1,15500
0,15400
1,15500
0,14300
0,14300
1,14500
0,14300
0,14400
1,14400
1,14300
1,14300
1,15500
1,14400
0,14400
0,14300
1,14400
1,14400
1,14400
1,14400
0,14400
1,14400
1,14300
0,14400
1,14200
1,14400
0,14400
0,14300
1,14400
0,14400
0,14400
1,14300
0,14300
1,14300
0,14300
0,14300
1,12900
1,14300
1,14300
1,14300
0,14400
1,14300
1,14300
1,14400
0,14300
1,14400
1,14300
1,14300
0,14300
0,14300
1,14300
1,14300
1,14300
0,14300
0,14400
0,14300
0,14300
0,14400
0,14400
1,14400
0,14300
1,14300
1,14000
0,14300
1,14300
1,14300
0,14300
1,15300
0,24400
1,15400
1,15400
1,15400
0,14300
0,14300
1,14300
0,14900
1,15400
0,14400
0,14400
1,14300
0,14400
1,14200
1,15200
0,14300
1,14400
0,14300
1,14400
0,14400
1,14400
0,14400
1,14300
0,14400
1,14200
0,14300
0,14300
1,14400
1,14300
1,14300
0,14300
0,14300
1,14400
0,14300
1,14400
1,14400
1,14300
1,14300
0,14300
0,14800
1,15100
1,15000
1,13900
1,14300
1,14400
1,14400
1,14300
0,14400
1,20200
0,15900
0,15500
0,14900
1,14200
0,14800
0,15300
0,19800
1,17300
0,15500
0,15400
0,14300
0,14300
1,14400
1,14400
0,14300
0,14400
0,14300
0,14200
1,26100
1,15500
0,15500
1,15400
1,14400
0,14400
1,14300
1,14300
1,14300
1,14300
0,14300
0,13300
0,14300
1,14400
0,14300
1,14400
1,14300
1,13500
0,14800
0,14300
0,14300
1,14400
0,13400
0,14400
0,14300
1,14400
1,14300
0,14300
1,14300
1,11300
0,14300
1,12100
0,12700
1,14400
1,14400
1,14400
1,14400
0,14400
0,14400
1,14400
1,15100
1,14300
1,14600
1,14300
0,14300
1,14300
1,14300
1,14400
1,14300
1,14300
0,14300
1,14300
0,14400
0,13300
1,14400
1,14300
0,14300
1,14300
1,14400
1,14300
0,14400
0,14300
0,14400
0,14300
0,14300
0,14400
1,14400
0,14400
0,14400
0,23300
1,15500
0,15500
0,15400
1,15400
1,15500
1,14300
1,14400
0,14400
0,14300
1,14200
0,14400
0,14400
1,14400
0,14400
0,14300
1,14300
0,14400
1,14300
1,14300
1,14300
1,14300
0,14400
0,14400
0,14400
0,14400
1,14400
0,14200
1,14400
0,14300
1,19300
0,15400
1,15400
1,14300
0,14300
1,13100
1,14300
1,14400
0,14400
0,14400
0,14400
0,14300
0,14300
1,14300
1,14300
1,14300
0,14300
0,14300
1,14300
0,14300
0,14400
0,46900
0,15400
0,15400
0,15500
1,14300
1,14300
1,14300
0,14400
0,14300
0,14300
0,14300
1,14400
0,14400
1,14300
0,26100
0,15400
0,15500
1,15500
1,14400
0,14300
1,14300
1,14300
0,14300
0,14300
0,14300
0,14300
1,14300
1,14300
0,14300
0,14400
0,14300
0,14300
1,14300
0,14300
0,14400
1,14400
1,14400
0,14400
0,14300
1,14400
0,12200
1,14300
1,14300
0,14300
0,14400
1,14300
0,14300
1,13900
0,14300
1,14400
1,14400
0,14400
0,14300
1,14400
0,14400
1,14400
1,14300
0,11700
1,13000
1,14300
1,14400
0,14400
1,14400
0,14400
0,14400
1,14400
0,22300
1,23300
1,22100
0,20300
0,15400
0,14300
1,14400
1,19800
1,22300
0,17300
0,15500
1,15600
1,14300
1,14400
1,26400
1,15500
0,15400
1,15400
0,14300
0,14300
1,14500
