class,ns
1,18200
0,12400
0,325900
0,17500
1,19900
1,69600
1,18500
0,12400
0,11500
1,17200
0,11600
0,11500
0,11400
0,11500
1,31700
0,11400
0,11400
1,17200
1,17100
0,11400
0,11400
0,11500
1,17200
0,11400
0,11400
0,15900
1,17100
0,11400
0,11500
1,17100
1,17200
0,11400
1,17200
0,11500
0,11500
0,11500
1,17200
1,14600
1,17100
0,11400
1,17100
1,17200
1,17200
1,17200
1,17100
0,11500
0,11500
1,17200
1,17100
0,11400
0,11400
0,11400
1,17300
1,17200
1,17200
1,17100
0,11400
1,17100
0,11500
0,11400
0,11400
1,17200
0,11400
0,11500
0,11500
0,11500
0,11500
1,17200
1,17200
0,11500
1,17100
0,11400
0,11500
0,11500
0,11400
0,11400
0,11500
0,11400
1,14700
1,17200
0,11500
0,11500
1,17200
0,11500
1,57500
0,17100
0,17300
0,17200
1,18600
0,11500
0,11400
1,17100
1,17100
1,17100
1,17100
1,17200
0,11500
1,17200
1,17200
1,17200
0,11500
1,17100
1,17100
1,17000
1,17200
0,11500
1,17200
0,11500
0,11400
1,17100
0,11300
1,17100
1,17100
0,11500
0,11500
1,17000
1,17100
0,11500
0,11500
0,11500
1,17200
1,17200
0,11500
1,17200
0,11500
1,17100
0,11500
1,17200
0,11500
1,17200
0,11400
1,17200
1,17200
0,11500
0,11500
0,11500
1,17100
1,17200
0,11500
1,17200
0,11300
1,17100
1,17100
0,11500
1,17300
1,17100
1,17100
0,11400
1,17100
0,22000
1,17200
0,11400
1,17200
0,11400
0,11400
1,17100
0,11400
1,17200
0,11400
0,11400
1,22700
1,17200
1,17200
1,17100
0,11400
0,11400
0,11500
0,11400
1,17200
1,17200
1,17300
0,8500
1,17200
1,17100
1,16500
1,17100
1,17100
1,17100
0,11500
1,17100
0,11500
0,11400
0,11400
1,14200
0,11400
0,11500
1,17100
0,11400
0,11400
0,11400
1,17100
1,17200
0,11400
0,11400
0,11400
1,17200
1,17100
0,11400
0,11400
0,11400
1,17200
0,11400
0,11500
1,17200
1,17200
0,11500
1,17200
0,11400
1,13200
0,11500
0,11500
0,11500
0,11500
0,11500
0,11500
1,17200
0,11500
1,17200
1,26900
1,15700
0,11500
0,12300
1,17200
1,17100
0,11400
0,11500
0,11400
1,17200
0,11500
1,17100
0,11500
1,17200
0,11400
1,17100
1,17200
1,17200
0,11500
0,11500
0,11400
1,17100
1,17100
0,11400
0,11400
1,17100
1,17200
1,17100
1,17100
1,17200
0,88600
0,17700
1,26900
1,26200
0,18000
0,13900
0,14900
1,21100
1,23700
0,18600
0,19300
1,27400
1,26700
0,18000
1,20300
1,17200
0,11600
1,17100
1,17100
0,11500
1,17100
1,17100
0,11400
0,11400
0,11400
0,11400
