class,ns
0,25408800
1,27608600
0,25334400
0,25195100
1,103739300
1,44113400
1,27568600
1,34876400
0,25867500
1,34081900
1,23447200
1,26279400
0,24943500
1,24935900
0,25019400
0,24890900
1,24889700
1,26220800
0,25006800
0,24936600
1,35243300
1,23638700
0,25003000
0,24908600
1,48401800
0,25131400
1,35896800
1,29174900
0,24954300
0,25091300
0,24976800
0,25259100
1,32750900
0,24976200
1,37412800
1,46028900
1,33913500
1,23680100
0,25090500
0,25389200
0,25468000
0,25196400
1,26877000
0,25262700
0,25477500
0,25183700
1,28763000
1,23745400
0,24874400
0,24905100
1,41471100
0,25872900
0,25534900
1,30832100
0,24996100
1,28757200
1,25289100
1,25544000
0,25298200
0,25472800
0,25028300
0,25188200
1,28077300
1,41773200
0,24945200
0,24969300
1,34044200
0,25169100
0,25078200
0,25647500
0,25147800
1,26277900
1,26522500
1,67321100
0,25643700
0,25090000
1,28004200
1,28314800
0,24965000
1,24792700
0,25682100
1,55532400
1,25154100
1,63616200
0,24988700
0,24977400
0,25130400
1,31502400
0,24967800
1,64625900
1,33172900
0,24937900
0,24990800
0,24964100
0,24995500
0,25027600
0,24902700
1,32547400
1,34457700
1,23440200
1,39400800
1,36583100
1,23852200
0,24884000
1,26319600
1,32839300
1,28101100
1,23425200
0,25744300
1,25128500
1,26790500
0,25108900
0,24965300
0,25132200
1,39745100
1,32245500
1,47566200
1,37508300
0,24935300
1,43229800
0,24927500
1,23800600
0,24999400
1,56405800
0,25266300
1,30206700
1,37252400
1,40214500
1,37412800
1,37086700
1,31757700
0,25118900
0,25092900
1,29015200
0,25077300
0,25009400
0,24912000
1,28416000
0,24920300
1,29447400
1,57031200
0,25007200
1,27420200
1,26835200
0,25147000
0,25005200
1,29588700
1,61272900
0,25173800
1,62616000
1,28440100
1,26649600
1,44353900
0,24977200
0,24986500
1,42624200
0,24923400
0,24974600
1,67166500
0,24914800
0,25010700
0,25101500
1,29418500
0,25187400
0,24922700
0,25092400
1,35470800
0,25124200
1,25085700
0,25427400
0,26048100
0,25055300
1,49529800
0,25151900
0,25060300
0,24952700
0,24914700
1,27106600
1,40846600
0,25230900
0,24916600
1,23430400
0,24918800
0,25070100
0,24945000
0,24960800
1,26431100
0,24946400
0,24924500
0,24981700
1,26314100
0,24921900
1,30962800
0,24962000
1,29364800
1,37618200
0,25145200
1,35764000
0,25588400
0,25310200
1,45236700
0,25119800
0,29784600
0,28842300
1,31770700
0,32386800
0,26158200
1,37875600
1,43285600
1,29504700
1,28993300
0,24988400
0,24939400
1,35745600
0,25202600
1,35890800
1,26797900
1,25309500
0,29468100
1,44584400
0,25019200
1,26345000
0,24912400
1,40732700
0,24995800
1,31485800
1,35138700
0,24942000
1,32860500
1,33833100
0,24999400
1,77399300
1,47312500
1,74087100
1,76205100
1,34719300
0,24926200
1,43713400
1,25076000
1,36519800
1,29330800
1,26307400
1,30646200
1,34900100
0,26070700
0,24940600
0,25236500
1,25811500
1,39174500
0,25154900
1,45105800
1,24974100
0,25978800
0,25082700
0,25060300
0,25509900
0,25051500
1,37427200
1,25230800
1,39917800
0,25071000
0,25422300
1,25198600
0,26068000
1,27187100
0,25162800
1,34508000
1,34099000
1,26432300
0,25042100
0,25073200
1,32745000
1,25742500
0,30665900
1,43839300
0,25156800
0,25097200
0,25075800
0,25139200
1,41080600
0,25076500
1,55603600
0,25076400
0,25116300
1,57918200
1,62807300
1,25381000
0,25296500
1,25928600
0,25336000
1,53664600
0,25083500
1,42606800
1,38327100
0,25133400
0,25223500
1,30446700
1,50272700
1,46438300
0,25149000
0,25937200
0,24929600
1,33624900
0,24996200
1,24911700
1,78294300
1,34729000
0,25129600
1,25174000
1,36375400
1,27265400
1,44932400
0,25514200
0,25784700
0,26651100
0,25158300
0,25067200
0,25227600
0,25645500
1,40875300
1,32880600
1,23640200
1,43071000
1,28742800
0,25342600
0,24955700
0,25072300
1,41147400
1,41103500
1,34859900
0,25053000
0,25038200
1,29048700
0,25285100
0,25088200
1,26264300
1,42981800
0,24929600
1,25606400
0,25479500
0,26683400
0,27387900
0,25158400
0,25139900
0,25087600
0,25221100
0,25123200
0,25080200
1,51443800
0,25135400
1,54338200
1,58624400
1,72675900
1,40360100
0,25133900
0,25104800
0,25087600
1,25117000
0,25273600
0,24923900
1,36715000
1,30633500
0,25052800
0,24947300
1,29217500
0,25134400
1,30599900
0,25119000
1,28157300
1,37106800
0,25080900
1,51845200
0,25122700
1,32497800
1,39502200
0,28172100
0,24912900
1,32615100
0,24955400
1,46784100
0,24902900
0,25044500
1,86918600
1,27161600
1,58423600
1,39846200
0,24956300
1,40794800
1,28165300
0,24966400
0,24939000
0,25006800
0,25073600
1,61818900
0,24945900
1,30678300
0,24940100
0,24983900
0,25201800
1,38277600
1,88396100
0,24967000
1,30983600
1,40784000
0,24936500
0,25229900
0,25097300
0,24943900
1,57927300
