class,ns
0,7972700
1,7897500
1,7872700
1,7872500
1,7851700
0,8017300
0,7883900
1,7867400
1,7861500
1,7895900
0,7901000
0,7882300
1,7889100
1,8058500
0,7960900
0,7863200
1,7865000
1,7889000
0,7895300
0,7873800
0,7858700
0,7918300
0,7855700
0,7853100
1,7863700
0,7899800
1,7865500
1,7961900
0,7887800
0,7986700
1,8058300
0,7985400
1,7927700
1,7892200
0,7931900
0,7877200
1,7857300
0,7881900
0,7862400
1,7897600
0,7954700
0,7950100
1,7883700
0,10829000
0,9625600
0,8085500
0,7972000
1,8026600
1,8059500
0,8132400
0,7950100
1,8097000
0,8056700
1,7913500
0,7915100
0,8050000
0,7959100
1,7908800
0,7890800
0,7898100
0,7868500
1,7903300
0,7921100
1,7908800
1,7909300
0,7919900
1,7889000
0,7893000
1,7866100
0,7901700
1,7894500
1,7934300
0,7888900
1,7896000
0,7891000
0,7885600
1,7842700
1,7905400
1,7869500
0,7978700
1,7872700
1,7930200
0,7862700
0,7896500
1,7858900
0,7901100
1,7883200
1,7871400
0,7857100
1,7926200
1,7859400
0,8043400
0,7873900
1,8068700
0,8314000
0,8178900
1,8325500
0,8548400
1,8246200
0,7933500
1,8023600
0,8028900
0,7930200
1,7907100
0,8123600
0,7866300
0,7882200
0,7859500
0,7912200
1,7854600
1,7917800
0,7880900
1,7906000
0,7848800
0,8062100
0,7888300
1,8806200
0,11235400
1,8353600
1,7885600
0,7867800
1,7850800
0,7893800
1,7860100
1,7899700
1,7851400
0,8588500
0,7874200
0,7871400
0,7865400
1,7913400
0,7902300
1,8037600
1,7892300
0,7901500
1,7884700
0,7847100
0,7910500
1,7901200
1,7895100
0,7861100
0,7938400
0,7866500
1,7900400
1,7956000
1,7926600
1,7879700
0,7926500
0,7877300
1,7901700
0,7852500
0,7888600
1,7844700
0,7931500
1,7847600
1,7984500
1,7925300
1,7873100
1,7849700
1,7956900
0,7887800
0,7887900
1,7861900
1,7897600
1,7890100
1,7897900
1,7870200
0,7910600
1,8003400
1,8102000
0,7966000
0,7964800
1,7869600
1,7899400
1,7848600
1,7897600
1,7849700
0,7890500
1,7879500
1,8079800
1,7864900
0,8222500
0,7860800
0,7949600
1,7880500
1,7888400
1,7856500
1,7928500
0,7882500
0,7875100
0,7897200
1,7852400
1,7846500
1,7890600
1,7893700
0,8212400
1,7864400
1,7877300
0,7910200
1,7870500
0,7881800
1,7859500
1,7928700
1,7860500
0,7894500
0,7767500
0,7867900
1,7856400
1,7901600
1,7904800
1,7896000
0,7864200
1,7880200
1,7886800
0,7872100
0,7879100
0,7889600
1,7885900
0,7989600
0,10569900
1,8179300
0,7865200
0,7957300
1,7869500
1,7945900
1,7844300
0,7907600
1,7859700
0,7945200
1,7871200
0,7890600
1,7855800
0,7925300
0,7869800
1,7908000
0,7871100
0,7932800
1,7878100
0,7872600
0,7889700
0,7913200
1,7856600
1,7941700
1,7899500
0,7894800
1,7913100
0,7932500
1,7909600
1,7929700
1,7864600
1,7916000
0,7863700
0,7911900
0,8051600
1,8003800
1,7936000
1,7975500
0,8580900
1,8512600
0,8215100
0,8525700
1,8496200
1,8608300
0,8074800
0,7963100
0,7942100
0,7874200
0,7898800
0,7886500
0,7957600
0,7889200
0,7931700
0,7890400
1,7965700
0,7865300
0,7900800
1,7898600
1,8364800
0,7920900
1,8053800
0,7870400
1,7939600
0,7871000
1,7885200
0,7891100
0,7958000
1,7873400
1,7882600
0,7896600
1,8442900
0,7962000
1,7989000
0,8356900
0,8300600
1,8053100
0,7985900
0,7924700
1,7947900
0,7863500
0,8117700
0,7885100
1,8006100
0,7881100
1,8271000
0,8082000
1,8022300
1,8103700
1,9366700
1,7895600
0,7870100
1,7918300
1,7858600
0,7853800
0,7878100
0,7886700
0,7864700
1,7921000
1,7870000
1,7950600
0,7860300
1,7960800
1,7883900
0,7904900
1,7863000
1,7883800
0,7852300
0,7915600
1,7997200
0,7879300
0,7884500
0,7996000
0,7873200
1,8307600
0,7908100
0,7879600
1,7852300
1,8019200
1,7884300
0,7903300
1,7854300
1,7903800
1,7906800
0,8004600
0,7866300
1,7977500
1,7841200
1,7910600
1,7857000
0,7915200
1,7869900
1,7893700
0,7862200
0,7924400
1,7865500
1,7864400
1,7852600
1,7895600
1,7862300
1,7942600
1,7864600
0,7923900
0,7889700
0,7895800
1,7847300
0,7918500
1,7843600
1,7903900
1,7905200
1,7891300
1,7867800
1,8043000
1,7893900
1,7858900
1,7849500
1,7894100
1,7905900
1,8236400
1,8193000
0,8253000
1,8223100
1,7918400
1,7887100
1,7908600
1,7889100
1,7864700
1,7882800
0,7900500
1,7927000
0,7879300
1,8008200
1,7891400
0,7889000
0,7868800
1,7969200
1,7910300
0,7915600
1,7857800
0,8339200
0,10332200
0,8629500
1,7912100
1,7973500
0,8098000
0,8474300
1,7867100
0,7937600
0,7863200
1,7872000
1,7919900
0,7874100
1,7865900
0,7877800
0,7904900
1,7867800
0,7871800
0,7888400
1,7934100
0,7948500
1,7846700
0,8116800
0,8112400
1,7966300
1,7900600
1,7951800
