class,ns
1,7997800
0,7875900
0,7923500
0,8223000
0,7925200
1,7902900
0,7965300
0,7894400
0,7916200
0,7906100
0,7925600
1,7885400
1,7917700
1,7876300
1,7920800
1,7901400
1,8008700
1,7778900
0,7996600
0,7890700
1,7899600
1,7893000
0,7896600
0,7903600
1,7934600
0,7935300
0,8053300
1,7893600
0,8031400
0,7868800
1,7937400
1,7932600
0,7994700
0,7934300
1,10005900
0,7971900
1,7951100
1,8309200
0,10831800
0,8772500
0,7898900
0,7961000
1,7916400
1,8142400
1,8268200
1,7917100
0,7919300
0,8022700
1,7933500
1,8036100
0,7947800
0,7948300
0,7922100
1,7948800
0,7917100
0,8030000
0,7954900
0,7993400
0,7893800
0,8014200
0,8293000
0,8264200
0,7975200
0,8137700
1,7926800
0,7993300
1,8022700
0,8113200
1,8055500
1,7916800
0,8080200
0,7977200
0,7968700
0,7928200
0,7939000
0,7908900
0,7955400
0,7869700
1,7984800
1,7928100
0,7976900
0,7878300
1,8008200
0,7969700
1,8097900
0,7882200
0,8002300
0,8048300
1,7992200
0,7873300
1,8015300
1,8111400
1,7983400
0,7991100
0,8313900
0,7968900
1,8214100
0,8025500
1,8013600
0,7954500
0,7930600
1,8022400
1,8168100
0,7919000
0,7982700
0,7875100
0,7937300
1,7935000
0,7903900
0,7905200
1,7923700
1,7947900
1,7897300
1,8003500
1,7938300
1,7922000
1,7913700
0,8254400
1,7980400
0,7930100
0,7899900
1,7999300
1,7874400
1,7924100
1,7883600
0,7933200
0,7885900
0,7940700
1,7880700
1,8066700
1,7905700
0,8059900
0,7889000
1,7909900
1,7872900
1,7903300
1,7970800
1,7876000
1,7883600
0,8546800
0,7923000
1,7906800
0,7897900
0,7912100
1,7909400
1,7845900
0,7889600
1,8789500
0,7948600
0,7874000
1,8037300
1,8010300
1,7972300
0,7897600
1,7935400
0,7996700
1,8105700
1,7864300
1,7977400
1,7912700
0,7914000
0,7865200
0,7939600
1,7903300
0,7939600
1,7916300
1,7953300
0,7972200
1,8081300
0,7897900
0,7958400
0,7926000
0,7956900
1,7890300
0,8000500
1,7928700
0,7980200
0,7883800
1,7947500
1,7939200
1,7934600
1,7852600
0,8152300
0,7892400
0,7929800
0,7859200
0,7912200
0,7894700
0,7905800
1,7928700
1,7899700
0,7886300
1,8305600
0,7885300
0,8094800
1,7901200
0,7969100
1,7913300
1,7942000
1,7904700
1,7978300
1,7866700
1,7926900
0,7895000
1,7982700
1,7837600
0,7960500
1,7927000
0,8035400
1,7883700
1,8032500
1,7938400
1,7959000
0,7849500
0,7889000
1,7881100
0,7907600
0,7847800
0,7887200
0,7902000
1,7922000
0,7836800
0,7893400
0,7908300
0,7893500
1,7850200
0,7903500
0,8016400
0,7934400
0,7849500
1,8032500
1,7952400
0,7970600
1,7876300
1,7869500
0,7898300
0,7885200
1,7936900
0,7921900
0,7915300
0,7899100
1,8985300
0,7916800
1,7989400
0,8010200
1,7903100
0,7904800
0,7933800
1,7880100
0,7927800
1,7960700
1,8066600
0,7903200
1,7986000
0,7878300
0,7901300
0,7879900
1,7914700
0,7859100
1,7899800
0,7891400
0,7888700
0,7887700
1,7924400
0,8022300
1,8081800
0,8421900
1,8099400
1,8003400
1,7961900
1,7927400
0,8030200
0,7971700
1,7946300
0,8028400
0,7928400
1,8580600
0,8176600
0,7956600
1,8011500
0,8004800
1,7878600
0,7947500
0,8043100
1,8716200
0,7955900
0,7949000
1,7908200
0,8312800
1,7872600
0,7966900
1,7972400
0,8273200
0,7856400
0,7973800
0,7909600
1,7927000
0,7884900
0,8016500
0,7898400
1,7912000
1,7861700
0,7987100
0,7891800
1,8058900
0,7860700
0,7998500
1,7903900
1,7901300
1,7860700
0,7918900
0,7894200
0,7931300
1,7897500
0,8544400
0,8175900
1,7934700
0,7915900
0,7926000
1,7910800
1,7905300
0,7892700
1,8003300
0,7900200
1,7916600
1,7859300
1,7898500
0,7872600
0,7917300
0,7860400
1,7909400
0,7888200
0,8024500
0,7853400
0,7960600
0,7903200
0,8087800
1,7863900
1,7920800
1,7887900
0,7956600
1,7990700
1,7885900
0,7913200
1,8036400
1,7889500
1,7905600
1,7932800
0,7876100
1,7897900
0,7880600
0,7915100
1,7904500
0,7869200
1,7992300
1,7922400
0,7939200
0,7851200
0,7918400
0,7914200
1,7911100
