class,ns
0,7974500
1,8070700
0,8786900
1,8134400
1,8047500
1,7935700
0,7890500
0,7768800
0,8324800
1,7798500
1,8106100
1,7737300
0,8058200
0,8123300
0,8166600
1,9163100
1,8632100
0,8614100
0,8475200
0,8827700
1,9811200
0,7916000
0,7797700
1,8499800
0,9657200
1,12191000
0,8927500
0,7978000
1,8076800
0,8141000
1,8335100
1,8494200
1,8168200
1,8010800
1,8178800
0,8303800
1,8083000
0,8005300
0,8232500
0,8035100
1,8254000
1,7938700
0,8132000
1,8078300
1,8058700
0,7885700
1,9149700
0,8387300
0,8545800
0,8305200
0,8224700
0,8514400
1,8068300
1,8121500
1,8119000
0,8026800
0,8071800
0,8208600
0,8072700
1,8064100
0,8069700
1,8136200
0,7950500
1,8000700
0,7932700
1,8011800
0,11519800
1,9887400
0,8731600
0,7811500
1,8423000
0,8303500
1,11864400
1,8035400
0,8221900
1,8462000
1,11337900
0,10041400
0,8340400
1,8473000
0,8935100
1,8129000
1,8125800
0,8097100
0,8328700
0,8856400
1,9299000
1,8291500
1,9988500
1,9461800
1,11089400
1,7992700
0,8084200
1,8026900
1,8104100
0,8015300
1,8121700
0,7944200
1,8382000
0,8181000
1,8542900
0,8255600
0,8100900
0,8076300
0,8341300
1,7987500
0,8287600
0,10788500
0,10526600
0,9818800
0,8861800
0,8520500
1,8643100
1,8791700
0,8137600
1,8026300
1,8001800
1,7940600
0,8015700
0,8256800
1,8027100
1,8040400
0,8172500
0,8142000
0,7946000
1,7930200
1,8553600
0,7905800
1,7976700
0,7931800
1,8696600
1,8047900
1,8349000
0,7985000
1,8481300
0,8480900
0,9415500
1,9294400
0,10013300
1,8083500
0,7770300
0,7838200
1,7820000
1,8902800
1,9201200
0,8082500
1,8065800
0,10137600
1,8592800
0,8512500
0,7959100
0,7958600
0,8011300
0,7916000
0,8023400
0,7968500
1,8122300
0,7964300
1,8149700
0,7870200
1,7852700
0,7849600
1,8467700
0,8680600
1,9256700
0,9002000
1,8358600
1,8159600
0,8031500
1,8041400
0,9624900
0,8937900
1,7973300
0,8539500
0,7977200
1,8135000
0,10741400
0,8106300
1,8066300
0,7963600
0,8380500
1,8273500
1,8093400
1,7931300
0,7992400
1,9768900
0,8342400
0,7892000
0,7830500
1,8344600
0,8691200
0,9680400
0,10014500
0,8360900
0,7948600
0,8234300
1,7969500
0,8151500
0,7979400
1,7945100
0,8309600
0,8105100
0,8063800
1,8239400
0,8768300
1,8036400
1,8264200
1,8615500
1,10032600
0,8450300
1,8539100
1,8677700
1,9885300
1,8514600
1,8140100
1,8092700
1,7916200
0,7967400
1,8208300
0,8481700
1,7957000
1,8466400
1,7980600
1,7979900
0,8003100
1,8122000
1,8001100
0,8162500
1,8055300
1,7907000
1,7963100
1,8148300
1,8071500
1,8200400
0,7983000
0,7903800
0,7964500
