class,ns
1,7941800
0,7876900
0,7896500
1,7911900
0,7900900
1,7895200
1,7900800
1,7863000
0,7877100
1,7872900
0,7879100
0,7888300
0,7935100
0,7865900
0,8016400
0,7869400
0,7923700
1,7866200
1,7882000
0,7867000
0,7877600
1,7882400
1,7975300
0,7891300
1,8029300
1,7915600
0,7858600
1,7921800
0,7911100
0,7880700
1,7849600
1,8085600
1,7882300
1,7944200
0,7847000
1,7918600
0,7857800
1,7900200
0,7911700
0,7874600
0,7857800
1,7904100
0,7900200
1,8197000
1,7874600
0,7902200
0,7871500
1,7877100
0,7867200
1,7878900
1,7893100
0,8376300
0,7861000
0,7875700
1,7914500
0,7891400
0,7935300
0,7901900
1,7895600
0,7888000
1,7883400
1,7925100
1,7885500
1,7904300
1,7873900
1,8135800
1,8542600
0,7953600
0,7961200
1,8087700
0,8108100
1,8044800
0,7964600
0,7971600
1,8159100
1,9338900
0,10189300
1,8047500
0,8358100
0,10010300
1,9463100
1,10717400
0,11339300
0,9353700
0,9993100
1,8991600
0,8241800
1,8178600
0,9297400
0,8569800
1,9667300
0,8695400
0,7962600
1,7935300
0,7978100
1,7914000
1,7957800
1,7916000
1,7937600
1,7933400
1,7917100
1,8072500
0,7923800
0,7947900
0,8048800
1,7932800
0,7905600
1,7961200
1,7939200
0,7887800
1,7941000
0,7942000
0,7954500
1,7950900
0,7922400
1,8181600
0,7901700
1,7983100
0,7906900
1,7952400
1,8625600
1,7967300
1,8023500
0,7955000
1,7895400
0,7953800
0,7924000
0,8018200
0,7894100
1,7974200
1,7901800
0,7966200
1,7878300
1,8009100
1,7899000
1,8126400
0,8058800
0,8098800
0,8107500
1,8042200
0,8045300
0,8070300
0,8020100
1,8179600
0,7978400
0,8158800
1,8236200
1,8023800
1,8214600
0,8083300
1,8417200
1,8286400
0,8101700
0,7901400
0,7877800
1,7886100
1,8079800
1,7862200
0,7881000
1,7867100
1,7934500
1,7871700
1,7904800
0,7891100
1,7984600
1,7888400
0,8858000
0,8571900
0,9963000
1,8321000
1,7925800
1,7931300
1,7923300
1,7951000
1,7933800
0,7936100
0,7917000
1,7938400
0,7982100
1,7940200
0,7896000
1,7964700
1,7967900
0,8071400
1,7907100
1,7924500
0,7934400
0,7995300
1,8482500
1,8354500
0,7866300
0,7980000
0,7865200
0,7928300
0,7864500
1,7902200
1,7863700
0,7937100
1,7863400
0,7964000
1,7884500
1,7871400
0,7866200
1,7907400
0,7895800
1,7888800
1,7859200
1,7882700
0,7880000
1,7940700
1,7877800
1,7910900
0,7870300
1,7907800
0,7862700
1,7892400
1,7943200
1,7886300
0,7869300
1,7907700
1,7902300
0,8049400
0,7855800
0,8077200
1,7857300
1,7906000
1,7880900
0,7931200
1,7940200
0,7888400
0,7868700
1,7897100
1,7858700
1,7872100
0,7859100
1,7882500
1,7886600
1,7954200
0,7910800
0,7957900
1,7894400
0,8136200
1,7930500
1,7913800
0,7868000
1,7940400
0,7889700
0,8027700
1,7977600
1,8037900
1,7928500
1,7884700
1,7919900
0,7865400
0,7920500
1,7862000
1,7920000
1,7900100
0,7892200
1,7969700
1,7952300
1,7931100
0,7875400
1,7891900
0,8047800
1,7932500
0,7966800
1,7880100
0,7927100
1,7936900
0,8058000
1,7882900
1,8023600
0,8196600
0,7987500
1,7949800
0,7968800
0,7916000
0,8638900
0,8054900
1,7983700
0,7930400
0,7950000
0,7912700
0,7962800
1,7924800
0,7969600
0,7922600
0,7967800
1,7927500
0,7946200
1,7979900
1,8032300
0,7951800
0,7943100
1,8006600
0,7945800
0,8071700
0,7910000
0,7991700
1,7915500
1,8013600
1,7921300
0,7886900
0,7873400
1,7891800
0,7862700
0,7901300
1,7869200
1,7894200
0,7890200
0,7874000
0,7857800
0,7889500
0,7939600
1,7889200
1,7862800
0,7895500
1,7917000
0,7878400
1,7869800
1,7928900
0,7940400
0,7948300
0,7903400
0,7991500
1,7883300
1,7965800
0,7881100
1,8012600
0,7918000
1,8091100
1,7859800
0,7889400
0,7864700
1,7897800
1,7953900
1,7969200
0,8054500
0,8303500
0,7927900
0,7910200
1,7924100
0,7916600
1,7924300
0,7907900
0,7870700
0,7879100
1,7885500
1,7892800
0,7863800
1,7878400
0,7888100
0,7876800
1,7881700
0,7907200
0,7885500
0,8234600
1,7908400
1,8891100
0,7866300
1,7899700
0,7870100
0,7961300
1,7863000
0,7868500
1,7863900
0,7928300
1,7868300
0,7918100
1,7894900
1,7928200
1,7876300
0,7951800
1,7922300
1,7872500
1,7870700
1,7894100
1,7879000
1,7892200
0,7862200
0,7885900
1,7907600
1,7888900
0,7854700
0,7893700
0,7905500
0,7878400
0,7856200
1,7893700
1,7892000
1,7872600
0,7852700
0,7876000
0,7896500
1,7912100
1,7855200
0,8013100
1,7882200
0,8082300
1,7881100
0,7962100
0,7911700
1,7904900
1,7926500
0,7915500
1,7879500
0,7873600
1,7935300
1,7934600
1,7927000
1,7933200
0,8209800
0,8050900
1,7907400
1,7936300
0,7934500
0,7902600
0,8584800
1,7885900
0,7900300
0,7868700
0,7939100
0,7866200
0,8752300
0,8708500
0,7895800
1,7877800
0,7997200
0,7860700
0,7947500
0,7899600
1,7911500
1,7873600
1,7916000
1,7894100
0,7906500
1,7858800
1,7917800
1,7905400
1,7975200
1,7961600
0,7933800
0,7850100
1,7984100
0,7896100
1,10243500
0,9269300
1,7902000
0,7973500
0,7876900
0,7941000
0,7877500
0,8007200
0,7891400
0,8067200
0,7916700
0,8111200
1,8089600
1,8092600
1,8095800
0,8025800
1,8103300
0,8100500
1,8175000
1,8030200
0,7897600
0,7928700
0,7898300
0,7959700
0,7941900
1,7985400
0,7939200
0,7959700
1,7910000
1,7943900
0,7913200
0,7955800
1,7918100
1,8615100
0,7904900
0,7968300
0,7891100
0,7966400
0,7907000
1,7960900
1,7912700
0,8113100
0,7904100
1,7998500
1,7990500
1,8003400
1,7903900
1,8017500
0,8149300
1,7969900
0,8047900
0,7909700
0,7987100
0,7907400
1,7992600
1,7867800
0,8066500
1,7880100
0,7902400
1,7866100
1,7947000
1,7877200
0,7886400
0,7860700
0,7936500
1,7877800
0,7882700
1,7894500
0,7930300
1,7902200
1,7984100
1,8005700
1,7943200
0,7952300
1,7896200
1,7905700
1,7912800
1,7913100
1,7919700
1,7904800
0,8037000
0,7921700
0,7906400
1,7952800
0,7999500
0,7867100
0,7974400
1,7886700
0,7883000
1,7860500
0,7897600
1,7860500
1,7892900
0,7860500
0,7912700
0,7863600
1,7901300
1,7860100
1,8079500
1,7902900
0,7875900
1,7974400
1,7890200
1,7862100
0,7889100
0,7889900
0,7880800
1,7856000
0,7880300
0,7934900
0,8028400
1,7878100
1,7921300
0,7870500
0,7907500
1,7869900
1,8038700
0,7891300
0,7899200
0,7958600
0,7966000
0,7919200
1,7909400
1,7882800
0,7892000
1,7861500
1,8022900
0,7913700
0,7930800
1,7873500
1,7916900
0,7882200
1,7890000
1,7856700
0,7889400
0,7856500
1,7927300
0,7911900
1,7873700
1,7868300
1,7900100
0,7919200
0,7887400
1,8004700
0,7873100
1,7940800
1,7897200
0,7963400
1,8079600
0,8109600
0,7950900
0,8063600
0,7867800
0,7897600
1,7866700
0,7960600
1,7853600
1,7885800
0,7898200
1,7968000
0,7955200
1,7916800
1,7861600
0,7880500
0,7861400
1,7909000
0,7900100
1,8735200
0,7906300
1,7897400
0,7918900
1,8067100
0,7905300
1,7905500
0,7869100
0,7914900
1,7886800
0,7923300
0,7904400
1,7892700
1,7884600
1,7907800
0,7868200
1,7887900
0,7871800
1,9054400
1,7954500
1,7878100
0,7888600
1,7916200
1,7999100
0,8044500
0,7896200
1,7863600
1,7878000
0,7857900
0,7906500
1,7855900
1,7888600
1,7847200
1,7928400
1,7871100
1,7881500
0,7859300
1,7954900
0,7926000
0,7946400
1,7980000
1,7933600
0,7964900
1,8158800
1,7892100
0,8037100
0,7918300
0,8704800
1,7928600
0,8956600
1,8571000
0,8062300
1,7976000
0,7951900
0,8005100
1,8002000
1,8121500
1,8265500
1,8268100
0,7986100
1,7991700
1,7891200
1,7971000
0,7955700
0,7942700
1,7889000
0,7995700
0,7875200
0,8884600
1,7912100
1,8042900
1,8049900
0,7899700
1,7896100
1,7920500
0,7884300
1,7886000
1,8502900
0,7975200
0,7842300
1,7887900
0,7906800
0,7873200
1,7975900
0,7873700
0,8720500
0,8746700
1,7980300
1,7937900
0,8000100
0,7949600
1,7956800
0,7938000
1,7954800
1,7889900
0,8774900
0,8351300
0,8765200
1,8560400
0,8496800
1,8545300
1,8234300
1,8518400
0,8077000
0,8013700
1,7945900
1,8287100
1,7947800
0,8413400
0,8271000
1,8313200
1,8048000
1,8168300
0,8145900
0,8189300
1,8588800
1,8557700
0,8103800
0,7920600
0,7945400
0,7902000
1,7964300
1,7994000
1,7959500
0,7901500
0,8171900
0,8203600
1,8395200
1,8185900
0,7973100
1,7916100
1,8017400
0,7888700
0,8023700
1,7895000
0,8035900
0,7901800
1,8191500
1,7936200
0,8243700
1,7903500
1,8033300
0,7879800
0,8649300
0,7844400
1,8308300
0,8077400
1,8370600
1,8010100
0,7973500
1,7866600
0,7929000
0,7858500
1,7895400
1,7880000
0,7938600
0,7942100
0,7988900
0,7884100
1,7927900
0,7863600
1,7885300
0,7968200
0,7888000
1,7932800
0,7858300
1,7959200
1,8485800
1,7935000
1,7882100
0,7891600
0,8009300
1,7907300
0,7857000
1,7913400
1,7876100
0,8026500
1,7875700
1,7892100
0,7861600
1,7879300
0,7861100
0,7932500
0,7854200
1,8254500
0,7803600
0,7856500
0,7854500
0,8016400
1,7880100
1,7921000
1,7870900
0,7899900
1,7890600
1,7887200
1,7862600
1,7963000
0,7875300
1,7903900
1,7860000
1,8020900
1,8674100
1,8188100
0,7998100
1,8131200
0,7959800
1,7930700
1,7969800
0,7918600
0,7984000
0,8004300
0,7988300
0,7951900
1,7996500
0,7884600
0,7970700
1,7896600
1,7955900
0,7880400
1,8153500
1,7889200
0,7961500
0,7860000
1,7918000
1,7871700
0,7944100
0,7887000
0,7990000
0,7870200
0,7950700
1,7911100
1,7979800
1,7911100
1,8005700
0,7941300
1,7971400
0,7900200
0,7960400
0,7944400
0,7933400
0,7875900
1,7982000
1,7961900
1,7967900
1,7878400
0,8021600
1,8054800
0,8103000
1,7886200
1,8109300
0,7920100
1,7859200
1,7919400
1,7906900
0,7911100
0,7869500
0,7880600
0,7931100
1,7903000
0,7991900
1,7932800
1,7920100
1,7898800
1,7869800
1,7876400
1,7978900
1,7884300
0,7859000
0,7896800
0,7865700
1,7902200
1,7952700
0,7919300
1,7957700
1,7978800
0,7909900
0,7939500
0,7902500
1,7927900
0,7863700
0,8107600
0,7865600
0,7908700
1,7874000
0,7904500
1,7872100
1,7894800
1,7886700
1,8060900
1,7914300
1,7956900
0,7910400
1,7890100
0,7909300
1,7890400
0,7895300
1,7936700
0,7864900
0,7895600
0,7889600
0,7880400
1,7877500
0,7891400
1,7887800
0,7931900
1,7853600
0,7929500
1,7864000
1,7901000
1,7890300
1,7913300
1,7882100
0,7875100
1,7913600
1,7903300
1,7930800
1,7861000
0,7880500
1,7902400
1,7885900
0,7856000
0,8039500
0,7889300
1,7928900
1,7888500
0,7895900
1,7902100
1,7990000
1,7877100
0,7956400
0,7863200
0,7960100
1,7859100
0,7923600
1,7878100
1,7964400
0,7865200
0,7914400
1,7863500
1,7887800
0,7866500
0,7882300
0,7858300
0,7881500
0,7894900
0,7900600
0,7857700
1,7902200
1,7911400
0,7884600
1,7894200
1,7895800
0,7869300
1,7876300
0,7861500
1,7880200
1,7895800
1,7893100
1,7855500
0,7934500
0,7900200
1,7905700
1,7878900
0,7958200
1,7871600
0,7881000
1,7866600
1,7898800
0,7928600
0,7885700
0,7867400
0,8075000
1,7877900
0,7869900
1,7852600
1,7936200
1,7859700
1,7888600
1,7862300
1,7886900
0,7856500
1,7927300
0,7899800
1,7889900
1,7861500
0,7959500
1,7886300
1,7876900
1,7860900
0,7884700
1,7889700
0,7916300
0,7887900
0,7950500
0,7891100
1,7884400
0,8006500
0,8033800
0,7867200
0,8174500
1,8007000
1,7969200
1,7938100
1,7906800
1,7935900
0,7936400
0,7921600
0,7901700
0,8101900
1,7939700
0,7959100
0,7910400
0,7938700
1,7937800
0,8019300
1,7959600
1,8033100
0,7915400
1,7970100
0,7995400
1,7989400
0,7904800
0,7946300
0,7910000
1,7965500
1,7906300
1,7939800
1,7954500
1,8074300
0,7923900
0,7954600
0,8145400
0,7954700
1,7907200
1,7964300
1,7945200
1,7920900
1,7863300
0,7958100
0,7925600
0,7950600
0,7911000
0,7933200
1,7932400
0,7944700
0,7875000
1,7951400
0,8032200
1,7887800
0,7879800
0,7892000
0,7908800
0,7870700
1,7880000
1,7897500
1,8013300
0,7869800
1,7906500
0,7901100
1,7916000
0,7897800
0,7902800
0,7898200
0,7881600
1,7859100
1,7884200
1,7899900
0,7878100
0,7886500
1,7967500
0,7876500
1,8029600
0,7867200
0,7986700
0,7860300
1,8028700
0,7860900
0,7929500
0,7874200
0,7877200
0,7862400
0,7903500
1,7867500
1,7884300
0,7861900
0,8013000
0,7929400
1,7908000
1,7884000
0,8530600
0,7910400
0,7905800
1,7904400
0,7900900
0,7927500
0,8341000
0,7894200
1,7922700
1,7905900
0,7919300
1,7920100
1,7917800
1,7882100
1,7992400
1,7919100
1,7952200
0,7874400
1,8766000
1,8309500
0,8299800
0,8430500
1,8589800
1,8304000
0,8238000
1,8327500
0,8601400
0,7985800
1,7929000
1,8068300
0,7864200
1,7907100
1,7860600
1,7953000
1,7862100
1,7916200
0,7928900
0,7965900
0,7861500
1,7918600
0,7876400
1,7875500
0,7856900
0,7876400
0,7890000
0,7877100
1,7857400
0,7914600
1,7935800
1,7953500
1,7897500
1,8016800
1,7872500
1,7909200
0,7852800
0,8058400
0,8846800
1,7909300
1,7899100
0,7908300
1,8123700
0,7897600
1,7906900
0,7904900
0,7896000
0,7859700
1,7898200
1,7883700
0,7891400
1,7854900
0,7907400
0,7859500
0,7880300
1,7863500
0,7936000
0,7892500
0,8989100
0,7873400
0,7925700
0,7853700
0,7876600
1,7868300
0,7935100
1,7865800
1,7885900
0,7854300
0,7903700
1,7843000
0,7886700
0,7873700
1,7952900
0,7873100
0,7918500
0,7892500
0,7836200
1,7742900
0,7832600
0,7908900
0,7875300
1,7874600
0,7881100
1,7893200
0,7895300
0,7850500
1,7907000
0,7870600
0,7871600
1,7879500
0,7926400
1,7865700
0,7907700
0,7923300
1,7900300
1,7858300
1,7924400
1,7867500
1,8102700
1,7864400
0,7883600
0,7863800
1,7885600
1,7858100
1,8210300
1,8218100
1,7915600
0,8093000
1,7945800
1,7918300
0,8303400
1,7887200
1,7911700
0,8767600
0,7880700
0,7941300
1,7887300
0,7978800
0,7891300
0,7970200
0,7906400
0,7931600
0,7877400
1,7954100
0,7909200
1,7963100
1,7906000
0,7975900
1,7946900
1,8103000
1,7919600
1,7959100
0,7996900
1,7957000
0,7881800
1,8124800
1,7953300
0,7932000
0,7900300
0,7977500
0,7949900
0,8050300
1,8023300
0,7973900
1,8028200
0,7963400
0,7918000
1,7971200
0,7926000
1,7951800
0,7906600
1,7991700
0,7955700
0,7936800
0,7980900
0,7985900
1,7931300
1,7947600
0,7957600
0,8071300
1,8150200
0,7999000
0,7966200
0,7966000
0,7994900
1,7947500
1,7953100
1,7981900
1,7952500
0,7940200
0,7936200
1,7899200
0,7954400
1,7952600
1,8008800
1,7913200
1,7958400
1,7965300
0,7928700
1,7903700
0,7927600
0,7945900
1,7947800
0,7895800
1,7924700
0,7966400
0,7930200
0,8104800
1,7974300
0,7915400
1,7965400
0,7896200
0,7987600
1,7882200
1,7979700
1,7887900
1,7973500
1,7892000
1,7993400
0,7890100
1,8283200
0,7919000
0,8027700
1,7952000
1,9115300
1,8713000
1,7923100
1,7963800
1,7892100
1,8182800
0,7904800
1,7940400
0,7897400
1,7941700
1,7979100
0,8036400
0,8228100
0,9945700
0,9617400
0,10137400
1,8351800
0,8351100
1,8550700
0,9335000
1,9364000
0,8804700
1,8869100
0,9007300
0,9926400
0,9425500
1,9341500
1,9945400
0,9758100
0,8426500
1,8513000
0,9220200
0,9809600
0,9360800
0,9595600
1,8537200
0,9537600
1,8275700
0,10476400
1,8115300
0,8081300
1,8123600
1,8103700
0,8052400
1,8112200
0,8138700
1,8083900
1,8063400
0,8183100
1,8365200
1,8199100
0,8942300
0,8951300
1,8804600
1,7883900
0,7925800
1,7862800
1,7943300
1,7925800
1,7903200
0,7881500
0,7917200
1,7893900
1,7907100
0,8112200
0,8006800
1,7902400
1,7893500
0,7852300
1,7888000
0,7890100
0,7883300
1,7856300
0,7884900
0,7867300
1,7902600
1,7851600
1,7914500
1,7921500
0,7885400
0,7883600
1,8730900
1,7905700
1,7854200
0,7847000
0,8063800
0,7865300
1,7914800
0,7893800
1,7901200
1,7900000
1,7872200
1,7932200
1,7894100
1,7886500
0,7871300
0,7899100
1,7861400
0,7884100
1,7874300
0,7887900
0,7861700
0,7910600
1,7894200
0,8182700
0,7909700
0,8165300
0,8117000
0,8124800
0,8070300
0,8179700
1,8101900
1,8144000
1,8127300
0,8155500
0,8152200
1,8004700
1,8043900
1,8185200
0,8225800
0,8016800
1,8080100
1,7999100
0,8075700
1,8083800
1,8509500
0,8151000
0,8429600
1,8260900
0,8462800
0,8394400
0,8085100
0,7904700
0,7974700
1,7933000
1,7952700
0,7911700
1,8450400
1,7937200
1,8237300
0,8033800
1,8090600
0,8076700
0,8079300
0,8370400
1,8068500
1,8188800
0,7958000
1,8019800
1,8159400
0,7997200
0,7907400
0,7977100
0,7902000
1,8012000
0,7974900
1,7986900
1,7929000
0,7956100
0,7970100
1,7952600
0,7911700
0,7959200
0,7922800
0,7944600
0,7924400
0,7971800
0,7935000
1,7916600
1,7865300
1,7915500
1,7905800
1,7894300
0,7864100
1,7970300
0,7865600
1,7870000
0,7862100
1,7976600
0,7860800
0,7923300
1,7886600
1,8010900
0,7860000
0,8664500
0,7863000
0,8053800
0,7898100
0,7922800
1,7903200
1,7937100
1,7893400
0,7911400
0,7872400
1,7935900
0,7849200
1,7928300
1,7908200
0,7877300
1,7870300
0,7945700
1,8040100
1,8212800
0,7898400
0,7872800
0,8243600
0,7884000
0,7912000
0,7895200
1,7914700
0,7862400
0,7882500
1,7872400
0,8005800
0,7849200
1,7913900
1,7879200
1,7917400
1,7856900
0,7884300
0,7897000
1,7921100
0,7863600
1,7916600
