class,ns
1,7908500
0,7881000
0,7877200
1,8024600
1,8004700
1,7903400
0,7874800
0,7923600
0,7905400
1,7933600
0,7902700
1,7885900
1,7902100
1,7914900
1,7851400
1,7880300
1,7874900
1,7897100
0,7869000
1,7913200
1,7871000
1,7908800
0,7903800
1,7914100
0,7920900
1,8029400
0,7873200
0,7956100
0,7856200
0,7889300
0,7866800
1,7946800
1,7860500
0,7886800
0,7872900
0,7935000
0,7929200
0,7973400
1,7898900
1,7879500
1,7871600
0,7887300
1,8076100
1,7881200
0,7867200
0,7977200
1,7900600
1,7888900
1,7873600
1,7888900
1,7903600
1,7894400
0,7860100
0,7889600
0,7867700
1,7873700
1,7866600
1,7915400
1,7866100
0,8073800
0,7863600
0,7895800
0,7866300
0,8002300
1,7863500
0,8230600
0,7991700
1,8057100
0,8025900
0,7883900
1,7869900
1,7896500
1,7927100
1,7927900
0,7872300
0,7956100
1,7905100
1,7937400
1,7870400
1,7890000
0,7911300
1,7858900
1,7863200
1,7883600
0,7888700
0,7848600
0,7883200
0,8010400
1,8012500
1,7906400
0,8578900
0,7919000
1,7884300
0,7860400
0,7900900
0,8027900
0,7900200
0,7889300
0,8764700
1,10731100
1,8529600
0,7905800
0,7909300
0,7919200
0,7916300
1,7887600
1,7898200
0,8194200
0,8800700
0,8051500
1,7906200
1,7910000
1,7891100
1,7936900
0,7896200
1,7922700
0,7880400
0,8043400
1,7861500
1,7923300
1,7886700
1,7910800
1,7862700
1,7873900
1,7869400
1,7938500
1,7862100
0,7886800
1,7894600
1,8014500
1,7890300
1,7920900
1,7899800
1,7911500
1,7867700
0,7945500
1,7926500
0,7884400
1,7865000
0,7949900
0,7922200
0,7930000
1,7862700
1,7893600
1,7900000
1,7951000
1,7932100
1,7963700
1,7995900
0,7932400
1,7927100
1,7972000
1,8042600
1,7954100
1,7939000
0,7960500
1,7936200
0,7903500
1,8057600
0,7993700
1,7978800
0,7917100
0,7936500
0,7946400
0,7920100
0,7905600
0,7951900
0,7925500
1,7939300
0,7915100
0,7948900
0,7929800
1,7929700
0,7911500
0,7988300
1,7902200
1,7963600
1,7905200
1,7977600
0,7908100
1,7950800
1,7964400
0,7966700
0,7930700
1,8088900
1,7946800
0,7945000
1,7905800
1,8061300
0,7939500
1,7965300
1,7871600
1,8034800
0,7893400
0,7908900
0,7885500
1,7916400
1,7870300
0,7905700
0,7882800
1,7914800
1,7859800
1,8746500
1,7879000
0,7932200
0,7862600
1,8272000
0,7870000
0,7889200
1,7858300
0,7945400
1,7869600
0,7920700
1,7867000
0,7898100
1,7905200
0,7896500
1,7849800
1,7932600
1,7894900
1,7942600
0,7877200
0,7905900
1,7910400
0,7868900
1,7866400
1,7883800
0,7909100
0,7877700
1,7870100
0,7897500
0,7930500
1,7866600
0,7860100
1,7912400
0,7862000
1,7882700
1,7862700
0,7919000
1,7864700
1,7879400
1,7862300
1,7915600
0,7865900
0,7889700
1,7864200
0,7949900
0,8007600
1,7871000
0,7876600
1,7877200
1,7891200
0,7863900
0,7920000
0,7897600
1,7924800
0,8079700
0,7907400
1,7861500
1,7950400
1,7886500
1,7929400
1,7877000
0,7954000
1,7885900
0,7909800
1,7885400
0,8209800
1,7896300
1,7922500
0,7890300
0,8044400
1,7915100
0,7899500
1,7856500
0,7911300
0,7896500
1,8069600
0,7867000
0,8026900
1,7903500
1,7885200
1,7865400
0,7897600
1,7873300
1,7942700
0,7869400
1,7983100
0,7920900
1,7925400
0,7867000
1,7953300
1,7871100
0,7905400
0,7870400
1,7972100
0,7854200
0,8216700
0,7871200
1,7927500
1,7864300
0,7899900
0,7868900
1,7958400
0,7902600
1,7931600
1,7940000
0,7964300
1,7917300
0,7947200
0,7952700
1,7933000
1,7907000
1,7941500
1,7956200
1,7966000
1,7912700
1,8260000
1,7898700
1,7897200
1,7871000
0,8039200
0,7898200
0,7876800
0,7883000
1,7900200
0,7866800
1,7865300
1,7886800
1,7940500
1,7889700
0,7887800
0,7879000
1,7900500
0,8095600
0,8046700
0,7890300
1,7894500
0,7895100
1,7889300
1,7918100
0,7889700
1,9153300
0,7876400
0,7897500
0,7880500
1,8069400
1,8478100
0,7979700
0,7913800
1,8083000
1,7907100
0,7951600
1,7881300
1,8037100
0,7961400
1,7961200
0,7898300
0,7973000
1,7920800
0,7977900
0,7913700
0,7948600
0,7956800
1,7955400
1,7883600
0,7951300
0,7935100
0,7950200
0,7870900
1,8006800
1,7893400
1,7940600
0,7962700
0,8008600
1,7899600
1,7954900
0,7899700
1,8117800
0,8057000
0,7951100
1,8000800
1,7989700
1,8104700
1,8008900
1,8126600
0,8483900
0,8653400
0,7894400
1,8007800
0,7928600
1,7930200
1,7910900
1,7972700
0,7910500
1,7951600
0,7909400
1,8000200
0,7914300
0,7946400
1,7946100
0,7955000
0,7939700
1,7938800
0,7934900
0,8068800
0,7909000
1,7913500
0,7900900
0,7887900
1,7869400
1,7915000
0,7894600
1,7884600
1,7871800
1,8009200
0,8058600
0,8016600
1,7867500
0,7950100
0,7860900
1,7884600
1,7921300
1,7923700
0,7855900
0,7876500
1,7851500
1,8004000
1,7870300
0,7896300
1,7864600
0,8100800
1,7856500
1,7920900
1,7887600
0,7912100
1,7910900
1,7890600
1,7917200
1,7860300
0,7986000
1,7993400
1,8136900
1,7881300
1,8058700
1,9194400
0,7968400
0,8025000
1,7933700
1,7899500
1,7909700
1,7867300
1,7884800
0,7807600
0,7811700
0,8014300
1,7947500
1,7892600
1,7906500
0,7913700
0,7918700
1,7924500
1,8206100
1,7892300
1,7909800
1,7897200
1,7903200
1,8659100
1,8024300
1,7883800
1,7920000
0,7883800
0,8235300
0,7889800
1,7946800
0,7905800
1,8006700
0,7870400
0,7955600
1,7966200
0,8058800
1,7911700
0,8059000
1,7943600
1,7965500
0,7918400
1,7963500
1,7969800
0,7916200
0,7898800
0,8130700
0,7963500
1,7926000
1,7958500
0,7891300
0,8053200
0,7887300
1,7974000
0,7982600
0,8032900
1,7897200
1,7947300
0,7929000
1,8082600
1,7901300
1,7940700
0,7893400
1,8236900
0,7931100
0,7992400
0,7935300
1,8026600
0,7923300
1,7958400
0,7915900
0,8069400
1,7908100
0,7968900
0,7909400
1,7917100
1,7929600
0,7995800
1,7901500
1,7922000
1,7864500
1,7906600
0,7870100
0,7907700
0,7858500
1,7915500
0,7864400
1,7877000
0,7888200
0,7865000
1,7861200
1,7881700
0,7892000
0,7882600
1,7859600
1,8338100
0,7972900
1,7936100
1,8158500
1,9707200
1,7928600
1,7866600
0,7889300
1,7905900
1,8457800
0,8698600
0,7912400
0,7915800
0,7888000
1,7866400
1,7900500
1,7893500
1,7893000
1,7863800
1,7940400
1,7848600
0,7883600
1,7868500
1,8024000
1,7861800
0,7872800
1,8003400
0,7969200
1,7863200
0,7902500
0,7869700
0,7890400
0,7769100
0,7863000
1,7857100
0,7958300
1,7892800
1,7965100
0,8003500
1,7891800
1,7864300
1,7901400
0,7932400
0,7880600
1,7893300
1,7872200
1,7908100
1,7876800
0,7912700
0,7896000
0,7918300
1,7908300
1,7892300
1,7871000
1,7921500
1,7862600
1,7911600
0,7935700
0,7882700
0,7926600
1,7902900
1,7889300
0,7879000
1,7861200
0,7899200
1,7921800
0,7900100
0,7871600
1,7933900
0,7897600
1,7884200
0,7862000
0,7900700
0,7895600
1,7915400
1,7926800
1,7936800
0,7864000
1,7897500
1,7863900
1,7884300
0,7863700
0,7978100
0,7920000
1,8015900
1,8398100
