class,ns
0,7870000
1,7925900
1,7866500
0,7966500
1,7899600
1,7905000
1,7842700
0,7882000
0,7854000
1,7890600
0,7860100
0,7888500
0,7888400
0,7869300
0,7846600
0,7874800
1,7871600
1,7901000
0,7862400
1,8024700
0,8024000
0,8171000
0,8158500
1,7935700
0,7957200
1,7908900
0,7928900
0,8098500
0,7886000
1,7892100
0,7906300
1,7881000
1,7914700
1,7876200
0,7885900
1,7910900
0,7875300
1,7862800
0,8113900
1,8961500
0,7868600
1,7889000
0,7981200
0,7944100
0,8328300
1,8073400
0,7984400
0,7945800
0,8046200
1,7905700
0,8009200
1,7904600
0,7928900
1,7912800
0,7962500
0,7912600
1,7987500
0,7913000
0,7999300
1,7944500
0,7962600
0,7942500
1,7922500
0,7906800
1,8869800
0,11305000
1,8937900
0,8127200
1,7952000
0,8263600
0,7887100
1,8065900
1,8098800
0,8095200
1,8019300
0,8979500
1,8276800
1,8207600
1,8212600
0,7950800
1,7908100
1,7953000
1,7919200
1,7979000
0,7911900
0,7921100
0,7894800
1,7972000
0,7902900
1,7927400
1,7963500
0,8625200
0,8235400
1,7976400
0,7945400
1,8165400
1,7947500
0,8097100
0,7880100
1,7897700
1,7874900
1,7893400
0,7887800
0,7948800
1,7942100
1,9611300
1,7912100
0,7864000
0,7905500
1,7922200
0,7889700
1,7890400
1,7896400
0,7861900
1,7889300
0,7857700
0,7876200
0,7890800
1,7946600
0,7931000
1,7947200
1,7887400
1,7908400
0,7897800
1,7959700
1,7929500
0,7889500
1,7875500
0,7938300
1,7871500
0,7894600
1,7862100
1,7931100
1,7875900
1,7918800
1,7887500
1,7913000
1,7867800
0,7873800
1,7864900
1,7873500
0,8003900
0,7870500
1,7893100
1,7880700
0,8494000
1,7918500
0,7869300
0,7938900
1,7926700
1,7959500
0,7938400
0,7944000
0,7903100
0,7940200
0,7926900
1,7979800
1,7916200
1,7957800
1,7916800
0,7916000
0,7897600
0,8002000
1,7926900
1,7994900
1,7905300
1,7965300
1,7944100
0,7946100
1,7936900
1,7954800
0,7917000
0,7876100
0,7784800
1,8296000
0,8336700
0,8079500
1,8095400
1,8083300
1,8114800
0,8082600
1,8137600
0,8017400
1,7947400
1,7933700
0,7986800
1,7922700
0,7934600
1,7951100
1,7972700
1,8031100
0,7938400
0,8039100
0,8114400
1,7926000
0,7961900
0,7938000
1,7962600
1,7932000
1,8160600
0,8055500
1,8126400
1,8129400
1,9479900
0,7953500
0,7863600
1,7906900
1,7910000
0,7884000
1,7869000
0,7893100
0,7873300
0,7886500
0,7862100
0,7895000
1,7870900
0,8396800
0,7970100
1,8090300
1,8219200
1,8419400
1,8074600
1,8196500
1,8055400
0,8068600
1,8016600
1,8070200
0,8017200
1,8129700
1,8036500
0,8136100
0,8031700
0,8077900
1,8035800
1,8113400
0,7922000
1,7964000
0,7948000
0,7952300
1,7916000
1,7964000
0,7924000
1,7975500
0,7921800
1,8129500
0,7910300
1,8315600
0,7911800
1,7974100
0,7920600
0,7900700
0,7922400
0,7944100
0,7918900
1,7920700
0,8065600
0,7975600
1,8002900
0,7905400
0,7968800
0,7909300
1,7962000
1,7909700
1,7963200
1,7897100
0,7949400
1,7888300
0,8117900
0,7896100
1,7931700
1,7999700
1,8037400
1,7919200
1,7959900
1,7919800
0,7985900
1,7908400
0,7943300
1,7962600
0,7978400
0,7916800
0,8247300
0,7961000
0,8077100
0,7903500
0,7963900
1,7920700
1,7926200
1,7942000
0,7990500
0,8047700
1,7941900
0,7877000
1,8219500
1,7883100
1,7915700
0,7856200
1,8110900
0,7850900
0,8026800
0,7861500
0,7888400
1,7893000
1,7877500
1,7861500
0,7924100
1,7907200
1,7901200
1,7887600
1,8090700
1,7859000
0,7925200
1,7897700
0,7887500
0,7851200
0,7882600
0,7906600
1,7883800
0,7857000
0,7875900
0,7861100
1,7865600
1,7852000
1,7896400
0,7888500
0,8014000
1,7899400
1,8725800
1,7868200
1,8912200
0,7903600
1,7871300
0,7880100
0,7864200
0,7878400
1,7879600
0,7885500
0,7860400
1,7901500
1,7872200
0,7874600
0,7864100
1,7921600
0,7869700
1,7919200
1,7882500
1,7992400
0,7873600
1,7940000
0,7887500
1,7964100
1,7872900
1,8011300
0,7863200
1,8010900
1,7915500
1,8045700
1,8007100
0,7932400
1,7920800
0,8413200
0,7882000
0,7942700
1,7931200
0,8118300
0,7929700
0,7937500
0,7900300
1,7949100
0,7960200
1,8372100
0,7866100
1,7953700
1,7903500
0,7916600
1,7887900
1,7889200
0,7864000
1,7912300
0,7861100
0,7942700
1,7870800
1,7919900
1,7889700
1,7935200
1,7877000
0,8145700
1,7865500
0,7910700
1,7887600
1,7899200
1,7876900
1,7890400
1,7875700
1,7918400
1,7924100
1,7968000
0,7859500
1,7925600
1,7899100
0,7907600
0,7862000
0,8012300
1,7945300
0,7891600
0,7862400
0,7936900
0,7967700
1,8000500
0,7887500
0,8009500
0,7882000
0,7908900
0,7869700
0,7952700
0,7901300
1,7964100
0,7938800
1,8027000
1,7925500
1,7953300
0,7932200
0,8579500
0,7943000
0,8138300
0,7886800
0,8075700
1,7911400
0,7970500
1,7949200
0,7939400
0,7942500
1,8037600
1,7938900
1,7979800
1,7919400
0,7928500
1,7894200
1,7903200
0,8030000
0,7902300
1,7892700
1,7951700
1,7895200
1,7935700
0,7907500
0,7966100
1,7898700
1,7936000
1,7963600
1,7907300
1,7933300
1,7928500
0,7884500
0,7868800
1,7934500
0,7925800
1,8052700
0,7853100
0,7911800
0,7860800
1,7898400
1,7869000
1,7898400
1,7887900
0,7898900
0,7862800
0,7893200
0,7862600
0,7978800
1,7856700
0,7914300
1,7859000
0,7883800
1,7880000
0,7906400
0,7861400
0,9570600
1,11346500
1,9738400
1,7917100
1,7900100
1,8124800
1,7874700
1,7923800
1,8039700
1,7965900
0,7908200
1,9458600
0,7921500
1,7914600
1,7916200
1,7983000
0,7903300
1,8027000
0,8027600
0,9302100
1,7929900
0,7878400
0,7923600
0,7888600
1,7914100
1,7947800
0,8335000
1,7935100
0,7915500
0,7878700
1,7947700
0,7870200
1,7927000
1,8557300
0,7934800
1,7899600
0,8051300
0,7880100
1,7911800
0,7877200
0,8058000
0,7858400
0,8070300
0,7927400
1,7960700
0,7865500
1,7901900
1,7873700
1,7881600
0,7916000
0,7961300
0,7861200
1,7929100
1,7904400
1,8071100
0,7870300
0,7906100
0,7919100
0,7930500
0,7906500
1,7950900
1,7939900
0,7922700
1,7879900
1,7958500
0,7887200
1,9937900
1,9074000
1,11005100
1,9204400
0,8665000
1,11229100
0,9350800
1,9942700
1,10435700
1,7909200
0,7952500
1,8339200
1,8241400
1,7931800
1,7901000
0,7979000
1,7897700
1,7957700
0,7863800
0,7940700
1,7876900
0,7898600
1,7880300
1,7941300
0,7872600
0,7916400
1,7921700
0,7897100
1,7870100
0,7888700
0,7886400
1,7940000
0,7933700
0,8407200
0,8184000
0,7909800
1,7853300
0,7880800
0,7881800
1,7923100
1,7882700
1,7886800
1,7849200
0,8033800
0,7858700
1,7890000
1,7875800
1,7924200
0,7862000
1,7938300
1,7907600
0,7894400
1,7897300
1,7950800
0,7860800
1,7968500
0,7892800
1,8046800
0,7887300
0,7850200
0,7918000
0,7861600
1,7921300
1,7877700
0,7913800
0,7863300
1,7929000
1,7871000
1,7903700
1,7848800
1,7878200
0,7875100
1,8061200
0,7858900
0,7916400
0,7887900
1,8625000
0,7867400
1,7874800
1,7898200
1,7919700
1,7863800
1,7869800
1,7904500
1,7897700
0,7877800
1,7916600
0,7927500
0,7922000
1,7879500
1,7926400
0,7949400
0,8020100
0,7862200
1,7896400
0,7885800
0,7889100
0,7861600
1,7909000
1,7879900
1,7880200
0,7861300
1,7977200
0,7858700
0,7913800
0,7896500
0,8046700
0,8181400
1,8054400
0,7914100
1,7955600
1,7882200
0,8020800
1,7893000
0,8164500
0,7903500
1,7922300
0,7919000
1,8068400
0,7916100
0,8093200
0,7918900
1,7920700
0,7879300
0,7898700
0,7887300
0,7907800
1,7906300
1,7978700
0,7868600
1,7976800
0,7938300
1,8065100
0,8034700
0,7926800
0,7908900
1,7973400
0,7972000
1,7931700
1,7971200
0,7946900
0,8084600
1,8030000
0,8000700
0,7884200
0,7906400
1,7967600
0,8007200
0,7949400
0,7993200
0,7882200
1,7914600
1,7915700
0,8302000
1,7943700
1,7917900
0,7851500
0,7940400
0,7877600
0,7912100
1,7968800
0,7881500
0,7848000
1,7927100
1,7878800
0,7886400
0,7909900
1,7937100
0,7901000
0,7910700
1,7938900
1,7914200
1,7909700
1,8085000
1,7975000
1,7929900
0,7916400
0,7969000
1,8039500
0,7897200
1,7884100
1,7913900
1,7888400
1,7891600
1,7887300
1,7914600
0,7870200
1,7901600
1,7984300
1,8038800
1,7874400
0,7906400
1,8170100
1,7966500
0,7884400
0,7950100
1,7873900
1,8081100
0,7923100
0,7998900
0,7908500
1,7932100
0,7922400
0,7998600
0,7899700
0,7900600
0,7886900
0,7921800
0,7919000
1,7915100
0,8515600
1,7893300
1,7944200
1,7968300
0,7938300
1,7916500
1,8598300
0,8297300
0,7903300
0,7870500
0,7925100
0,7875700
0,8750200
0,8234300
1,7992300
1,7908900
1,7933900
1,7923400
0,7894500
0,7870400
1,7930500
0,7878000
0,7955200
0,7922500
1,7989800
0,7884500
1,8019300
0,7917000
1,7978800
1,7923200
0,7970000
0,7918700
0,8109000
0,7926100
0,7965800
1,7948400
0,7977700
0,8167200
1,8036700
1,7977400
1,7961000
0,7911100
0,7962500
1,7955700
0,7935300
1,7930200
1,8360400
0,7933900
0,7946400
1,7953100
1,7952400
1,7977600
1,8202000
0,7963200
1,7956000
0,7963800
0,8088600
0,8020700
1,7934300
0,7970300
1,7958300
0,8029100
0,8106300
1,8141300
0,7942600
0,8023300
0,8101800
1,7995000
0,7982200
0,7978900
0,7951900
0,8878500
1,8307900
1,8204600
1,7939400
1,8163100
1,8224500
1,8677700
1,8999200
1,8527000
0,8259400
0,8009100
0,8042300
1,8357000
0,8899400
1,8352200
1,8408100
1,9682700
0,8699300
0,8474900
0,9629700
0,8312400
1,7953000
1,7976200
0,7950600
0,7907900
1,7921300
1,7936300
0,7919600
0,7983200
0,7935200
1,8019500
0,8118600
1,8096600
1,7983200
1,8136900
0,8254200
1,7962400
1,7922700
1,9190400
0,8351400
0,7937900
1,7948700
1,7933500
0,8178400
1,7968600
0,8802600
0,7889100
0,7887500
1,7901100
1,8393400
1,7816100
1,7984800
1,7924800
0,8006800
0,7901200
1,7990000
1,7948500
1,8302000
0,8764600
0,7977500
1,7930200
0,9466700
1,7935700
0,7942700
0,7910300
0,7982700
0,7883400
0,7997400
0,7933600
1,8508100
0,8084900
0,8158000
0,8056200
0,8193800
1,8021600
1,7993900
1,8202200
1,7973300
1,7954200
0,7927700
1,7964200
1,7923100
0,7923200
1,7931400
0,7994400
1,7883600
1,8304700
0,8060800
1,8144600
0,7950700
0,8229400
1,8038800
1,11248300
1,9374700
0,7957900
0,8022900
1,7953700
1,8017200
1,7924800
0,8035200
1,7995000
1,7966900
1,7946300
1,8001100
1,7962800
1,8103500
1,7976500
1,7976100
0,8042200
1,8097300
0,7933800
0,7912700
0,7947300
0,7901600
1,8013700
