class,ns
0,7947800
0,7955900
1,7904000
1,8013300
1,8004800
1,7955300
0,7860000
0,7895300
1,7853300
0,7899500
0,7861700
1,7913400
1,7873800
1,8049400
0,7885400
0,7913700
1,7914100
1,7873100
0,7874900
1,7942100
1,7859900
0,7907200
0,7867800
1,7905900
1,7866300
0,7902100
0,7865500
1,8083400
1,7894900
1,8011700
0,7877600
1,7957000
1,7916800
0,7936700
1,7871300
1,7890600
1,7871900
0,7914900
0,7885400
0,7992100
1,7908000
0,7971900
0,7927100
1,8021500
0,7927500
0,7954600
1,7902800
0,7939100
0,7914400
1,7932100
1,7947600
1,7948700
0,7998400
0,7960100
1,8069600
0,8048400
1,8102400
0,8001700
0,8000200
0,7974900
1,8198300
0,8018400
0,8084600
1,7941900
0,8092100
1,7958200
0,7955300
0,7964400
0,7957500
0,7957300
1,7960800
1,7912900
0,7934500
1,7976500
1,7966600
1,7924900
0,8020100
0,7956800
1,8044900
1,8074700
1,8080900
1,7922500
1,7898500
1,7883100
0,7939400
1,7840500
1,7914100
0,7883600
0,8332500
1,7862800
0,7916400
0,7858200
0,7943700
1,7855200
1,7922600
1,7871400
0,7910200
1,8000400
1,8069300
0,7906100
0,7885500
1,7892300
0,7852300
0,7946700
1,7892300
1,7892500
0,7860200
1,7878600
1,7887100
0,7887300
0,7887000
1,7927000
0,7867100
1,7905000
1,7853100
0,7943900
0,7860500
0,7884200
0,7878800
1,7895900
1,7871000
0,7904500
0,7901000
0,7865000
1,7880500
1,7918100
1,7940100
1,8297300
0,8951300
1,7896500
0,7901400
1,7907700
0,7896300
1,7994600
0,7868500
0,7931900
0,7874100
0,7949300
0,7889400
0,7909600
0,7881400
1,7916100
1,7879300
1,10049200
1,8301500
0,7983100
0,7874500
0,7935900
0,7887500
1,7914100
1,7971500
1,7929700
0,8078300
1,8120400
1,8015700
0,8061500
1,8096500
1,8000800
1,7992700
1,8000300
0,8108000
1,7885700
0,7894700
0,7904100
1,7896400
0,7899000
0,7942900
1,7907700
1,8106200
0,8011500
1,7898000
1,7927700
0,7895900
0,7867300
0,7888800
0,7889100
1,7892700
1,7923400
1,7921000
1,7854100
0,7937600
0,7909700
1,8007000
1,7911300
1,7968000
1,8008200
1,7966700
0,7934500
0,7963700
1,8004600
0,8156600
1,7941400
0,8642200
1,8142600
1,7971900
1,8142400
0,7938600
0,7998300
1,7916900
0,7974500
1,7930700
1,7981200
1,7888300
1,7960700
