class,ns
1,72700
1,56400
0,55400
0,53400
0,52200
1,54100
0,52300
1,63100
0,94700
0,59700
1,52900
0,51700
0,51200
1,52100
1,54500
0,51700
1,52900
1,52600
1,52600
0,52700
0,51400
0,50800
1,52900
0,51500
0,50800
1,52800
0,65400
0,50600
0,50300
0,50100
1,53000
0,50600
0,50100
0,50000
1,52600
0,50600
0,50100
1,57700
0,51300
0,50900
1,53100
1,53500
0,52400
1,53900
1,53300
0,66700
1,52700
0,52700
0,51500
1,53600
1,53900
0,52600
0,51700
1,53800
0,52400
0,51000
1,53200
0,51700
0,51300
0,51100
0,50400
0,50600
0,50100
0,50200
0,64100
0,50300
0,50000
0,49400
1,53100
1,53200
1,53300
0,51800
0,51200
0,51900
1,58200
1,53000
0,52400
0,52100
1,52700
0,51100
0,50800
1,52400
0,51200
1,64400
1,52400
0,51700
0,51200
1,52400
0,51200
0,50800
0,50300
0,50100
0,50000
0,49900
1,52400
0,50400
0,50100
1,52800
1,52900
1,52700
0,84200
0,51000
0,63400
1,52700
0,51400
0,50700
1,52500
1,55500
0,51400
1,52500
1,52200
1,51000
1,52600
0,51700
0,51000
1,52400
1,52400
1,52400
1,52400
1,52400
1,52600
1,64100
1,53000
0,52300
1,52100
1,52300
0,51900
1,51800
0,51700
1,52400
1,52600
1,51900
1,52000
0,52000
1,52100
1,52600
0,52000
1,52200
0,51900
1,52000
0,66900
1,52000
0,51500
1,52300
1,51900
1,52100
1,52200
1,52200
1,52200
1,52200
0,51900
0,50900
1,52600
1,52300
0,52000
0,51000
0,50700
0,50000
0,49900
0,61000
0,49700
0,49400
0,49500
1,52400
0,50100
1,52700
1,52600
1,51900
1,52100
1,52500
0,52100
0,51700
1,52800
1,53500
1,53800
0,53000
0,52100
1,53400
0,68200
1,53000
1,53400
0,52500
0,51500
1,53100
0,52700
1,52200
1,52400
1,53000
1,52900
0,52000
0,51400
1,52600
0,51400
0,50700
0,50600
1,52500
0,50800
1,65400
0,51200
1,52400
0,51300
0,50400
1,52100
1,52600
1,52800
0,51900
1,52200
0,51800
0,50900
0,50300
1,52000
0,54900
0,50600
0,50100
1,52500
1,52500
1,64000
0,51700
1,52100
0,51700
1,52700
1,52200
1,52500
0,51800
0,51200
1,52100
1,52200
1,52400
0,51700
0,50600
0,50400
1,52000
0,51100
0,50400
0,50000
1,62500
0,50900
1,52400
0,51000
1,52300
1,52300
0,51200
0,50700
1,52000
1,52400
0,51500
1,52200
0,51500
0,50800
0,54100
0,50400
0,50100
1,52100
0,50800
0,60600
0,50100
1,52600
1,52200
0,50900
1,52000
0,51300
1,52500
1,52500
1,52000
0,51600
0,51000
1,52200
1,52100
1,52500
1,52000
0,51800
1,52300
1,52300
1,62800
0,52000
1,52100
1,52500
0,51900
0,51200
1,52000
0,51200
0,50500
1,52000
0,51100
1,52600
0,51200
0,50300
0,50200
1,56100
1,52300
1,52500
0,51600
0,62600
1,52100
1,52000
0,51400
1,52100
0,51500
1,51900
0,51300
1,52000
1,52600
0,51800
1,52900
0,52400
1,53100
1,52900
1,52900
0,52100
1,64600
1,83300
1,53000
1,52800
0,52700
1,52300
0,52100
1,52500
1,51900
1,52200
1,54600
1,58000
1,52400
0,52200
0,51300
0,50900
0,50500
1,52400
1,52500
1,53300
1,65400
0,52400
1,52500
1,52700
0,52000
0,50700
0,50500
1,52100
1,51300
1,52100
1,52200
1,52400
1,51800
1,53300
0,51900
0,50900
1,52400
1,51000
1,52400
0,64100
0,51600
1,52200
1,52500
0,51500
1,52800
1,51700
1,51800
1,52400
1,52500
0,57300
0,51000
1,51800
1,52200
0,52000
0,51200
0,50800
1,52300
1,52200
0,63500
1,52000
0,51600
1,52100
0,51700
0,51300
1,52600
0,51200
1,52400
1,52600
0,52900
0,51700
1,52900
1,52000
0,52400
0,51900
0,50900
0,50800
1,53500
1,65000
1,52700
1,52300
0,52100
1,52500
0,55700
1,52000
0,51700
0,50600
1,52100
0,51300
1,52500
0,51700
1,52500
1,52300
0,51800
0,51100
0,50100
1,52300
0,62200
1,52400
1,52000
1,52200
0,51700
0,51000
1,52600
1,52300
1,52100
1,52600
0,51800
0,51100
0,50700
0,50300
1,51800
1,52200
0,51400
0,50500
0,50400
1,63500
0,51200
1,52500
0,51300
0,50400
0,53500
1,51900
0,50600
1,52600
0,51600
1,52700
1,53000
1,54200
0,52500
1,53000
1,53000
0,52500
1,53600
0,53000
1,67700
1,52600
1,52900
1,53500
0,52600
1,52600
0,52100
1,52500
0,52700
0,51600
1,52400
0,51200
0,50400
1,52500
1,52800
0,51600
0,51000
0,50500
1,52200
1,64900
0,51600
1,52100
0,51500
0,50600
0,54000
1,52600
0,51000
1,52500
1,52600
1,51900
0,51600
0,50800
1,52400
0,51400
1,52000
0,51600
0,50800
0,50100
0,62600
1,52500
1,52400
1,52100
0,52000
0,51100
0,50300
1,52300
1,52600
1,51500
1,52400
0,52200
1,51800
1,52100
1,51900
0,51900
1,52000
0,51800
0,51100
1,67000
1,52000
1,52900
0,51800
1,52100
1,52200
1,52000
1,52100
0,51800
0,51400
1,52600
0,51500
1,52200
0,51200
1,52000
1,52400
0,51700
1,52000
1,52400
1,63700
1,52400
1,52100
1,52300
1,52100
0,51900
0,51000
0,50700
0,50100
1,52200
0,51100
1,51900
0,51300
1,52500
1,52300
1,52300
0,51900
0,51100
1,52100
1,65300
0,51500
1,52100
0,51600
1,52300
1,52000
0,51700
0,51000
0,50700
1,52200
1,52500
1,52000
0,51600
1,52400
0,51700
1,52100
0,51800
1,52500
0,51700
1,64000
1,52300
0,52100
0,51300
0,50600
1,52700
0,53300
1,52100
0,52200
1,53300
1,52400
0,53600
1,54200
1,53600
0,52200
1,53400
0,52700
1,53500
0,52000
1,67700
0,52600
1,52900
1,52400
1,53000
0,52100
0,51900
0,51000
1,52400
1,52400
1,52100
1,52500
1,52000
0,51800
1,52600
0,51800
1,52000
0,51500
0,50800
0,62500
0,50400
0,50300
1,52600
0,51000
1,52100
0,50700
1,52200
0,51000
1,68300
1,55900
1,52300
0,51800
1,52500
1,57000
1,53000
0,51800
1,52300
1,65400
0,52000
1,52000
1,52600
1,52100
0,51700
1,52300
1,52000
1,52300
1,52000
0,51800
0,51200
1,52300
0,51200
0,50700
0,50200
0,50300
0,49900
1,52300
0,62100
0,50200
0,49800
1,52700
1,52100
0,51400
1,52400
0,51400
0,50700
0,50600
0,50000
0,49900
0,49600
1,52300
1,52400
1,56500
0,51400
0,50900
1,52400
1,62700
1,52600
1,52400
1,52000
0,52000
0,51400
0,50500
0,50400
1,52400
1,52300
0,51500
0,50600
1,53000
1,52500
0,51700
1,52300
1,52300
0,51700
0,50900
1,63800
0,51400
1,52300
1,52000
1,52100
1,52000
1,52400
1,52000
0,51800
0,51400
0,62200
1,52100
1,51000
0,51700
0,50800
1,52100
0,51400
1,51700
0,51600
0,62300
1,52300
1,52400
0,51800
0,50900
0,50500
0,49900
0,49900
0,49900
1,52200
1,52400
1,52500
0,51900
1,52700
1,52300
0,52700
0,51800
0,51400
0,50500
1,64200
1,53100
1,52900
0,52000
1,52300
1,52600
0,52100
